year,LA_2023,age_group,overall_inactive_rate,overall_fairly_active_rate,overall_active_rate,n_overall_activity_level,weighted_n_overall_activity_level,small_cell_overall_activity_level
1,44.0,25-34,0.08495328798702172,0.16051684332992128,0.7545298686830569,73,156.96534955973283,False
1,44.0,35-44,0.24757471366118625,0.08604363553486254,0.6663816508039513,116,194.40911824871768,False
1,44.0,45-54,0.18440350230456795,0.062335578426050094,0.7532609192693821,89,137.47038541577564,False
1,44.0,55-64,0.20304489943862622,0.1121210684199802,0.6848340321413935,75,85.09204716763851,False
1,44.0,65-74,0.2357245712429895,0.16625807182066868,0.5980173569363418,79,100.27809654812694,False
1,44.0,75-84,0.44557252600389236,0.11227483410844745,0.4421526398876601,29,52.98305275873238,True
1,44.0,85+,0.3695874375604255,0.05465496127274501,0.5757576011668294,6,13.931494064836555,True
1,68.0,16-24,0.15630451912284588,0.09566247745348831,0.7480330034236657,31,156.1254105075753,False
1,68.0,25-34,0.21967171865430632,0.17718302990658724,0.6031452514391066,76,254.22948604069134,False
1,68.0,35-44,0.10195246806803716,0.07507454204545645,0.8229729898865065,87,225.8614205080243,False
1,68.0,45-54,0.17623346681951801,0.17647631542111525,0.6472902177593666,93,215.2472517833705,False
1,68.0,55-64,0.19746603132441418,0.09898467733514943,0.7035492913404364,95,173.6029621721844,False
1,68.0,65-74,0.28263301654758927,0.13271761599775148,0.5846493674546592,68,123.02641261334644,False
1,68.0,75-84,0.49831460686114293,0.14297300469182045,0.35871238844703673,40,135.76285984129686,False
