frequency,split,fold,train_start_wave,train_end_wave,validation_wave,model,params,alr_epsilon,weighted_tv,unweighted_tv,weighted_mae,unweighted_mae,weighted_component_mae,neither_recorded_weighted_mae,neither_recorded_weighted_rmse,neither_recorded_weighted_r2,indoor_only_weighted_mae,indoor_only_weighted_rmse,indoor_only_weighted_r2,outdoor_only_weighted_mae,outdoor_only_weighted_rmse,outdoor_only_weighted_r2,both_weighted_mae,both_weighted_rmse,both_weighted_r2,indoor_weighted_mae,outdoor_weighted_mae,indoor_weighted_rmse,outdoor_weighted_rmse,tv_rank,mae_rank,selection_mean_rank,skill_vs_naive,is_selected_model
annual,rolling_validation_fold,train_2017_18_to_2018_19__validate_2019_20,2017/18,2018/19,2019/20,Ridge,"{""alpha"": 100.0}",1e-06,0.0682000557052999,0.05243820808497357,0.04482474852614635,0.03238126452351428,0.03410002785264995,0.05711816528142583,0.07975867483536378,0.3885758326208497,0.03215006394749784,0.046698587112814514,0.14963386185499794,0.017775222666990373,0.023997013701714302,0.21992718188610072,0.02935665951468575,0.0492741637080691,-0.9747184604394972,0.052039172419635786,0.037610324632656934,0.07554697129923864,0.055906577110230594,,,,,
annual,rolling_validation_fold,train_2017_18_to_2019_20__validate_2020_21,2017/18,2019/20,2020/21,Ridge,"{""alpha"": 100.0}",1e-06,0.06032384987831042,0.04619056545371678,0.037172952352959684,0.027296905355812726,0.03016192493915521,0.05588801679128387,0.07149150267105393,0.4326450029400356,0.019023287176870334,0.02565537688923484,0.6265484517364656,0.02966263981554064,0.03851151134290182,-0.7810405022168045,0.016073755972926002,0.02528968386432327,0.5044601678033755,0.03057535094991888,0.043770553756000495,0.04038502308324182,0.05593031166143688,,,,,
annual,rolling_validation_fold,train_2017_18_to_2020_21__validate_2021_22,2017/18,2020/21,2021/22,Ridge,"{""alpha"": 100.0}",1e-06,0.09230229407831426,0.06733009692181514,0.06116125001462619,0.04198382745676804,0.04615114703915713,0.08951603482091029,0.11017625079655331,-0.0809070341833924,0.02764401680037856,0.03659505188975136,0.2880817673967736,0.03614490000807276,0.04410532513778858,-1.0996098479483702,0.03129963652726694,0.04408274726867414,0.003893372632281622,0.055807374188003515,0.06651512584124886,0.07242609217835082,0.08254324216660834,,,,,
annual,rolling_validation_fold,train_2017_18_to_2018_19__validate_2019_20,2017/18,2018/19,2019/20,Random Forest,"{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 250}",1e-06,0.03423002934269156,0.030622252377549942,0.01978066234299539,0.017433749412015868,0.01711501467134578,0.025184193445045494,0.035853947816230615,0.8764448917559583,0.015298758289250737,0.02194323117023698,0.8122414888051046,0.012552641468392377,0.017607145600890012,0.5800489636934779,0.015424465482694508,0.021334374771684594,0.629808449615879,0.022805806814224373,0.0167555178717664,0.031138066549595972,0.025011421460830997,,,,,
annual,rolling_validation_fold,train_2017_18_to_2019_20__validate_2020_21,2017/18,2019/20,2020/21,Random Forest,"{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 250}",1e-06,0.03275437740254185,0.03159910423141302,0.02042774089978201,0.019347647467606924,0.016377188701270924,0.02118155524914048,0.03177120549974597,0.8879495976019482,0.019102558310740512,0.026523658956231717,0.6008424609402812,0.013054748738353177,0.019757637035603574,0.5312269060497277,0.012169892506849534,0.018346971514659673,0.7391922203186736,0.021803007997950857,0.019052473801613172,0.030235650921135896,0.02557141204276894,,,,,
annual,rolling_validation_fold,train_2017_18_to_2020_21__validate_2021_22,2017/18,2020/21,2021/22,Random Forest,"{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 250}",1e-06,0.04244065893694522,0.0395086405501437,0.02878917624989354,0.02467127330029084,0.02122032946847261,0.034273683320560085,0.04793570632183665,0.7953882236098744,0.016877363963101653,0.024847780366131285,0.6717833713730044,0.013835193375863905,0.01943404689043795,0.5923541384765967,0.0198950772143648,0.02942985321344514,0.5560391061714637,0.029409458474611124,0.028168894025175962,0.03976132745326026,0.04008262536012193,,,,,
annual,rolling_validation_fold,train_2017_18_to_2018_19__validate_2019_20,2017/18,2018/19,2019/20,Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 10, ""n_estimators"": 250}",1e-06,0.034724868941057,0.03238802288036169,0.019694031836309068,0.018111465356947565,0.0173624344705285,0.026281661607317642,0.037008093689316596,0.8683623346844043,0.016164586904258104,0.02334281133105849,0.7875264883017051,0.012135355219448076,0.017427779193527105,0.588561579734985,0.01486813415109018,0.020472374013499484,0.6591187793782175,0.022722995643884462,0.01666506802873368,0.031401762342874597,0.024996509570558156,,,,,
annual,rolling_validation_fold,train_2017_18_to_2019_20__validate_2020_21,2017/18,2019/20,2020/21,Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 10, ""n_estimators"": 250}",1e-06,0.03261996616284339,0.031452555152631304,0.020244467473537593,0.019211643615899346,0.016309983081421696,0.020757475494629984,0.03192763170905618,0.8868435162790944,0.019534736855520395,0.02681950773653115,0.5918882763481955,0.01288022752855042,0.019768602205438447,0.5307064386540099,0.012067492446985984,0.018051599216049072,0.7475222368201704,0.021784091231528503,0.018704843715546676,0.030760338024919003,0.025323709869159747,,,,,
annual,rolling_validation_fold,train_2017_18_to_2020_21__validate_2021_22,2017/18,2020/21,2021/22,Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 10, ""n_estimators"": 250}",1e-06,0.04224237530317908,0.03907293917804559,0.028527009212213954,0.02438973920293311,0.02112118765158954,0.03382243287262651,0.04737009351334199,0.8001883307372462,0.01696253934555329,0.02492957977152608,0.6696188225378481,0.014301219810651387,0.019914037426861157,0.5719690400216009,0.019398558577526953,0.028772271472386476,0.5756572136652205,0.02872812600655423,0.028325892417873685,0.03893177673352975,0.04019313875887308,,,,,
annual,rolling_validation_fold,train_2017_18_to_2018_19__validate_2019_20,2017/18,2018/19,2019/20,Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 120}",1e-06,0.03496613337697628,0.033330197669705706,0.019523340107453793,0.01869841783747478,0.01748306668848814,0.025007216425903374,0.03645394478055341,0.8722750315191563,0.016433868462980807,0.022590735480684743,0.8009971863343615,0.013815958403944454,0.019184445197361063,0.5014379304465582,0.014675223461123927,0.019773901201005795,0.6819822344662783,0.021091976219965593,0.01795470399494199,0.029895467202133794,0.026042469700052744,,,,,
