scope,geography_level,geography_name,geography_code,group_a_code,group_a,group_b_code,group_b,contrast,group_a_indoor_exposure_share,group_b_indoor_exposure_share,difference_a_minus_b,ci_95_low,ci_95_high,bootstrap_p_two_sided,bootstrap_repetitions,exposed_raw_n,group_a_exposed_raw_n,group_b_exposed_raw_n,group_a_effective_n,group_b_effective_n,minimum_group_exposed_raw_n,minimum_group_effective_n,low_group_raw_n_below_20,low_group_effective_n_below_20,estimable,p_fdr_bh,significant_95_ci,significant_fdr_05
all_six_waves_equal_wave_weight,Borough,Westminster,E09000033,2,Active,0,Inactive,Active minus Inactive,0.5847138988499899,0.922966784166139,-0.33825288531614905,-0.42523833460686666,-0.11947746821486789,0.007984031936127744,500,475,446,8,228.35530823342776,6.633883213299523,8,6.633883213299523,True,True,True,0.026705210269116937,True,True
all_six_waves_equal_wave_weight,Borough,Westminster,E09000033,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5847138988499899,0.585862842640284,-0.0011489437902940658,-0.25422912689705773,0.2685344971233733,0.9461077844311377,500,475,446,21,228.35530823342776,12.798851536475986,21,12.798851536475986,False,True,True,0.9580838323353293,False,False
all_six_waves_equal_wave_weight,Borough,Westminster,E09000033,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.585862842640284,0.922966784166139,-0.337103941525855,-0.6287565737494215,-0.016167529267915627,0.043912175648702596,500,475,21,8,12.798851536475986,6.633883213299523,8,6.633883213299523,True,True,True,0.1038897814127842,True,False
latest_wave_2022_23,London,London,London,2,Active,0,Inactive,Active minus Inactive,0.5676485059811535,0.7730043120670169,-0.20535580608586346,-0.32254964403013814,-0.06473194064534751,0.007984031936127744,500,2919,2699,26,1457.416743633831,16.559671490263465,26,16.559671490263465,False,True,True,0.01783100465735196,True,True
latest_wave_2022_23,London,London,London,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5676485059811535,0.6671183579208108,-0.0994698519396573,-0.17227245231356242,-0.029158372105232595,0.01996007984031936,500,2919,2699,194,1457.416743633831,101.78834095311136,194,101.78834095311136,False,False,True,0.041791417165668664,True,True
latest_wave_2022_23,London,London,London,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.6671183579208108,0.7730043120670169,-0.10588595414620616,-0.23596585360493608,0.05496324508553902,0.20758483033932135,500,2919,194,26,101.78834095311136,16.559671490263465,26,16.559671490263465,False,True,True,0.33114722935082214,False,False
latest_wave_2022_23,Borough,Barking and Dagenham,E09000002,2,Active,0,Inactive,Active minus Inactive,0.5642825765830939,1.0,-0.4357174234169061,-0.5610978324923863,-0.30947460229157037,0.003992015968063872,500,50,45,2,25.083427445453484,1.8629514034220978,2,1.8629514034220978,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Barking and Dagenham,E09000002,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5642825765830939,0.4272873792967754,0.13699519728631848,-0.41316667180472383,0.5334243864912382,0.7704590818363274,500,50,45,3,25.083427445453484,2.323933366450806,3,2.323933366450806,True,True,True,0.8412207842379757,False,False
latest_wave_2022_23,Borough,Barking and Dagenham,E09000002,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.4272873792967754,1.0,-0.5727126207032246,-0.9432252701075022,-0.03014076196954836,0.003992015968063872,500,50,3,2,2.323933366450806,1.8629514034220978,2,1.8629514034220978,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Barnet,E09000003,2,Active,0,Inactive,Active minus Inactive,0.5908747463606954,,,,,,500,89,87,0,58.12754821646899,,0,58.12754821646899,True,False,False,,False,False
