survey_year,survey_wave,scenario,activity_level_code,activity_level,aggregation_weight,neither_recorded_rate,indoor_only_rate,outdoor_only_rate,both_rate,indoor_rate,outdoor_rate,indoor_exposure_share,outdoor_exposure_share
2026,2026/27,legacy_recovery,0,Inactive,6337.924906421567,0.9993108611904185,0.0005487431862713657,0.00010912948535062057,3.126613795957086e-05,0.0005800093242309366,0.0001403956233101914,0.8051156869627465,0.1948843130372535
2026,2026/27,legacy_recovery,1,Insufficiently Active,2609.1186951779496,0.9092120337681602,0.0680509451484961,0.020292791949704785,0.002444229133638845,0.07049517428213495,0.02273702108334363,0.756124791503488,0.243875208496512
2026,2026/27,legacy_recovery,2,Active,17702.71828178458,0.7745911868477771,0.09974762937399474,0.05806856779896491,0.06759261597926344,0.1673402453532582,0.12566118377822835,0.5711243315409327,0.4288756684590673
2026,2026/27,persistent_legacy,0,Inactive,6337.924906421567,0.9992483522885525,0.0006119407558907617,0.00010814454684869003,3.1562408708035704e-05,0.0006435031645987974,0.00013970695555672573,0.8216226374488318,0.1783773625511682
2026,2026/27,persistent_legacy,1,Insufficiently Active,2609.1186951779496,0.9091524421408878,0.06648608760293945,0.02196324966091488,0.002398220595257894,0.06888430819819734,0.024361470256172774,0.7387391616008216,0.26126083839917835
2026,2026/27,persistent_legacy,2,Active,17702.71828178458,0.7644520560545326,0.09705204181828056,0.06160775786288318,0.07688814426430371,0.17394018608258427,0.13849590212718688,0.5567224550763161,0.4432775449236839
2027,2027/28,legacy_recovery,0,Inactive,6337.924906421567,0.9993225224030897,0.000553379208224035,8.723965100539272e-05,3.6858737680741834e-05,0.0005902379459047769,0.00012409838868613455,0.8262745674875916,0.17372543251240835
2027,2027/28,legacy_recovery,1,Insufficiently Active,2609.1186951779496,0.9091582596690595,0.06807275739480652,0.02033611251426757,0.0024328704218663628,0.07050562781667288,0.02276898293613393,0.7558930264906115,0.24410697350938848
2027,2027/28,legacy_recovery,2,Active,17702.71828178458,0.7746283884534374,0.09972752954373687,0.05803875376100562,0.0676053282418202,0.16733285778555707,0.1256440820028258,0.5711468551293543,0.42885314487064574
2027,2027/28,persistent_legacy,0,Inactive,6337.924906421567,0.9993288459723004,0.0005751765501451537,5.7450308924525664e-05,3.852716862974903e-05,0.0006137037187749027,9.59774775542747e-05,0.8647597286630706,0.1352402713369294
2027,2027/28,persistent_legacy,1,Insufficiently Active,2609.1186951779496,0.9091268806216741,0.06653939482779218,0.021941974361950518,0.0023917501885830678,0.06893114501637525,0.024333724550533585,0.7390901347577995,0.2609098652422005
2027,2027/28,persistent_legacy,2,Active,17702.71828178458,0.7638867194510623,0.09694159110233014,0.061388768935756705,0.07778292051085091,0.17472451161318103,0.13917168944660763,0.5566314948166601,0.4433685051833399
2028,2028/29,legacy_recovery,0,Inactive,6337.924906421567,0.9993563021499934,0.0005327586718735901,7.988680375313587e-05,3.105237437985311e-05,0.0005638110462534432,0.00011093917813298897,0.835584822170502,0.164415177829498
2028,2028/29,legacy_recovery,1,Insufficiently Active,2609.1186951779496,0.9091615226527787,0.0680856497653709,0.020314501471387122,0.0024383261104631965,0.0705239758758341,0.022752827581850318,0.756071962820078,0.24392803717992195
2028,2028/29,legacy_recovery,2,Active,17702.71828178458,0.7746716874588911,0.09968839599660052,0.058050248880765584,0.06758966766374276,0.16727806366034328,0.12563991654450835,0.5710747545895193,0.4289252454104807
2028,2028/29,persistent_legacy,0,Inactive,6337.924906421567,0.9993368872861952,0.0005558090213837574,7.749410867295478e-05,2.980958374792231e-05,0.0005856186051316797,0.00010730369242087709,0.8451432537242918,0.15485674627570822
2028,2028/29,persistent_legacy,1,Insufficiently Active,2609.1186951779496,0.9091204277703225,0.0665294140941374,0.021958542967805375,0.0023916151677345746,0.06892102926187198,0.02435015813553995,0.7389316163437669,0.2610683836562331
2028,2028/29,persistent_legacy,2,Active,17702.71828178458,0.7641807836594877,0.09722978081955967,0.06133371439900725,0.07725572112194544,0.1744855019415051,0.13858943552095268,0.5573282337952346,0.44267176620476545
