year,LA_2023,disability_group,inactive_rate,fairly_active_rate,active_rate,n,weighted_n,n_eff
1,9.0,disty2,0.54847531478247,0.13087734252637057,0.3206473426911593,56,78.81329284555963,35.06659847734031
1,9.0,disty3,0.5819968514924091,0.11907830316880887,0.2989248453387821,75,100.52157839634921,50.16318280638262
1,9.0,disty4,0.49768743945456745,0.10300431123581201,0.3993082493096206,20,29.73879056419577,13.612452983070106
1,9.0,disty5,0.44587027583675803,0.14663298421132173,0.40749673995192015,27,42.13410271966448,20.60190392850451
1,9.0,disty6,0.46590933922920613,0.1305519609678886,0.4035386998029053,20,34.76491414980192,14.766809177832823
1,9.0,disty7,0.41599342090719843,0.1316992867723394,0.4523072923204623,42,46.68427469780245,30.90271195372006
1,9.0,disty8,0.5701910700137127,0.053711332446266635,0.37609759754002065,22,31.6037888118179,16.353687067537596
1,9.0,disty9,0.5821485421391561,0.20502957154085275,0.2128218863199911,19,22.368349667746894,12.544420620040626
1,9.0,disty10,0.8035572459691315,0.0,0.1964427540308686,9,13.672655793974,5.603433796925411
1,9.0,disty11,0.8798910881609245,0.0,0.12010891183907536,3,8.263690130237311,2.4756259384300834
1,9.0,disty12,0.5662931055296401,0.11092947767035738,0.3227774168000025,17,24.7877692274472,13.098013445847286
1,9.0,disty13,0.6611769549350744,0.06434494082983976,0.27447810423508584,10,10.857988579414297,7.642628201983087
1,17.0,limiting_disability,0.4489740507716983,0.0925953106312773,0.45843063859702454,76,108.18691667507721,52.73161449447384
1,17.0,non_limiting_disability,0.1944030653529441,0.10853085941106413,0.6970660752359918,74,109.99025605193208,46.71555264988026
1,17.0,no_disability,0.15768824910048237,0.16272143964351993,0.6795903112559977,337,583.8915872555159,168.67910096458266
1,17.0,disty1,0.5123735454855486,0.09362610346483097,0.3940003510496204,41,58.62711632428415,30.383530610762854
1,17.0,disty2,0.36698121065968514,0.18288052845888056,0.45013826088143444,25,27.70531417948323,18.619698821755563
1,17.0,disty3,0.5239287086007511,0.10628697501361818,0.3697843163856306,40,51.78589563829181,30.506263118980378
1,17.0,disty4,0.4043001567908044,0.2692296824048478,0.32647016080434793,9,11.653750812266715,6.036392544218947
1,17.0,disty5,0.25077305572813346,0.029416202089766797,0.7198107421820997,18,31.443124452569798,12.744773165270093
1,17.0,disty6,0.2883588654251637,0.4094226362784198,0.3022184982964165,7,7.181202268768322,4.105815976242729
1,17.0,disty7,0.1617191966969046,0.0,0.8382808033030955,12,16.91401413421617,9.134036788530423
1,17.0,disty8,0.6799350910575808,0.0,0.3200649089424192,7,10.959237288270561,5.298483062146251
1,17.0,disty9,0.404559341584253,0.22652177715063668,0.3689188812651104,9,13.85092272133,6.662395188516759
1,17.0,disty10,,,,0,0.0,0.0
1,17.0,disty11,0.0,0.0,1.0,1,0.7807776016686708,1.0
1,17.0,disty12,0.5868543673841066,0.0,0.4131456326158935,5,7.175983505768437,3.7725174420498933
1,17.0,disty13,0.17622735469452572,0.0,0.8237726453054743,7,14.038960922834336,4.3280111902703915
1,30.0,limiting_disability,0.6125101391811326,0.21078656962600736,0.17670329119286002,60,112.05419900901501,27.471932924600956
1,30.0,non_limiting_disability,0.11161791128193845,0.20984177425353087,0.6785403144645307,67,155.59123094476578,37.18132437535199
1,30.0,no_disability,0.23004869863741853,0.14893286100674732,0.6210184403558341,322,750.0517336799671,151.86119154867384
1,30.0,disty1,0.5963539766559999,0.25015693857189575,0.15348908477210427,35,70.08790512085066,15.780463886793433
1,30.0,disty2,0.6859130225681355,0.1809639637528363,0.13312301367902837,28,51.375261320666155,10.002344887939215
1,30.0,disty3,0.6635510269675701,0.1805550136853988,0.1558939593470313,39,72.42156742387084,16.993042853170603
1,30.0,disty4,0.6285239000051784,0.07466361806752508,0.29681248192729653,10,10.828734882761477,7.666054171069367
1,30.0,disty5,0.5680236542237971,0.3359785670978744,0.09599777867832868,16,35.42376319297723,5.337293267449793
1,30.0,disty6,0.470588928205896,0.0,0.5294110717941041,5,6.835845178443881,4.251991993944828
1,30.0,disty7,0.729459761704761,0.17906835774431704,0.091471880550922,21,43.85134673340538,7.4884662472911
