year,LA_2023,age_group,activity_suffix,months12_rate,second_activity_suffix,second_months12_rate,ranking_margin,top_two_tied,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
9,126,85+,GARD_B08,0.8032160470669387,ACTTRAV_C03,0.3985757787017362,0.4046402683652025,False,8,8,8.5,6,1.0,True,False,True
9,129,16-24,ACTTRAV_C03,0.7438488657807303,WALKTRAV_B02,0.7438488657807303,0.0,True,8,0,40.5,36,0.0,False,False,False
9,129,25-34,ACTTRAV_C03,0.6855735898811443,WALKTRAV_B02,0.676147001262585,0.009426588618559273,False,8,0,73.5,70,0.0,False,False,False
9,129,35-44,ACTTRAV_C03,0.6989277646811668,WALKTRAV_B02,0.6903525469918483,0.00857521768931846,False,8,0,125.0,89,0.0,False,False,False
9,129,45-54,GARD_B08,0.5656845429026568,ACTTRAV_C03,0.5330295006010006,0.03265504230165617,False,8,0,86.0,75,0.0,False,False,False
9,129,55-64,GARD_B08,0.5777766093508835,ACTTRAV_C03,0.5369945502060499,0.04078205914483357,False,8,0,76.0,60,0.0,False,False,False
9,129,65-74,ACTTRAV_C03,0.7216699745661932,WALKTRAV_B02,0.7130997744287364,0.008570200137456796,False,8,0,68.0,53,0.0,False,False,False
9,129,75-84,GARD_B08,0.5914032323853357,ACTTRAV_C03,0.5510792655660491,0.040323966819286516,False,8,6,27.0,23,0.75,True,False,True
9,129,85+,GARD_B08,0.5508798843838242,ACTTRAV_C03,0.2533670423554761,0.2975128420283481,False,8,8,6.5,4,1.0,True,False,True
9,135,16-24,ACTTRAV_C03,0.7623280750892584,WALKTRAV_B02,0.7361308783971833,0.026197196692075098,False,8,0,47.0,32,0.0,False,False,False
9,135,25-34,ACTTRAV_C03,0.8932164768608964,WALKTRAV_B02,0.8813559030747384,0.011860573786158013,False,8,0,129.5,119,0.0,False,False,False
9,135,35-44,ACTTRAV_C03,0.8726473702077647,WALKTRAV_B02,0.8571814872505557,0.015465882957209076,False,8,0,95.0,90,0.0,False,False,False
9,135,45-54,ACTTRAV_C03,0.6802463554733502,WALKTRAV_B02,0.613965117961662,0.06628123751168824,False,8,0,82.5,66,0.0,False,False,False
9,135,55-64,ACTTRAV_C03,0.7543334883778536,WALKTRAV_B02,0.7543334883778536,0.0,True,8,0,69.0,56,0.0,False,False,False
9,135,65-74,ACTTRAV_C03,0.6964263256291924,WALKTRAV_B02,0.6675592745386556,0.028867051090536777,False,8,0,49.5,40,0.0,False,False,False
9,135,75-84,ACTTRAV_C03,0.5538434659750265,GARD_B08,0.5389595623819718,0.014883903593054693,False,8,8,19.0,9,1.0,True,False,True
9,135,85+,GARD_B08,0.7174506580813429,ACTTRAV_C03,0.65211927504926,0.06533138303208286,False,8,8,4.5,1,1.0,True,False,True
9,136,16-24,ACTTRAV_C03,0.7496791002344484,WALKTRAV_B02,0.7496791002344484,0.0,True,8,1,37.5,27,0.125,False,False,False
9,136,25-34,ACTTRAV_C03,0.9262947677072748,WALKTRAV_B02,0.8161143837939939,0.11018038391328089,False,8,0,62.0,55,0.0,False,False,False
9,136,35-44,ACTTRAV_C03,0.7046431144945715,WALKTRAV_B02,0.6876415999298479,0.017001514564723652,False,8,0,76.5,52,0.0,False,False,False
9,136,45-54,ACTTRAV_C03,0.662525568821053,WALKTRAV_B02,0.6479306404710432,0.01459492835000975,False,8,0,90.5,75,0.0,False,False,False
9,136,55-64,ACTTRAV_C03,0.6939767064091137,WALKTRAV_B02,0.6676573233833615,0.026319383025752208,False,8,0,91.0,65,0.0,False,False,False
9,136,65-74,ACTTRAV_C03,0.7303614177622577,WALKTRAV_B02,0.7246925618612609,0.005668855900996861,False,8,0,78.5,64,0.0,False,False,False
9,136,75-84,ACTTRAV_C03,0.5733488655604284,WALKTRAV_B02,0.5227946577657993,0.05055420779462916,False,8,0,46.5,44,0.0,False,False,False
9,136,85+,GARD_B08,0.4578869003468272,ACTTRAV_C03,0.389052746959266,0.06883415338756121,False,8,8,13.0,6,1.0,True,False,True
9,139,16-24,ACTTRAV_C03,0.8961938499487044,WALKTRAV_B02,0.8114007345114559,0.08479311543724855,False,8,5,29.0,20,0.625,True,False,True
9,139,25-34,ACTTRAV_C03,0.8292411925154102,WALKTRAV_B02,0.8292411925154102,0.0,True,8,0,67.5,49,0.0,False,False,False
9,139,35-44,ACTTRAV_C03,0.7371263161492377,WALKTRAV_B02,0.722016014690589,0.015110301458648778,False,8,0,103.5,86,0.0,False,False,False
9,139,45-54,ACTTRAV_C03,0.7320197518903657,WALKTRAV_B02,0.6923172377762449,0.039702514114120846,False,8,0,97.0,73,0.0,False,False,False
9,139,55-64,ACTTRAV_C03,0.6741512550491495,GARD_B08,0.6380350844357312,0.03611617061341832,False,8,0,87.5,76,0.0,False,False,False
9,139,65-74,GARD_B08,0.7752201385875906,ACTTRAV_C03,0.6230299772134563,0.15219016137413433,False,8,0,72.0,60,0.0,False,False,False
9,139,75-84,GARD_B08,0.6773883787259748,ACTTRAV_C03,0.530405256326818,0.14698312239915678,False,8,3,34.0,22,0.375,False,False,False
9,139,85+,GARD_B08,0.5256321940427494,ACTTRAV_C03,0.4819479007404161,0.04368429330233331,False,8,8,8.0,2,1.0,True,False,True
9,142,16-24,ACTTRAV_C03,0.8068545270142252,WALKTRAV_B02,0.7901428428165006,0.01671168419772462,False,8,0,50.0,38,0.0,False,False,False
9,142,25-34,ACTTRAV_C03,0.9303405046146804,WALKTRAV_B02,0.924554851320622,0.005785653294058446,False,8,0,147.0,118,0.0,False,False,False
9,142,35-44,ACTTRAV_C03,0.7903314534034163,WALKTRAV_B02,0.7468631827250426,0.043468270678373666,False,8,0,115.0,94,0.0,False,False,False
9,142,45-54,ACTTRAV_C03,0.8419172126277742,WALKTRAV_B02,0.8419172126277742,0.0,True,8,0,85.0,75,0.0,False,False,False
9,142,55-64,ACTTRAV_C03,0.7148704189510017,WALKTRAV_B02,0.7015048002096135,0.013365618741388197,False,8,0,67.5,57,0.0,False,False,False
9,142,65-74,GARD_B08,0.6943767362556398,ACTTRAV_C03,0.5590551511783607,0.1353215850772791,False,8,0,44.5,34,0.0,False,False,False
9,142,75-84,ACTTRAV_C03,0.4966545695321441,WALKTRAV_B02,0.4966545695321441,0.0,True,8,8,22.5,8,1.0,True,False,True
9,142,85+,ACTTRAV_C03,0.2426175576192798,WALKTRAV_B02,0.2426175576192798,0.0,True,8,8,3.5,2,1.0,True,False,True
