task,origin,horizon,forecast_year,model,observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
disability_overall_level,4,1,5,Naive baseline,495,0.28156775070616297,0.18771183380410864,0.2748749233336338,,,,,,,,,,467,0.19999319208773414,25,0.46893960755477304,340,0.6868686868686869,0.349622362305634,155,0.13360385322860333,0.21293136346231162,0.30147448600069143,-0.8479085412455885,0.13654496946659725,0.21522769749959172,-0.8738053212604575,0.21365916848341704,0.2990967117048537,-0.6892346027716723,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,4,2,6,Naive baseline,495,0.2682839686863329,0.17885597912422194,0.2593681146608196,,,,,,,,,,468,0.19921940142078132,22,0.3912182784362346,329,0.6646464646464646,0.34366095399247215,166,0.12116262387194068,0.21418289308629837,0.29582717300381217,-0.7983311903060479,0.11454528512203521,0.17788512809682594,-0.9908499463299636,0.20783975916433228,0.287504124531584,-0.5679708496506206,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,4,3,7,Naive baseline,495,0.2399022978252197,0.15993486521681313,0.24753513470268898,,,,,,,,,,479,0.18844621756918684,15,0.3724573815614682,307,0.6202020202020202,0.3195070249423701,188,0.11033290156007065,0.174006001417355,0.2561364360658124,-0.4558417184118706,0.11176499314186476,0.18883909182760109,-1.5405994374594538,0.19403360109121967,0.2873236019787897,-0.6082740366315365,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,4,4,8,Naive baseline,495,0.24680394073276976,0.16453596048851318,0.24361502612962835,,,,,,,,,,477,0.18374958648028916,18,0.5188228131723446,306,0.6181818181818182,0.32998681182644085,189,0.11212691134301649,0.19143366953127158,0.26731701967932536,-0.7122346140487581,0.1062401444833586,0.17057773295719156,-1.6058497840422739,0.19593406745090933,0.2783697017948733,-0.7465322874489817,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,5,1,6,Naive baseline,502,0.26321049290576737,0.17547366193717825,0.2588989218989083,,,,,,,,,,473,0.19632462711069623,23,0.36902305265644114,336,0.6693227091633466,0.33355709439715164,166,0.12336483933855776,0.20295455184417313,0.28726552096659913,-0.6441724367335204,0.1191336137366007,0.18753384782498136,-1.2010928728436316,0.204332820230761,0.2887828451708933,-0.524844635653406,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,5,2,7,Naive baseline,502,0.2764420098608131,0.184294673240542,0.2741334951023053,,,,,,,,,,484,0.20785082995888762,17,0.5720722097485574,314,0.6254980079681275,0.36580400524539053,188,0.12766379414074516,0.21167040590284408,0.29937850431511914,-0.938412369763685,0.12100397456563412,0.2058726397739188,-1.8412142268722702,0.22020963925314788,0.3056738241288864,-0.7846399197066904,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,5,3,8,Naive baseline,502,0.25962817944683597,0.17308545296455732,0.2498647972124213,,,,,,,,,,483,0.19226030617885775,19,0.4142476747495602,313,0.6235059760956175,0.32927954532678205,189,0.14427962113771903,0.1980264491696933,0.2753669013563783,-0.7964941096841449,0.12056769118885927,0.18583961039581426,-2.0659163533735208,0.20066221853511942,0.2773697162693358,-0.7292715915296819,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,6,1,7,Naive baseline,499,0.25708957450534015,0.17139304967022675,0.25757071851114494,,,,,,,,,,481,0.19763702185236626,16,0.4035003858670939,311,0.6232464929859719,0.33641585157170245,188,0.12670755528456376,0.20177902646194784,0.28682658634668656,-0.7950117252785942,0.10813570869589206,0.17639138764342838,-1.3797870788737812,0.20426441385284036,0.2926510085972282,-0.6417926186601375,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,6,2,8,Naive baseline,499,0.2563792021823006,0.17091946812153375,0.2508757407678914,,,,,,,,,,481,0.1964278509272663,18,0.4364434300985163,310,0.6212424849699398,0.33053707642714897,189,0.13474459363254934,0.19854938796015656,0.27864692003059666,-0.8501377533419994,0.10912328887380662,0.16687834511219135,-1.334793107913681,0.20508572753063808,0.28865797028246654,-0.8887706463470191,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,7,1,8,Naive baseline,504,0.249353465421155,0.16623564361410334,0.24543052668198334,,,,,,,,,,485,0.19522381041978493,19,0.4688827681239281,315,0.625,0.32985981078435606,189,0.11517622314915324,0.19337459461792092,0.2673929574912683,-0.7096435472072433,0.09979201747845588,0.16079751703686262,-1.1113059947961328,0.20554031874593318,0.28871022683832986,-0.8530368826662513,,,,,,,,,,,,,,,,,,,,,
age_activity_level,4,1,5,Naive baseline,31744,0.008989007153725576,0.005992671435817051,0.026145447159820263,,,,,,,,,,3276,0.04203750705225036,28468,0.0013219473627384868,6944,0.21875,0.006934372765748737,24800,0.00956430478235909,,,,,,,,,,0.007992048719311083,0.031593388865049296,0.5876640408277765,0.0044621478390973685,0.01873049621406396,0.16036794544132393,0.005523817749042699,0.026491121402416603,0.356457971630459,,,,,,,,,,,,
age_activity_level,4,2,6,Naive baseline,31744,0.009127182916798178,0.006084788611198785,0.026052926800957242,,,,,,,,,,3088,0.04422296473726469,28656,0.001419447655653436,7739,0.24379410282258066,0.007330523258173416,24005,0.009706410123550812,,,,,,,,,,0.00814349035955196,0.03183202311613188,0.5881064393196818,0.004527577618415669,0.01897923200981498,0.2409955373342929,0.005583297855628725,0.025744437095026333,0.3596095758389708,,,,,,,,,,,,
