task,origin,model,parameters,validation_score,selected
disability_months12,6,Naive baseline,{},0.0215740403984884,False
disability_months12,6,Ridge Regression,"{""alpha"": 100.0}",0.0214246111307942,False
disability_months12,6,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.0229765628365473,False
disability_months12,6,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0203306537810927,True
disability_months12,7,Naive baseline,{},0.0206615503722527,False
disability_months12,7,Ridge Regression,"{""alpha"": 100.0}",0.0202821297086363,False
disability_months12,7,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.0225859961237107,False
disability_months12,7,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0197754912482938,True
disability_overall_level,4,Naive baseline,{},0.1773254815637872,False
disability_overall_level,4,Ridge Regression,"{""alpha"": 10.0}",0.1598220914584913,False
disability_overall_level,4,Random Forest,"{""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 160}",0.1394157616233836,False
disability_overall_level,4,Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 160}",0.1308825460340289,True
disability_overall_level,5,Naive baseline,{},0.1877118338041086,False
disability_overall_level,5,Ridge Regression,"{""alpha"": 100.0}",0.1528028922565137,False
disability_overall_level,5,Random Forest,"{""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 160}",0.1486507446673395,False
disability_overall_level,5,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.1442821504490214,True
disability_overall_level,6,Naive baseline,{},0.1754736619371782,False
disability_overall_level,6,Ridge Regression,"{""alpha"": 100.0}",0.137789935620294,False
disability_overall_level,6,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.1385797371055129,False
disability_overall_level,6,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.1368510119176057,True
disability_overall_level,7,Naive baseline,{},0.1713930496702267,False
disability_overall_level,7,Ridge Regression,"{""alpha"": 100.0}",0.1289485515447769,False
disability_overall_level,7,Random Forest,"{""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 160}",0.1261889990365389,False
disability_overall_level,7,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.1221800035931599,True
