task,origin,horizon,forecast_year,selected_model,observations,total_variation,overall_mae,overall_rmse,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
age_months12,4,3,7,Naive baseline,31744,,,,,,,,,,,,,10311,0.0441828730447086,21327,0.0049341903647885,8605,0.2710748487903225,0.0148067943970244,23139,0.0187976203074258,,,,0.0177255541397634,0.0478178793757971,0.7803321864040925,,,,,,,,,,,,,,,,,,,,,,,,
age_months12,4,4,8,Naive baseline,31744,,,,,,,,,,,,,10945,0.0452944782472565,20746,0.0044254993197889,7861,0.2476373487903226,0.0173225186937647,23883,0.0189383765583741,,,,0.0185402629549261,0.0479082956670386,0.7982349672081812,,,,,,,,,,,,,,,,,,,,,,,,
age_months12,5,1,6,Naive baseline,31744,,,,,,,,,,,,,9021,0.0449248781325069,22723,0.0048649907372332,7739,0.2437941028225806,0.012411562616626,24005,0.0174864164576307,,,,0.0162491970185073,0.0437502795550287,0.7920783764863261,,,,,,,,,,,,,,,,,,,,,,,,
age_months12,5,2,7,Naive baseline,31744,,,,,,,,,,,,,10311,0.0423039941274892,21327,0.0038954541420313,8605,0.2710748487903225,0.0134095498806355,23139,0.0175161877998237,,,,0.0164130107445364,0.0427939325128883,0.8240658293751268,,,,,,,,,,,,,,,,,,,,,,,,
age_months12,5,3,8,Naive baseline,31744,,,,,,,,,,,,,10945,0.0443941460758451,20746,0.0035984958168049,7861,0.2476373487903226,0.0168315038104776,23883,0.0179679245179981,,,,0.0176879342089413,0.0472708563591258,0.8035683791888654,,,,,,,,,,,,,,,,,,,,,,,,
age_months12,6,1,7,Naive baseline,31744,,,,,,,,,,,,,10311,0.0409401115895818,21327,0.0028438135735429,8605,0.2710748487903225,0.0123132224244086,23139,0.0163418222610346,,,,0.0152596087832078,0.040836210334515,0.8397947783131748,,,,,,,,,,,,,,,,,,,,,,,,
age_months12,6,2,8,Naive baseline,31744,,,,,,,,,,,,,10945,0.0459862249348897,20746,0.0027386823576108,7861,0.2476373487903226,0.015968837631437,23883,0.0182326865082737,,,,0.017674921463613,0.0468077289897926,0.80739852833308,,,,,,,,,,,,,,,,,,,,,,,,
age_months12,7,1,8,Naive baseline,31638,,,,,,,,,,,,,10944,0.0419971454901723,20641,0.0037578774487729,7755,0.2451166318983501,0.0167899593171057,23883,0.0170777055648043,,,,0.0170075386628009,0.0453939173653816,0.8193484970604535,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,4,1,5,Gradient Boosting,256,0.1230271591428346,0.082018106095223,0.1207464902109245,,,,,,,,,,249,0.0881792116798854,7,0.3411367602855418,56,0.21875,0.2380516944242846,200,0.0908202892640286,,,,,,,0.0939325097752114,0.1351216910822077,0.5003017086744621,0.0570257888608864,0.0956082381992546,-0.0060861936561047,0.0950960196495713,0.127829331854194,0.5560174788483565,,,,,,,,,,,,,,,
age_overall_level,4,2,6,Gradient Boosting,256,0.1127327046236422,0.0751551364157615,0.1045377845192902,,,,,,,,,,249,0.0849294098451487,7,0.2719685280712154,56,0.21875,0.1997859817643698,200,0.0883577870242385,,,,,,,0.0871127762858481,0.1183790557947137,0.5595019068432336,0.0483088722272936,0.0662828304984828,-0.047603562867051,0.0900437607341427,0.1199059244027005,0.5445883779451162,,,,,,,,,,,,,,,
