task,origin,horizon,forecast_year,selected_model,observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
disability_activity_level,5,1,6,Gradient Boosting,62620,0.00784989214870307,0.005233261432468714,0.037676546142012726,,,,,,,,,,3546,0.08224685496125707,58277,0.00022319466432599901,44103,0.7042957521558607,0.008058739735551204,18517,0.0073614570028346675,0.007498654928059101,0.046900161793529925,0.3096108701236093,0.0032732794891156738,0.025428917301993183,0.1520160664748642,0.004927849880231368,0.03758073144794749,0.22363565563247467,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,5,2,7,Gradient Boosting,62620,0.008782891644469137,0.0058552610963127595,0.037763517660382294,,,,,,,,,,4159,0.07855719133512903,57789,0.00013272090854952545,43442,0.6937400191632066,0.008558595497579239,19178,0.00928310784023934,0.008441674091039473,0.047270893111987025,0.362120842771649,0.0037262082592571964,0.027118924693307497,0.15923953017379766,0.005397900938641605,0.03617010348522423,0.2899069115967712,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,5,3,8,Gradient Boosting,62620,0.008493374388903989,0.00566224959260266,0.035794744608491434,,,,,,,,,,4159,0.07481156944721655,58196,0.00012028684954649296,42788,0.6832960715426382,0.008224652796173244,19832,0.009069556734995633,0.008187384078096669,0.045007035974293244,0.36174830592153484,0.0036972633313016976,0.02462722975212479,0.177910264250279,0.0051021013684096105,0.034808870885251544,0.28264685649491395,,,,,,,,,,,,,,,,,,,,,
age_months12,4,1,5,Naive baseline,31744,,,,,,,,,,,,,10641,0.041204449139136956,21103,0.0048402067341770695,6944,0.21875,0.015975989794730017,24800,0.01732508680912459,,,,,,,,,,,,,,,,,,,0.017029971837225776,0.04649773945932716,0.8100780352663128,,,,,,,,,
age_months12,4,2,6,Naive baseline,31744,,,,,,,,,,,,,9021,0.048478266249886125,22723,0.006072999668491105,7739,0.24379410282258066,0.0142485904164821,24005,0.01937302104037455,,,,,,,,,,,,,,,,,,,0.018123715073946133,0.049303038040660746,0.7359504965012074,,,,,,,,,
age_months12,4,3,7,Naive baseline,31744,,,,,,,,,,,,,10311,0.04418287304470863,21327,0.004934190364788587,8605,0.27107484879032256,0.014806794397024457,23139,0.018797620307425822,,,,,,,,,,,,,,,,,,,0.017725554139763476,0.047817879375797116,0.7803321864040925,,,,,,,,,
age_months12,4,4,8,Naive baseline,31744,,,,,,,,,,,,,10945,0.045294478247256555,20746,0.004425499319788944,7861,0.2476373487903226,0.017322518693764714,23883,0.01893837655837414,,,,,,,,,,,,,,,,,,,0.018540262954926143,0.047908295667038685,0.7982349672081812,,,,,,,,,
age_months12,5,1,6,Naive baseline,31744,,,,,,,,,,,,,9021,0.04492487813250692,22723,0.004864990737233248,7739,0.24379410282258066,0.012411562616626058,24005,0.017486416457630785,,,,,,,,,,,,,,,,,,,0.01624919701850731,0.043750279555028714,0.7920783764863261,,,,,,,,,
age_months12,5,2,7,Naive baseline,31744,,,,,,,,,,,,,10311,0.04230399412748929,21327,0.0038954541420313125,8605,0.27107484879032256,0.013409549880635547,23139,0.01751618779982378,,,,,,,,,,,,,,,,,,,0.016413010744536438,0.04279393251288838,0.8240658293751268,,,,,,,,,
age_months12,5,3,8,Naive baseline,31744,,,,,,,,,,,,,10945,0.0443941460758451,20746,0.003598495816804904,7861,0.2476373487903226,0.016831503810477662,23883,0.017967924517998148,,,,,,,,,,,,,,,,,,,0.017687934208941318,0.04727085635912584,0.8035683791888654,,,,,,,,,
disability_months12,4,1,5,Ridge Regression,62992,,,,,,,,,,,,,11928,0.07040490118754436,50320,0.009319201452025215,43772,0.6948818897637795,0.0237985441116477,19220,0.014814158293182134,,,,,,,,,,,,,,,,,,,,,,0.021024480761324665,0.06538911578282586,0.6230205299158029,,,,,,
disability_months12,4,2,6,Ridge Regression,62992,,,,,,,,,,,,,10116,0.07752025923165085,52079,0.010636299924494646,44475,0.7060420370840742,0.02334731514310626,18517,0.01719278367632668,,,,,,,,,,,,,,,,,,,,,,0.021514957893000022,0.06692711348204225,0.5194031530231189,,,,,,
disability_months12,4,3,7,Ridge Regression,62992,,,,,,,,,,,,,11837,0.07638837729967662,50501,0.009692105067336693,43814,0.6955486410972822,0.024193298494997878,19178,0.018223352646664623,,,,,,,,,,,,,,,,,,,,,,0.022356672015493646,0.06704796552810888,0.5478309310072005,,,,,,
disability_months12,4,4,8,Ridge Regression,62992,,,,,,,,,,,,,12179,0.07641460790547257,50548,0.009662403088601437,43160,0.6851663703327406,0.024541481835607688,19832,0.018473265311868912,,,,,,,,,,,,,,,,,,,,,,0.022622932086715064,0.06633815857250026,0.5583165339361496,,,,,,
disability_months12,5,1,6,Ridge Regression,62620,,,,,,,,,,,,,10099,0.0743071519234886,51724,0.010596543910193415,44103,0.7042957521558607,0.023093031849439647,18517,0.016117984944338838,,,,,,,,,,,,,,,,,,,,,,0.02100389118105164,0.06454198771812077,0.552916133900156,,,,,,
