task,horizon,origins,model,observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
age_activity_level,3,2,Naive baseline,63488,0.009309745154754212,0.006206496769836142,0.025985654216514508,,,,,,,,,,7532,0.039111501413965084,55797,0.0010728043294420545,16466,0.25935609879032256,0.007836289120699752,47022,0.009820732512742519,,,,,,,,,,0.008266388855803566,0.03165067295421687,0.6946351347299031,0.004756185478087633,0.019665915291825032,0.29082243036342514,0.005596915975617226,0.025243798297022214,0.5927845322303924,,,,,,,,,,,,
age_activity_level,4,1,Naive baseline,31744,0.009444537140757958,0.0062963580938386375,0.025996718212065575,,,,,,,,,,3829,0.03706019107512476,27862,0.0011925000981943754,7861,0.2476373487903226,0.008426638945137394,23883,0.009777315648960668,,,,,,,,,,0.008415982974414968,0.03179691532550981,0.704660444773395,0.004946951098128544,0.019940821803025952,0.2870009757421269,0.005526140208972402,0.02487584923163329,0.6283660311923129,,,,,,,,,,,,
disability_activity_level,1,4,Naive baseline,251013,0.011122715025042782,0.007415143350028519,0.04559861119878272,,,,,,,,,,15464,0.07677315392702122,232965,0.002177741623663341,174266,0.6942508953719528,0.012217224627943437,76747,0.008674311860812384,0.010016356877476658,0.054362573453868336,0.09732490957015694,0.005407978897447046,0.036553600198942125,-0.6082276743823787,0.0068210942751618635,0.044116266271545745,-0.10703686096384524,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,2,3,Naive baseline,188303,0.01112439560867625,0.0074162637391175035,0.045002423471299645,,,,,,,,,,11876,0.07742090597569655,174587,0.0020177350855664408,130776,0.6944976978593013,0.011927816418641888,57527,0.009323678283703122,0.010096723589644398,0.05409685918287025,0.11036387258617764,0.005331835223686072,0.035744511671398395,-0.6133286539067528,0.006820232404022032,0.04326099937348318,-0.04444148937614245,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,3,2,Naive baseline,125612,0.011134070929576833,0.007422713953051222,0.044934340589240604,,,,,,,,,,8335,0.07520029102397671,116358,0.0018023877741172867,86602,0.689440499315352,0.0119678248261585,39010,0.009302783179748407,0.009987296062838168,0.05325630706032558,0.16296403125912973,0.005572236152585816,0.03701543022600052,-0.6884222364907759,0.0067086096437296815,0.04302218702076905,-0.02251013268938662,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,4,1,Naive baseline,62992,0.010741049101510258,0.007160699401006838,0.043937866358175995,,,,,,,,,,4159,0.07010432327269066,58568,0.0017861720616990963,43160,0.6851663703327406,0.011562727024032151,19832,0.008963826709085056,0.009737407758289735,0.05265467180523627,0.13551413854378458,0.00542880723971997,0.03592481359609055,-0.711570241497417,0.00631588320501081,0.041575252320290336,-0.010115478156435431,,,,,,,,,,,,,,,,,,,,,
age_months12,1,4,Naive baseline,126870,,,,,,,,,,,,,40917,0.04217010337433159,85794,0.004090104526383711,31043,0.2446835343264759,0.014277836428897541,95827,0.017066420186732528,,,,,,,,,,,,,,,,,,,0.016386742646684896,0.04417218980114153,0.8160720909267479,,,,,,,,,
age_months12,2,3,Naive baseline,95232,,,,,,,,,,,,,30277,0.045474721907756144,64796,0.0042887188429103495,24205,0.25416876680107525,0.01451061673022277,71027,0.018384666274112876,,,,,,,,,,,,,,,,,,,0.017404836087494366,0.04638274199307937,0.7919112758130407,,,,,,,,,
age_months12,3,2,Naive baseline,63488,,,,,,,,,,,,,21256,0.04429166036714882,42073,0.00427556561512801,16466,0.25935609879032256,0.015776251139542553,47022,0.018376208531259323,,,,,,,,,,,,,,,,,,,0.017706728432304256,0.04754492568610418,0.7925211932021182,,,,,,,,,
age_months12,4,1,Naive baseline,31744,,,,,,,,,,,,,10945,0.045294478247256555,20746,0.004425499319788944,7861,0.2476373487903226,0.017322518693764714,23883,0.01893837655837414,,,,,,,,,,,,,,,,,,,0.018540262954926143,0.0479082956670387,0.7982349672081812,,,,,,,,,
disability_months12,1,4,Naive baseline,251013,,,,,,,,,,,,,45977,0.08212429313655988,202452,0.008269755074915805,174266,0.6942508953719528,0.024450234034828232,76747,0.016318448934799876,,,,,,,,,,,,,,,,,,,,,,0.02193808726020901,0.0805939186997747,0.35875010553553277,,,,,,
disability_months12,2,3,Naive baseline,188303,,,,,,,,,,,,,34068,0.0844383786812057,152395,0.008069391112898795,130776,0.6944976978593013,0.023996654144680565,57527,0.017597805287308473,,,,,,,,,,,,,,,,,,,,,,0.02202250067606725,0.08035924901258061,0.33394484942846137,,,,,,
disability_months12,3,2,Naive baseline,125612,,,,,,,,,,,,,23994,0.08421107951368836,100699,0.008269941500157975,86602,0.689440499315352,0.02498059243262288,39010,0.01827540065550936,,,,,,,,,,,,,,,,,,,,,,0.022882884211430043,0.08091818388942201,0.3379827710333808,,,,,,
disability_months12,4,1,Naive baseline,62992,,,,,,,,,,,,,12179,0.08256216129020985,50548,0.00846980526840383,43160,0.6851663703327406,0.025083633974421423,19832,0.018036194016132292,,,,,,,,,,,,,,,,,,,,,,0.022855489327733555,0.08078241481484898,0.3450351691723439,,,,,,
age_days10p60gr,1,4,Naive baseline,126870,,,,,,,,,,,,,20550,0.04318883165676015,106161,0.0018726067507602296,31043,0.2446835343264759,0.008590981328066202,95827,0.008567568936498914,,,,,,,,,,,,,,,,,,,,,,,,,0.008573275373202625,0.03317226728397658,0.7149772785930548,,,
age_days10p60gr,2,3,Naive baseline,95232,,,,,,,,,,,,,15803,0.045521530170746026,79270,0.0017230567642380252,24205,0.25416876680107525,0.008626115195939449,71027,0.009130892266150728,,,,,,,,,,,,,,,,,,,,,,,,,0.009003223323019657,0.03445410521926908,0.7061117638414289,,,
age_days10p60gr,3,2,Naive baseline,63488,,,,,,,,,,,,,11220,0.04372522119083739,52109,0.0016853346010939942,16466,0.25935609879032256,0.009144998347260866,47022,0.00912956901962527,,,,,,,,,,,,,,,,,,,,,,,,,0.009133542018500253,0.03506632583845227,0.7186915137464908,,,
age_days10p60gr,4,1,Naive baseline,31744,,,,,,,,,,,,,5717,0.04373229686141032,25974,0.0017531388164713163,7861,0.2476373487903226,0.010214432174038876,23883,0.009035685732982171,,,,,,,,,,,,,,,,,,,,,,,,,0.009326104218096896,0.03510904398153906,0.728863753984891,,,
disability_days10p60gr,1,4,Naive baseline,251013,,,,,,,,,,,,,23355,0.08195747632234472,225074,0.0032139276798197596,174266,0.6942508953719528,0.011760646591322109,76747,0.008057606030525636,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010616668819325091,0.05634544123539024,0.18466627125387347
disability_days10p60gr,2,3,Naive baseline,188303,,,,,,,,,,,,,17874,0.08253460125314872,168589,0.0030312454847732802,130776,0.6944976978593013,0.011543539226915134,57527,0.008654724461030354,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010652290844999935,0.05590100766824711,0.20233330321603893
disability_days10p60gr,3,2,Naive baseline,125612,,,,,,,,,,,,,12577,0.08019896297771756,112116,0.0027074286270790233,86602,0.689440499315352,0.011400576921924635,39010,0.008597097998540812,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010523513150893357,0.05489963963394528,0.2483109792467445
disability_days10p60gr,4,1,Naive baseline,62992,,,,,,,,,,,,,6312,0.0763189441346637,56415,0.0027299749033435914,43160,0.6851663703327406,0.010970973445231479,19832,0.008326785176327232,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010134977115917005,0.05358546796390471,0.2589038100537475
