year,LA_2023,age_group,volunteer_category,volunteer_category_label,volunteer_category_rate,inactive_rate,fairly_active_rate,active_rate,mean_number_activities_150,n_parent_cell,weighted_n_parent_cell,n,weighted_n,small_cell
5,8.0,45-54,2.0,a_few_times,0.10378581526238986,0.09569078243314877,0.7324953495379071,0.17181386802894427,0.17181386802894427,52,61.347150729699564,3,6.366964052506584,True
5,8.0,45-54,3.0,monthly,0.08204559125554943,0.09572564464010673,0.09676130322470891,0.8075130521351845,1.8709696384957035,52,61.347150729699564,4,5.033263253461511,True
5,8.0,45-54,4.0,weekly,0.005203512396559466,0.0,0.0,1.0,0.0,52,61.347150729699564,1,0.3192206593155938,True
5,8.0,55-64,0.0,not_volunteered,0.909120365721067,0.2611313974093065,0.08276577823180517,0.6561028243588884,1.1326074841709994,51,59.933414186907015,46,54.48668742451309,False
5,8.0,55-64,1.0,once_or_one_off,0.06512131935612339,0.0,0.0,1.0,0.44924396686504536,51,59.933414186907015,3,3.9029430053683885,True
5,8.0,55-64,2.0,a_few_times,0.018597415868347466,0.0,1.0,0.0,0.0,51,59.933414186907015,1,1.1146066280438256,True
5,8.0,55-64,3.0,monthly,0.007160899054461994,0.0,0.0,1.0,1.0,51,59.933414186907015,1,0.4291771289817015,True
5,8.0,65-74,0.0,not_volunteered,0.8427391723791273,0.302022442919134,0.02139785983301827,0.6765796972478474,1.4338546373081131,26,19.22521187537117,22,16.20183914466367,True
5,8.0,65-74,1.0,once_or_one_off,0.06826056814995647,0.0,0.0,1.0,1.0,26,19.22521187537117,1,1.312323885416126,True
5,8.0,65-74,2.0,a_few_times,0.015598191630552052,0.0,0.0,1.0,2.0,26,19.22521187537117,1,0.2998785389700045,True
5,8.0,65-74,4.0,weekly,0.07340206784036415,0.0,0.0,1.0,2.0,26,19.22521187537117,2,1.4111703063213692,True
5,8.0,75-84,0.0,not_volunteered,0.7221771379238328,0.42377441889421147,0.0,0.5762255811057886,0.852104943694776,7,15.024908899301359,5,10.85064570646378,True
5,8.0,75-84,1.0,once_or_one_off,0.05589990440050066,0.0,0.0,1.0,0.0,7,15.024908899301359,1,0.8398909710971776,True
5,8.0,75-84,3.0,monthly,0.22192295767566647,0.0,0.0,1.0,0.0,7,15.024908899301359,1,3.3343722217404,True
5,8.0,85+,0.0,not_volunteered,0.2830463298543411,1.0,0.0,0.0,0.0,2,3.076966029448533,1,0.8709239417218916,True
5,8.0,85+,3.0,monthly,0.716953670145659,1.0,0.0,0.0,0.0,2,3.076966029448533,1,2.2060420877266416,True
5,9.0,16-24,0.0,not_volunteered,0.789246009701698,0.266819540320318,0.0,0.7331804596796819,1.3310634936026924,32,105.81944124660649,27,83.51757175274744,True
5,9.0,16-24,1.0,once_or_one_off,0.07057550353810198,0.0,0.7341434570549101,0.26585654294508987,0.5317130858901797,32,105.81944124660649,2,7.46826035009985,True
5,9.0,16-24,3.0,monthly,0.10211779920495624,0.0,0.0,1.0,1.675224661529696,32,105.81944124660649,2,10.806048453201626,True
5,9.0,16-24,4.0,weekly,0.038060687555243986,1.0,0.0,0.0,0.0,32,105.81944124660649,1,4.027560690557587,True
5,9.0,25-34,0.0,not_volunteered,0.862177801984685,0.20111913485511432,0.19930600039917984,0.599574864745706,1.1262628318524497,81,179.0900279943824,71,154.40744669357233,False
5,9.0,25-34,1.0,once_or_one_off,0.0724361079696867,0.3952467990007197,0.15822581343798187,0.44652738756129845,0.44652738756129845,81,179.0900279943824,5,12.972584604095298,True
5,9.0,25-34,2.0,a_few_times,0.03406430524051473,0.6967384325703144,0.0,0.30326156742968546,0.5098565863471213,81,179.0900279943824,3,6.10057737913297,True
5,9.0,25-34,3.0,monthly,0.004743341342320906,0.0,0.0,1.0,0.0,81,179.0900279943824,1,0.8494851337831625,True
