year,LA_2023,age_group,top_months12_activity,top_months12_rate,top_days10p60gr_activity,top_days10p60gr_rate
1,129.0,45-54,GARD_B08,0.6851572463616447,ACTTRAV_C03,0.3674226987738586
1,129.0,55-64,GARD_B08,0.5793050313778697,ACTTRAV_C03,0.37061891866242
1,129.0,65-74,GARD_B08,0.6173563671774642,GARD_B08,0.4895462598419425
1,129.0,75-84,GARD_B08,0.7000906792544181,GARD_B08,0.5020447014273668
1,129.0,85+,GARD_B08,0.6236480955462271,GARD_B08,0.42166376276743045
1,135.0,16-24,ACTTRAV_C03,0.9337761696993756,ACTTRAV_C03,0.6165905443120393
1,135.0,25-34,ACTTRAV_C03,0.9272936917337538,ACTTRAV_C03,0.5680095234237774
1,135.0,35-44,ACTTRAV_C03,0.9176558643066266,ACTTRAV_C03,0.5548937841802942
1,135.0,45-54,ACTTRAV_C03,0.8643234098539873,ACTTRAV_C03,0.5665323017267699
1,135.0,55-64,ACTTRAV_C03,0.8763158397187722,ACTTRAV_C03,0.5085156461932377
1,135.0,65-74,ACTTRAV_C03,0.789392417780788,ACTTRAV_C03,0.7606951410289635
1,135.0,75-84,ACTTRAV_C03,0.7205093093452781,WALKTRAV_B02,0.5038933195855602
1,135.0,85+,GARD_B08,1.0,GARD_B08,1.0
1,136.0,16-24,ACTTRAV_C03,0.9015848105280148,ACTTRAV_C03,0.5105567171233667
1,136.0,25-34,ACTTRAV_C03,0.8540976722813121,ACTTRAV_C03,0.49529563554583644
1,136.0,35-44,ACTTRAV_C03,0.8997547680826548,ACTTRAV_C03,0.38711441352409887
1,136.0,45-54,ACTTRAV_C03,0.8036529591415551,ACTTRAV_C03,0.42632482779704506
1,136.0,55-64,ACTTRAV_C03,0.8214423054912461,ACTTRAV_C03,0.49364346811327875
1,136.0,65-74,WALKTRAV_B02,0.6532098025712225,WALKTRAV_B02,0.47347373410919796
1,136.0,75-84,GARD_B08,0.49659069776596565,GARD_B08,0.3648364684962724
1,136.0,85+,ACTTRAV_C03,0.2855969047801589,ACTTRAV_C03,0.18516571885810584
1,139.0,16-24,ACTTRAV_C03,0.8641718487690415,ACTTRAV_C03,0.6287108117820699
1,139.0,25-34,ACTTRAV_C03,0.8426836719956523,ACTTRAV_C03,0.5320550420365293
1,139.0,35-44,ACTTRAV_C03,0.7948890904040057,ACTTRAV_C03,0.47665297196901
1,139.0,45-54,ACTTRAV_C03,0.7144842645790117,ACTTRAV_C03,0.44298289032590027
1,139.0,55-64,ACTTRAV_C03,0.751147808879955,ACTTRAV_C03,0.4685897143088916
1,139.0,65-74,ACTTRAV_C03,0.8143839572416197,ACTTRAV_C03,0.6989856885831385
1,139.0,75-84,GARD_B08,0.6759021473704718,GARD_B08,0.6500948963265568
1,139.0,85+,ACTTRAV_C03,0.24755614903677875,ACTTRAV_C03,0.24755614903677875
1,142.0,16-24,ACTTRAV_C03,0.8920134322780914,ACTTRAV_C03,0.444839491741611
1,142.0,25-34,ACTTRAV_C03,0.9205895489389697,ACTTRAV_C03,0.5849523755716315
1,142.0,35-44,ACTTRAV_C03,0.8650143531675745,ACTTRAV_C03,0.5702995934938607
1,142.0,45-54,ACTTRAV_C03,0.8448751267150073,ACTTRAV_C03,0.536951165572032
1,142.0,55-64,ACTTRAV_C03,0.7836845672917507,ACTTRAV_C03,0.5266983107957791
1,142.0,65-74,ACTTRAV_C03,0.6516004348708769,ACTTRAV_C03,0.5098336656826526
1,142.0,75-84,GARD_B08,0.6550888628811652,WALKTRAV_B02,0.5279964834609651
1,142.0,85+,ACTTRAV_C03,0.33640451493790924,ACTTRAV_C03,0.2742565199705132
1,147.0,16-24,ACTTRAV_C03,0.8067001508539368,ACTTRAV_C03,0.5432890245382033
1,147.0,25-34,ACTTRAV_C03,0.906274221661719,ACTTRAV_C03,0.5523230749928328
1,147.0,35-44,ACTTRAV_C03,0.8813330432666886,ACTTRAV_C03,0.6059809643655716
1,147.0,45-54,WALKTRAV_B02,0.9056651835450377,ACTTRAV_C03,0.6289484865440088
1,147.0,55-64,ACTTRAV_C03,0.655093533718066,WALKTRAV_B02,0.2911181972039096
1,147.0,65-74,WALKTRAV_B02,0.6862753965608436,ACTTRAV_C03,0.5696357371872399
1,147.0,75-84,GARD_B08,0.8315975411038431,GARD_B08,0.786009705143451
1,147.0,85+,GARD_B08,0.5056712500198378,GARD_B08,0.5056712500198378
1,160.0,16-24,ACTTRAV_C03,0.9398240044153158,ACTTRAV_C03,0.5838437876915253
1,160.0,25-34,WALKTRAV_B02,0.879769426446631,ACTTRAV_C03,0.5059148274604913
1,160.0,35-44,ACTTRAV_C03,0.8762999934224345,ACTTRAV_C03,0.4637574758641189
1,160.0,45-54,ACTTRAV_C03,0.84557868148382,ACTTRAV_C03,0.5858777219344671
1,160.0,55-64,ACTTRAV_C03,0.8270508268547436,ACTTRAV_C03,0.4389107106681632
1,160.0,65-74,ACTTRAV_C03,0.7543078376869551,ACTTRAV_C03,0.5354202581456198
1,160.0,75-84,GARD_B08,0.6613880553359688,GARD_B08,0.4478044492481931
1,160.0,85+,GARD_B08,1.0,GARD_B08,0.7938179518726289
1,171.0,16-24,ACTTRAV_C03,0.9430530037557396,ACTTRAV_C03,0.3399061588891399
1,171.0,25-34,ACTTRAV_C03,0.8471945292337298,ACTTRAV_C03,0.48223461595566786
1,171.0,35-44,ACTTRAV_C03,0.8320907323954118,ACTTRAV_C03,0.43614141289525293
1,171.0,45-54,ACTTRAV_C03,0.6471958567867331,ACTTRAV_C03,0.32555379885580177
1,171.0,55-64,WALKTRAV_B02,0.7331599636827512,ACTTRAV_C03,0.3961374350103725
1,171.0,65-74,ACTTRAV_C03,0.6354741403243842,ACTTRAV_C03,0.47856279294249743
1,171.0,75-84,ACTTRAV_C03,0.6188502287479885,ACTTRAV_C03,0.56029295966164
1,171.0,85+,ACTTRAV_C03,0.5510949231108142,ABSEILING_H03,0.0
1,196.0,16-24,WALKTRAV_B02,0.8327259091313263,ACTTRAV_C03,0.5181318295081064
1,196.0,25-34,ACTTRAV_C03,0.7899059405545075,ACTTRAV_C03,0.4768804367906513
1,196.0,35-44,ACTTRAV_C03,0.7628515998027007,ACTTRAV_C03,0.4715744592476426
1,196.0,45-54,ACTTRAV_C03,0.8059715089696147,ACTTRAV_C03,0.5091492100364945
1,196.0,55-64,ACTTRAV_C03,0.7172021251215039,ACTTRAV_C03,0.3776973853637733
1,196.0,65-74,GARD_B08,0.7321822331239742,GARD_B08,0.5298836824486316
1,196.0,75-84,GARD_B08,0.5489183721060128,GARD_B08,0.3541606159035726
1,196.0,85+,GARD_B08,0.5001526697457893,ACTTRAV_C03,0.27498978147973613
1,201.0,16-24,ACTTRAV_C03,0.9062848432452795,ACTTRAV_C03,0.5020695562925553
1,201.0,25-34,ACTTRAV_C03,0.8375944491940285,ACTTRAV_C03,0.5498626586872906
1,201.0,35-44,ACTTRAV_C03,0.903244055651772,ACTTRAV_C03,0.6568757834596416
1,201.0,45-54,ACTTRAV_C03,0.8590639778785392,ACTTRAV_C03,0.5606432551641483
1,201.0,55-64,ACTTRAV_C03,0.8504679580486051,ACTTRAV_C03,0.4758870139741213
1,201.0,65-74,GARD_B08,0.7330391916923547,GARD_B08,0.5194448860505987
1,201.0,75-84,GARD_B08,0.5703188793917846,ACTTRAV_C03,0.4349055605462175
1,201.0,85+,GARD_B08,0.7178970881768889,GARD_B08,0.7178970881768889
1,241.0,16-24,ACTTRAV_C03,0.948833756016533,ACTTRAV_C03,0.6385484294682682
1,241.0,25-34,ACTTRAV_C03,0.8655419664332533,ACTTRAV_C03,0.5756846080783072
1,241.0,35-44,ACTTRAV_C03,0.8311318257250417,ACTTRAV_C03,0.491918408182351
1,241.0,45-54,ACTTRAV_C03,0.7982262607873241,ACTTRAV_C03,0.5307507771848673
1,241.0,55-64,ACTTRAV_C03,0.8130321345819688,ACTTRAV_C03,0.5478927003781738
1,241.0,65-74,ACTTRAV_C03,0.7326117479381282,ACTTRAV_C03,0.6473926294197309
1,241.0,75-84,WALKTRAV_B02,0.4473123959340464,ACTTRAV_C03,0.230782869160725
1,241.0,85+,ACTTRAV_C03,0.5045477496200429,ACTTRAV_C03,0.2249062904957086
1,255.0,16-24,ACTTRAV_C03,0.9354938248589658,ACTTRAV_C03,0.5091980679046472
1,255.0,25-34,ACTTRAV_C03,0.8965514798627899,ACTTRAV_C03,0.6179376842105737
1,255.0,35-44,ACTTRAV_C03,0.8025933562237366,ACTTRAV_C03,0.46887352554194733
1,255.0,45-54,GARD_B08,0.6817819827078985,ACTTRAV_C03,0.25316923511968215
1,255.0,55-64,ACTTRAV_C03,0.7769833605144217,ACTTRAV_C03,0.4329105867684269
1,255.0,65-74,GARD_B08,0.8051806335963352,GARD_B08,0.6767232350037057
1,255.0,75-84,GARD_B08,0.40609106589357463,GARD_B08,0.34741873134465023
1,255.0,85+,GARD_B08,0.3400919235898465,ACTTRAV_C03,0.28970034170227105
1,272.0,16-24,ACTTRAV_C03,0.9109014610314081,ACTTRAV_C03,0.6431032390672933
1,272.0,25-34,ACTTRAV_C03,0.8651372802760571,ACTTRAV_C03,0.5885520669440736
1,272.0,35-44,ACTTRAV_C03,0.8424986645221448,ACTTRAV_C03,0.48003129004349454
1,272.0,45-54,ACTTRAV_C03,0.7867558733131107,ACTTRAV_C03,0.41573630974732495
1,272.0,55-64,ACTTRAV_C03,0.8151844459464695,ACTTRAV_C03,0.5831039215268897
1,272.0,65-74,WALKTRAV_B02,0.7486123687028711,GARD_B08,0.45069091146585977
1,272.0,75-84,DANCEOTHER_O01,0.24791768844214251,ACTTRAV_C03,0.11077281337649884
1,272.0,85+,ACTTRAV_C03,1.0,ABSEILING_H03,0.0
1,279.0,16-24,WALKTRAV_B02,0.8060250690341997,ACTTRAV_C03,0.37741039575466484
1,279.0,25-34,ACTTRAV_C03,0.8456515035168285,ACTTRAV_C03,0.5618391351865525
1,279.0,35-44,ACTTRAV_C03,0.7891137937238981,ACTTRAV_C03,0.4845409583135741
1,279.0,45-54,ACTTRAV_C03,0.7751912737775255,ACTTRAV_C03,0.4436915200605551
1,279.0,55-64,ACTTRAV_C03,0.7166362096035833,ACTTRAV_C03,0.3171295867474082
1,279.0,65-74,ACTTRAV_C03,0.7176964540362376,ACTTRAV_C03,0.6509121391078064
1,279.0,75-84,CYCLEISURE_N01,0.6824993422277343,GARD_B08,0.5551938419734218
1,279.0,85+,ACTTRAV_C03,0.21631183337052923,ACTTRAV_C03,0.09978927908785253
1,280.0,16-24,ACTTRAV_C03,0.9172657216976334,ACTTRAV_C03,0.685539092058545
1,280.0,25-34,ACTTRAV_C03,0.8883462500421231,ACTTRAV_C03,0.48294539976970224
1,280.0,35-44,ACTTRAV_C03,0.9270585718260531,ACTTRAV_C03,0.6808822506579183
1,280.0,45-54,ACTTRAV_C03,0.8028104635374489,ACTTRAV_C03,0.41283597716574405
1,280.0,55-64,ACTTRAV_C03,0.7347009520096003,ACTTRAV_C03,0.5478069573209264
1,280.0,65-74,WALKTRAV_B02,0.709634215156014,WALKTRAV_B02,0.45130443830432987
1,280.0,75-84,GARD_B08,0.5981932522937164,CYCLEISURE_N01,0.5516210052188594
1,280.0,85+,GARD_B08,0.7452822686074929,GARD_B08,0.7143608063207788
1,293.0,16-24,ACTTRAV_C03,0.8540712256626317,ACTTRAV_C03,0.5619230017554
1,293.0,25-34,ACTTRAV_C03,0.9007291239322861,ACTTRAV_C03,0.4654156584253203
1,293.0,35-44,ACTTRAV_C03,0.7796816777245036,ACTTRAV_C03,0.5118169721511522
1,293.0,45-54,ACTTRAV_C03,0.8036593876056123,ACTTRAV_C03,0.5057129615534475
1,293.0,55-64,ACTTRAV_C03,0.6297548758740129,ACTTRAV_C03,0.41839309790935175
1,293.0,65-74,WALKTRAV_B02,0.6529052971097048,ACTTRAV_C03,0.536802568213378
1,293.0,75-84,ACTTRAV_C03,0.5384092660584686,WALKTRAV_B02,0.43544170240164853
1,293.0,85+,CYCLEISURE_N01,1.0,CYCLEISURE_N01,1.0
2,8.0,16-24,WALKTRAV_B02,0.8276440856766792,ACTTRAV_C03,0.40441530593977354
2,8.0,25-34,ACTTRAV_C03,0.7936672113421507,ACTTRAV_C03,0.3437860760985891
2,8.0,35-44,ACTTRAV_C03,0.748334061335352,ACTTRAV_C03,0.4514803385918445
2,8.0,45-54,ACTTRAV_C03,0.7697532811793066,ACTTRAV_C03,0.4332108108422813
2,8.0,55-64,ACTTRAV_C03,0.6130488099445814,ACTTRAV_C03,0.39005255842854886
2,8.0,65-74,GARD_B08,0.6004447607776005,GARD_B08,0.45590334665823645
2,8.0,75-84,GARD_B08,0.42991516281890146,ACTTRAV_C03,0.32712950593965884
2,8.0,85+,ACTTRAV_C03,0.6991078000007834,ACTTRAV_C03,0.6148493497435226
2,9.0,16-24,ACTTRAV_C03,0.8652398398152332,WALKTRAV_B02,0.3524816480177962
2,9.0,25-34,WALKTRAV_B02,0.8209401603066873,ACTTRAV_C03,0.41760690381613086
2,9.0,35-44,ACTTRAV_C03,0.7474388643059626,ACTTRAV_C03,0.3771871901193043
2,9.0,45-54,ACTTRAV_C03,0.7971517831357477,ACTTRAV_C03,0.3594635514417678
2,9.0,55-64,ACTTRAV_C03,0.7594369397317313,ACTTRAV_C03,0.3398381171633909
2,9.0,65-74,GARD_B08,0.6478459463616687,WALKTRAV_B02,0.49148936220000905
2,9.0,75-84,ACTTRAV_C03,0.5375323870985367,WALKTRAV_B02,0.2734709519840886
2,9.0,85+,ACTTRAV_C03,0.40528384208101503,ACTTRAV_C03,0.37485080520622327
2,17.0,16-24,WALKTRAV_B02,0.7510209309662012,ACTTRAV_C03,0.4700194225463411
2,17.0,25-34,WALKTRAV_B02,0.7900541215394052,ACTTRAV_C03,0.4045553281826304
2,17.0,35-44,ACTTRAV_C03,0.8579651186437136,ACTTRAV_C03,0.5022656646535514
2,17.0,45-54,ACTTRAV_C03,0.6405948236777586,ACTTRAV_C03,0.40982144808812937
2,17.0,55-64,GARD_B08,0.7955281420396183,ACTTRAV_C03,0.36733845247129804
2,17.0,65-74,GARD_B08,0.8448701472499112,GARD_B08,0.5779407673469104
2,17.0,75-84,GARD_B08,0.7299198674506081,GARD_B08,0.5085426398161237
2,17.0,85+,ACTTRAV_C03,0.5662195345991636,GARD_B08,0.40921947199602854
2,30.0,16-24,ACTTRAV_C03,0.8771867243443674,ACTTRAV_C03,0.45601473781394286
