year,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,n,n_frequent,weighted_n,weighted_frequent,sum_weight_squared,n_not_frequent,frequent_volunteer_rate,effective_n,small_cell,few_frequent_cases
3,6.0,55-64,2,active,533,66,614.455878573574,67.17374250510345,1451.1654528867034,467,0.10932232052371874,260.1743488053526,False,False
3,7.0,65-74,0,inactive,104,2,146.92304764427791,2.245576393065569,324.28956793699405,102,0.015284030852003808,66.56514443682863,False,True
3,7.0,65-74,1,fairly_active,54,5,83.09952017385625,9.747177061761185,195.10174220582863,49,0.11729522675183536,35.394508398802195,False,False
3,7.0,65-74,2,active,324,36,434.14922583126537,45.402094452295955,929.8478569662326,288,0.10457716322161943,202.7057963061283,False,False
3,8.0,75-84,0,inactive,45,1,128.1744192212265,6.631478919268229,487.09403264052236,44,0.051737928360123316,33.727947052932095,False,True
3,8.0,75-84,1,fairly_active,25,2,81.76781122760929,3.9814130329200763,605.2004840214488,23,0.04869169142656143,11.0475373524602,True,True
3,8.0,75-84,2,active,88,15,225.08970132417068,34.84007888635101,803.3780271226308,73,0.15478308728205592,63.06542117372424,False,False
3,9.0,85+,0,inactive,19,1,58.803223730438674,2.458972136396774,242.14663397603323,18,0.04181696139090962,14.279856235516649,True,True
3,9.0,85+,1,fairly_active,8,1,21.91445273812648,2.5725685363229203,62.751879264395285,7,0.11739141136968476,7.653049509292766,True,True
3,9.0,85+,2,active,7,0,20.982450656673233,0.0,79.9320776076885,7,0.0,5.5079668730814895,True,True
4,2.0,16-24,0,inactive,76,7,165.77389602176908,15.033787930669035,532.7650362701054,69,0.0906885118311681,51.58180948703207,False,False
4,2.0,16-24,1,fairly_active,61,4,137.37058111010188,7.626828488075807,465.81402275766015,57,0.055520100639036674,40.511181786265276,False,True
4,2.0,16-24,2,active,322,52,820.6163473338047,151.1987752587192,3448.4473374900444,270,0.18425025988084,195.2795341226288,False,False
4,3.0,25-34,0,inactive,219,5,407.13614449827054,11.540825678310888,1224.1383791397373,214,0.028346354982884386,135.40939732108086,False,False
4,3.0,25-34,1,fairly_active,127,8,237.58945542748012,14.665408071254792,839.6888555727149,119,0.06172583730565072,67.22579316814362,False,False
4,3.0,25-34,2,active,840,71,1481.0177358099943,169.4911334472031,4693.261930797923,769,0.114442338770849,467.35374375553977,False,False
4,4.0,35-44,0,inactive,234,12,327.1979004844384,19.747736350374783,751.6725256481279,222,0.06035410472113953,142.42700435154725,False,False
4,4.0,35-44,1,fairly_active,163,9,241.45294593117026,15.452858130547316,668.2323585854044,154,0.06399945989870996,87.24439089159969,False,False
4,4.0,35-44,2,active,913,100,1193.246962969544,136.72688323269495,2629.5849409333023,813,0.11458389375861727,541.4688426572318,False,False
4,5.0,45-54,0,inactive,171,6,312.8626711614279,8.655195515608003,993.3898983018225,165,0.027664519654830213,98.53437323410739,False,False
4,5.0,45-54,1,fairly_active,120,10,176.95108059510892,16.703854723003552,467.003341553457,110,0.09439815042002779,67.04809610059833,False,False
4,5.0,45-54,2,active,722,109,1019.1374343090188,160.55516571366604,2585.019078570062,613,0.15754024953712292,401.7924349651252,False,False
4,6.0,55-64,0,inactive,141,7,241.96904788160194,7.726183668305581,737.6908645270439,134,0.03193046274284671,79.36796149734961,False,False
4,6.0,55-64,1,fairly_active,85,10,141.4847796685344,9.669232464015938,428.56505507918894,75,0.06834114939196059,46.70922801709736,False,False
4,6.0,55-64,2,active,493,61,671.6884209445641,66.45371930509927,1598.564320367688,432,0.09893533554091719,282.23158060179196,False,False
4,7.0,65-74,0,inactive,124,1,179.78668654182306,1.1373708018935835,388.306272940294,123,0.006326223725297933,83.24164431579442,False,True
4,7.0,65-74,1,fairly_active,65,6,91.03022038768636,9.743105698078287,174.21229270097598,59,0.10703155124291268,47.56553567694552,False,False
4,7.0,65-74,2,active,360,50,503.49119209713126,70.81487839556497,1041.6397851343122,310,0.14064770051012865,243.36952575856427,False,False
4,8.0,75-84,0,inactive,56,0,167.42315051339835,0.0,858.6586474104317,56,0.0,32.64453390455834,False,True
4,8.0,75-84,1,fairly_active,20,1,50.229751974658726,2.7439243662987662,177.94576164064208,19,0.05462747193502162,14.178634883875104,True,True
4,8.0,75-84,2,active,102,16,317.741587599999,55.69662412200488,1393.1445217520964,86,0.1752890597126388,72.46894698591302,False,False
4,9.0,85+,0,inactive,21,3,56.11594434280155,7.394977024133626,183.041205281214,18,0.1317803186017708,17.203772257981253,True,True
4,9.0,85+,1,fairly_active,11,1,29.016595981120517,1.543658915528599,100.81356150640211,10,0.05319917320877238,8.35168235057454,True,True
4,9.0,85+,2,active,9,2,21.208102115466218,3.6780602039647334,61.54228631626283,7,0.1734271262906864,7.308529179897973,True,True
5,2.0,16-24,0,inactive,266,31,625.8178429142487,72.97648064991975,2391.997784720772,235,0.11660977946887845,163.7325816150628,False,False
5,2.0,16-24,1,fairly_active,106,15,243.97563815210555,34.58432720554597,928.2289869554762,91,0.1417531990795922,64.12653865396072,False,False
5,2.0,16-24,2,active,732,126,1583.4164587218559,280.54707993699157,5244.811499387735,606,0.1771783275282177,478.035803964346,False,False
5,3.0,25-34,0,inactive,498,35,813.2945010408238,60.07394516650673,2378.871242221865,463,0.07386493464498574,278.05117556738816,False,False
5,3.0,25-34,1,fairly_active,295,24,465.2086834350554,40.074021184171,1471.5362666270735,271,0.08614203176146316,147.07019055631875,False,False
5,3.0,25-34,2,active,1927,199,2984.80444498883,340.0214231737531,8773.720721395433,1728,0.11391748754080455,1015.4252520369851,False,False
5,4.0,35-44,0,inactive,586,48,958.1620891782069,74.62402548027951,2601.3311096921643,538,0.07788246511013892,352.9249259034114,False,False
5,4.0,35-44,1,fairly_active,295,22,426.52493590693166,44.177284091839475,1146.3269902965312,273,0.10357491525766038,158.701245360499,False,False
