calendar_year,geography_code,geography_name,adult_population,population_age_16_34_rate,population_age_65_plus_rate,population_female_rate,net_migration_per_1000,median_weekly_earnings_gbp,earnings_relative_to_london,economic_inactivity_rate,earnings_confidence_pct,economic_inactivity_confidence_pp
2020,E09000011,Greenwich,227986,0.3625485775442352,0.13095979577693367,0.5183037554937584,-7.569768086995118,573.1,0.9607962569256616,0.19699999999999998,6.4,4.4
2021,E09000011,Greenwich,230358,0.363013222896535,0.13227237604077133,0.5191658201581886,-3.906236508632748,618.3,0.9991850465850399,0.17300000000000001,5.1,4.0
2022,E09000011,Greenwich,233381,0.36499972148546794,0.13232868142650858,0.5190096880208758,1.8879475752528379,657.4,1.0173631747129852,0.209,4.5,4.8
2023,E09000011,Greenwich,237826,0.3668354174900978,0.1325506883183504,0.5181813594813015,6.780918966331557,719.4,1.0399447668910629,0.139,3.8,4.3
2015,E09000012,Hackney,208076,0.4703377612026375,0.08902996981872008,0.5177627405371115,7.616567848539108,534.5,1.0051095126362375,0.267,4.2,3.6
2016,E09000012,Hackney,210528,0.46331604347165223,0.08928978568171454,0.5195698434412525,5.492804614710901,527.8,0.9795197177250352,0.252,3.9,3.6
2017,E09000012,Hackney,210667,0.4552730138085225,0.09008530049794225,0.5223361988351284,-4.984254287591472,558.1,0.9975270795940159,0.252,4.1,3.8
2018,E09000012,Hackney,212143,0.4490791588692533,0.0914807464776118,0.5245094111047737,0.18782164456631983,555.4,0.9696265822785495,0.257,3.7,3.9
2019,E09000012,Hackney,212565,0.44519088278879404,0.09332204266930115,0.5256509773481053,-5.75942819524123,574.9,0.9702494996669925,0.242,5.0,3.9
2020,E09000012,Hackney,211844,0.4403098506448141,0.0954523139668813,0.5275674552972942,-10.702019091522546,574.9,0.9638139384166163,0.228,5.7,4.9
2021,E09000012,Hackney,210302,0.4450409411227663,0.09857252902968112,0.5292246388526975,-13.941756830538061,576.8,0.9321202246001149,0.139,5.9,5.0
2022,E09000012,Hackney,212636,0.4512218062792754,0.09989371508117158,0.5307991120976693,-2.704209858907469,632.8,0.9792933023400928,0.19,6.4,5.6
2023,E09000012,Hackney,216790,0.4576271968264219,0.10077494349370358,0.5310346418192721,5.274837892928327,667.7,0.9652086750808491,0.138,5.6,6.3
2015,E09000013,Hammersmith and Fulham,157504,0.44916319585534337,0.11353362454286875,0.5223232425843153,-3.5034126229665787,646.7,1.2160978892831709,0.19,4.1,3.4
2016,E09000013,Hammersmith and Fulham,157584,0.44195476698141944,0.11470073103868413,0.5227434257285004,-6.502304344115388,641.9,1.1912726540502088,0.214,4.6,3.7
2017,E09000013,Hammersmith and Fulham,157503,0.43651232040024635,0.11659460454721497,0.5242757280813699,-6.062220328148306,651.1,1.1637518034826442,0.209,4.1,3.9
2018,E09000013,Hammersmith and Fulham,158686,0.43399543753072106,0.11709287523789118,0.5265933982834025,0.33855806006231587,682.0,1.1906469735577434,0.18899999999999997,4.2,3.8
2019,E09000013,Hammersmith and Fulham,158550,0.43402712078208766,0.11932513402712078,0.5301986754966888,-7.716294905654373,728.0,1.2286339115630034,0.214,4.4,4.3
2020,E09000013,Hammersmith and Fulham,157183,0.4286341398242813,0.12082731593111214,0.5317050826107149,-11.975020771354293,713.1,1.1955048173332565,0.163,6.4,4.5
2021,E09000013,Hammersmith and Fulham,154843,0.4272069128084576,0.12344762113883094,0.537415317450579,-20.21166330260215,727.0,1.1748463995913376,0.187,5.9,4.8
2022,E09000013,Hammersmith and Fulham,157127,0.43515754771617865,0.12355610429779733,0.539799016082532,7.496421306411512,732.6,1.1337393699341847,0.218,6.8,5.5
2023,E09000013,Hammersmith and Fulham,159011,0.43681883643269964,0.12596612812950048,0.5423083937589224,3.9791123272473183,790.1,1.1421467338346245,0.212,5.0,6.6
2015,E09000014,Haringey,219590,0.40625711553349425,0.11234118129240858,0.5122637642879913,2.586668034498677,500.0,0.9402334075175282,0.242,3.8,3.5
2016,E09000014,Haringey,222909,0.40347406340704056,0.11267378167772499,0.5157575512877453,0.003619752264155041,481.9,0.8943360211665299,0.233,5.1,3.4
2017,E09000014,Haringey,221768,0.3912106345369936,0.1163377944518596,0.5162241621875113,-17.834826552212867,525.3,0.9389015855773812,0.264,5.0,3.4
2018,E09000014,Haringey,222178,0.38540269513633213,0.1186436100784056,0.5191243057368417,-11.019544924154026,551.4,0.9626433155714659,0.226,4.3,3.5
2019,E09000014,Haringey,222450,0.37994605529332437,0.12097100472016184,0.5212901775679928,-10.635110844817255,547.6,0.92417572798338,0.209,5.4,3.9
2020,E09000014,Haringey,219722,0.3680924076787941,0.12448457596417291,0.523174738988358,-22.30516372702516,567.8,0.9519108614245169,0.22,6.3,4.7
2021,E09000014,Haringey,216102,0.3582428667943841,0.12946664075297776,0.5247290631275972,-25.878017683312084,546.0,0.8823468145486526,0.198,6.2,4.3
2022,E09000014,Haringey,214193,0.3565009127282404,0.13320696754795908,0.5267165593646851,-15.621303581376537,604.3,0.9351879623958883,0.195,6.0,4.6
2023,E09000014,Haringey,215698,0.3588304017654313,0.1345028697530807,0.5272788806572152,-1.3707368564941032,668.4,0.9662205757436565,0.22,6.0,5.4
2015,E09000015,Harrow,203596,0.34013438377964206,0.18012632861156408,0.5099658146525472,3.532987607125511,505.1,0.949823788274207,0.225,4.3,3.4
