year,LA_2023,age_group_code,age_group,inactive,fairly_active,active,active_inactive_gap,fairly_inactive_gap
3,91,6,55-64,0.0158525023553223,0.0,0.0974024277713059,0.08154992541598359,-0.0158525023553223
3,91,7,65-74,0.0,0.0,0.0769677742627502,0.0769677742627502,0.0
3,91,8,75-84,0.0,0.2557807370967795,0.110859741302122,0.110859741302122,0.2557807370967795
3,91,9,85+,0.0,,0.0,0.0,
3,107,2,16-24,0.0,0.0,0.6841407535021808,0.6841407535021808,0.0
3,107,3,25-34,0.0,0.0,0.0315846810893701,0.0315846810893701,0.0
3,107,4,35-44,0.0,0.1602103073517161,0.1796118728542467,0.1796118728542467,0.1602103073517161
3,107,5,45-54,0.2143081660904587,0.1274207226119638,0.1192748291001468,-0.09503333699031188,-0.08688744347849489
3,107,6,55-64,0.0,0.0,0.178326198677644,0.178326198677644,0.0
3,107,7,65-74,0.0,0.0,0.0244052679878616,0.0244052679878616,0.0
3,107,8,75-84,0.0,0.0,0.380554138735578,0.380554138735578,0.0
3,107,9,85+,0.0,0.0,,,0.0
3,109,2,16-24,0.2688003766133235,0.0,0.0,-0.2688003766133235,-0.2688003766133235
3,109,3,25-34,0.0,0.0,0.0549747292102774,0.0549747292102774,0.0
3,109,4,35-44,0.0,0.0863004658059295,0.0926564730931352,0.0926564730931352,0.0863004658059295
3,109,5,45-54,0.0,0.0,0.1088717454844741,0.1088717454844741,0.0
3,109,6,55-64,0.0,0.0,0.0506585921088909,0.0506585921088909,0.0
3,109,7,65-74,0.0,0.0,0.2604345706408817,0.2604345706408817,0.0
3,109,8,75-84,0.0,0.0,0.0,0.0,0.0
3,109,9,85+,0.0,0.0,0.0,0.0,0.0
3,112,2,16-24,0.1304857483865775,1.0,0.0210204166766086,-0.1094653317099689,0.8695142516134224
3,112,3,25-34,0.0,0.0,0.1389029356196812,0.1389029356196812,0.0
3,112,4,35-44,0.0392485011113516,0.1528281008356935,0.0503686495451012,0.011120148433749602,0.11357959972434191
3,112,5,45-54,0.0,0.0,0.1322186975064321,0.1322186975064321,0.0
3,112,6,55-64,0.0,0.0,0.0152874507262192,0.0152874507262192,0.0
3,112,7,65-74,0.0,0.4946665450693061,0.0852068948455476,0.0852068948455476,0.4946665450693061
3,112,8,75-84,0.0,0.0,0.2869272660114336,0.2869272660114336,0.0
3,112,9,85+,0.0,0.0,,,0.0
3,114,2,16-24,0.0,0.0,0.1014130690824445,0.1014130690824445,0.0
3,114,3,25-34,0.0,0.0,0.1287725496759264,0.1287725496759264,0.0
3,114,4,35-44,0.0,0.0,0.0690874500347992,0.0690874500347992,0.0
3,114,5,45-54,0.0,0.0,0.3730742366688224,0.3730742366688224,0.0
3,114,6,55-64,0.0,0.1993649671384638,0.1156445635061468,0.1156445635061468,0.1993649671384638
3,114,7,65-74,0.1081567118471679,0.0,0.3226549021653618,0.2144981903181939,-0.1081567118471679
3,114,8,75-84,0.0,0.0,0.1962727975105543,0.1962727975105543,0.0
3,114,9,85+,0.0,,0.0,0.0,
3,117,2,16-24,0.0,0.0,0.019433925811659,0.019433925811659,0.0
3,117,3,25-34,0.2139464392119656,0.0,0.2698199562271625,0.05587351701519688,-0.2139464392119656
3,117,4,35-44,0.1252095549074824,0.0,0.145648644300576,0.020439089393093607,-0.1252095549074824
3,117,5,45-54,0.0,0.1146693531926297,0.2242482547908379,0.2242482547908379,0.1146693531926297
3,117,6,55-64,0.0,0.0155981527642796,0.0636572911505669,0.0636572911505669,0.0155981527642796
3,117,7,65-74,0.0389544104998842,0.0,0.2873868134734956,0.2484324029736114,-0.0389544104998842
3,117,8,75-84,0.0,0.0,0.1037315516497761,0.1037315516497761,0.0
3,117,9,85+,0.0,0.0,0.0,0.0,0.0
3,122,2,16-24,0.0,0.0,0.2882174458238648,0.2882174458238648,0.0
3,122,3,25-34,0.1293913513888658,0.1358905185753392,0.1969355162912313,0.0675441649023655,0.00649916718647342
3,122,4,35-44,0.0,0.0511170789762093,0.2809214608792736,0.2809214608792736,0.0511170789762093
3,122,5,45-54,0.1342201947661009,0.0,0.0904576299770957,-0.0437625647890052,-0.1342201947661009
3,122,6,55-64,0.1511242089710442,0.0,0.093262800805757,-0.057861408165287204,-0.1511242089710442
3,122,7,65-74,0.1328101095872459,0.0,0.1273969241419431,-0.005413185445302809,-0.1328101095872459
3,122,8,75-84,0.0,0.0,0.1945414416477736,0.1945414416477736,0.0
3,122,9,85+,0.0,,0.0,0.0,
3,126,2,16-24,0.0,0.0,0.0,0.0,0.0
3,126,3,25-34,0.1213160256801872,0.0,0.1743612134317287,0.05304518775154149,-0.1213160256801872
3,126,4,35-44,0.0,0.0,0.097144969534304,0.097144969534304,0.0
3,126,5,45-54,0.0155408352292689,0.1012146618870207,0.2415396268736072,0.22599879164433828,0.0856738266577518
3,126,6,55-64,0.0,0.3900104249101634,0.184369432831905,0.184369432831905,0.3900104249101634
3,126,7,65-74,0.0,0.0,0.0756338858419414,0.0756338858419414,0.0
3,126,8,75-84,0.1494698359527267,,0.1379167046945164,-0.011553131258210309,
3,126,9,85+,0.0,0.0,0.0,0.0,0.0
3,129,2,16-24,0.2908255967393052,0.0,0.0313715674615987,-0.2594540292777065,-0.2908255967393052
3,129,3,25-34,0.0696822051320953,0.5257150221186788,0.1671757849893276,0.09749357985723231,0.4560328169865835
3,129,4,35-44,0.0,0.0,0.0313533038914805,0.0313533038914805,0.0
3,129,5,45-54,0.0,0.0,0.1411948487607483,0.1411948487607483,0.0
3,129,6,55-64,0.0973142687742128,0.2768118833990448,0.1620472965823144,0.0647330278081016,0.179497614624832
3,129,7,65-74,0.0,0.0,0.0,0.0,0.0
3,129,8,75-84,0.0,0.0,0.0,0.0,0.0
3,129,9,85+,0.2512567350067961,,0.0,-0.2512567350067961,
3,135,2,16-24,0.0,0.0,0.0412351021099921,0.0412351021099921,0.0
3,135,3,25-34,0.0,0.044858922858459,0.0548680599927808,0.0548680599927808,0.044858922858459
3,135,4,35-44,0.0,0.1224638567180322,0.1649311949770428,0.1649311949770428,0.1224638567180322
3,135,5,45-54,0.0551124414158698,0.0,0.1240646453917632,0.06895220397589341,-0.0551124414158698
3,135,6,55-64,0.0,0.0,0.1170018881256464,0.1170018881256464,0.0
3,135,7,65-74,0.0,0.0,0.0,0.0,0.0
3,135,8,75-84,0.0,0.0,0.1444163450466988,0.1444163450466988,0.0
3,135,9,85+,0.0,,0.0,0.0,
3,136,2,16-24,0.0,0.0,0.4618117046925512,0.4618117046925512,0.0
3,136,3,25-34,0.0,0.0,0.0,0.0,0.0
