LA_2023,age_group_code,age_group,observed_years,complete_historical_period,historical_slope,year3_rate,year8_rate,year3_year8_change,slope_pp_per_year,year3_year8_change_pp,borough_name
78,3,25-34,6,True,0.0031251914307359094,0.0516612499877172,0.1086282749866392,0.056967024998922,0.31251914307359097,5.6967024998922,Ealing
78,4,35-44,6,True,0.013315696526989076,0.1154887791875698,0.2341997299602941,0.11871095077272428,1.3315696526989076,11.871095077272429,Ealing
78,5,45-54,6,True,-0.012517054205247072,0.166647236660731,0.0729888922299857,-0.0936583444307453,-1.2517054205247073,-9.365834443074531,Ealing
78,6,55-64,6,True,0.014187912098601865,0.0677130746113523,0.1802087151102049,0.11249564049885259,1.4187912098601865,11.24956404988526,Ealing
78,7,65-74,6,True,0.01710303517325175,0.0394174722936978,0.0902303355270237,0.0508128632333259,1.7103035173251748,5.08128632333259,Ealing
78,8,75-84,6,True,-0.013627700830557794,0.1797754040488496,0.0961920669437747,-0.08358333710507489,-1.3627700830557794,-8.35833371050749,Ealing
78,9,85+,5,False,,0.0,0.0,0.0,,0.0,Ealing
91,2,16-24,6,True,0.008250936713856823,0.1468170686535705,0.1954980764691223,0.04868100781555179,0.8250936713856823,4.868100781555179,Enfield
91,3,25-34,6,True,0.02611118811806955,0.0503739408548685,0.1670437671848623,0.1166698263299938,2.6111188118069553,11.66698263299938,Enfield
91,4,35-44,6,True,0.012198298142875087,0.0628387207282767,0.1507412618990158,0.08790254117073909,1.2198298142875086,8.790254117073909,Enfield
91,5,45-54,6,True,0.009129763106279257,0.1447268920532927,0.2425852217747439,0.0978583297214512,0.9129763106279257,9.78583297214512,Enfield
91,6,55-64,6,True,0.009341939862294533,0.0624519735653288,0.1023560787826209,0.0399041052172921,0.9341939862294533,3.9904105217292103,Enfield
91,7,65-74,6,True,0.010542551971233868,0.046037965310966,0.1450885133922393,0.0990505480812733,1.054255197123387,9.90505480812733,Enfield
91,8,75-84,6,True,-0.013721009014431901,0.0866789601248052,0.0,-0.0866789601248052,-1.3721009014431902,-8.667896012480519,Enfield
91,9,85+,6,True,0.020629412979346506,0.0,0.0,0.0,2.0629412979346506,0.0,Enfield
107,2,16-24,6,True,-0.09428360017618122,0.5636982404531709,0.1830338869817772,-0.38066435347139366,-9.428360017618122,-38.06643534713937,Greenwich
107,3,25-34,6,True,0.0060562123737204175,0.0226378708456659,0.062170666090344,0.03953279524467811,0.6056212373720418,3.9532795244678107,Greenwich
107,4,35-44,6,True,0.006114980829115442,0.1469370355029836,0.1498867779151033,0.0029497424121197047,0.6114980829115442,0.29497424121197047,Greenwich
107,5,45-54,6,True,0.0007023806505052016,0.1506901697733341,0.1118530314589703,-0.038837138314363806,0.07023806505052016,-3.8837138314363804,Greenwich
107,6,55-64,6,True,0.0190184467562002,0.1228972864728567,0.1111960470819738,-0.011701239390882912,1.90184467562002,-1.1701239390882912,Greenwich
107,7,65-74,6,True,0.02264723797956418,0.0192423356410775,0.1071708277366629,0.0879284920955854,2.264723797956418,8.79284920955854,Greenwich
107,8,75-84,6,True,-0.012479291610556307,0.1596373159976692,0.0852003854696602,-0.074436930528009,-1.2479291610556307,-7.443693052800899,Greenwich
107,9,85+,5,False,,0.0,0.0,0.0,,0.0,Greenwich
109,2,16-24,6,True,0.002707746080134952,0.091096899110087,0.1277280054326884,0.03663110632260139,0.27077460801349523,3.6631106322601386,Hackney
109,3,25-34,6,True,0.010214671058006568,0.0467329479014361,0.0969215685548594,0.05018862065342329,1.0214671058006568,5.018862065342329,Hackney
109,4,35-44,6,True,0.005464225747420635,0.079930524316417,0.1080165143988063,0.028085990082389295,0.5464225747420635,2.8085990082389296,Hackney
109,5,45-54,6,True,0.011251308963964389,0.0784422410565433,0.1028343749638182,0.024392133907274904,1.1251308963964388,2.4392133907274904,Hackney
109,6,55-64,6,True,0.011787819617820588,0.0260668228973691,0.0892493756523148,0.0631825527549457,1.1787819617820587,6.318255275494571,Hackney
109,7,65-74,6,True,-0.014555197791567222,0.1924320733419575,0.0879778713050493,-0.1044542020369082,-1.4555197791567223,-10.44542020369082,Hackney
109,8,75-84,6,True,-0.003790598461233875,0.0,0.0,0.0,-0.3790598461233875,0.0,Hackney
109,9,85+,6,True,0.14285714285714274,0.0,1.0,1.0,14.285714285714274,100.0,Hackney
112,2,16-24,6,True,0.02188681917781255,0.1112766757906325,0.2261142180682152,0.1148375422775827,2.1886819177812553,11.483754227758268,Hammersmith and Fulham
112,3,25-34,6,True,-0.006380581136281518,0.1054856841910796,0.0640628486811424,-0.04142283550993721,-0.6380581136281518,-4.142283550993721,Hammersmith and Fulham
112,4,35-44,6,True,0.004154456352570222,0.0561413801544715,0.0746204593332339,0.018479079178762396,0.4154456352570222,1.8479079178762396,Hammersmith and Fulham
112,5,45-54,6,True,0.009543740317538421,0.0969142355110794,0.147227748110462,0.05031351259938259,0.9543740317538421,5.031351259938259,Hammersmith and Fulham
112,6,55-64,6,True,0.014583351022728624,0.0090774581697533,0.0343414090032645,0.025263950833511205,1.4583351022728623,2.5263950833511206,Hammersmith and Fulham
112,7,65-74,6,True,0.0018731435438612896,0.1149601672552722,0.1168822183638024,0.0019220511085302067,0.18731435438612895,0.19220511085302067,Hammersmith and Fulham
112,8,75-84,6,True,-0.012461562076714795,0.1484092515569915,0.0933306994127133,-0.0550785521442782,-1.2461562076714794,-5.507855214427821,Hammersmith and Fulham
112,9,85+,5,False,,0.0,0.0,0.0,,0.0,Hammersmith and Fulham
