LA_2023,activity_level_3cat,activity_level_3cat_label,observed_years,complete_historical_period,historical_slope,year3_rate,year8_rate,year3_year8_change,slope_pp_per_year,year3_year8_change_pp,borough_name
147,0,inactive,6,True,0.011681262733529603,0.045845493023994,0.1104996377667886,0.0646541447427946,1.1681262733529603,6.46541447427946,Lewisham
147,1,fairly_active,6,True,0.005362863741787011,0.0281006089565694,0.1136081892669467,0.0855075803103773,0.5362863741787011,8.55075803103773,Lewisham
147,2,active,6,True,0.00865134432340205,0.076860428519283,0.1257012106446112,0.048840782125328205,0.865134432340205,4.88407821253282,Lewisham
160,0,inactive,6,True,-0.0002447637409845159,0.1663288538099369,0.1290272534496641,-0.0373016003602728,-0.02447637409845159,-3.7301600360272804,Merton
160,1,fairly_active,6,True,0.009246280881265116,0.056571435597701,0.1187397231179398,0.0621682875202388,0.9246280881265115,6.21682875202388,Merton
160,2,active,6,True,0.008141053019176128,0.1094225369481179,0.1439745103605429,0.034551973412425,0.8141053019176128,3.4551973412424997,Merton
171,0,inactive,6,True,0.02043599694097522,0.0231313026760087,0.1177479331014947,0.094616630425486,2.043599694097522,9.4616630425486,Newham
171,1,fairly_active,6,True,0.006807145539867518,0.0377650640585253,0.1171361872509075,0.07937112319238221,0.6807145539867517,7.937112319238221,Newham
171,2,active,6,True,0.0012241838716500974,0.1661649220254638,0.139647883417129,-0.026517038608334792,0.12241838716500973,-2.651703860833479,Newham
196,0,inactive,6,True,-0.0002521394359771249,0.053075621708998,0.0567021905576142,0.003626568848616195,-0.025213943597712493,0.3626568848616195,Redbridge
196,1,fairly_active,6,True,-0.0003584446804202155,0.0974366877875695,0.1414939227499457,0.04405723496237621,-0.03584446804202155,4.405723496237621,Redbridge
196,2,active,6,True,0.005664520443446998,0.1250581676779609,0.1647277975746881,0.039669629896727204,0.5664520443446998,3.9669629896727203,Redbridge
201,0,inactive,6,True,0.015400158104325169,0.0149737899863077,0.0888488008785999,0.0738750108922922,1.5400158104325168,7.38750108922922,Richmond upon Thames
201,1,fairly_active,6,True,-0.010656809695932795,0.0792098359351672,0.1270038887853408,0.0477940528501736,-1.0656809695932796,4.7794052850173605,Richmond upon Thames
201,2,active,6,True,-0.0028216281411393876,0.1587322544575332,0.195919582903659,0.037187328446125795,-0.28216281411393873,3.7187328446125796,Richmond upon Thames
241,0,inactive,6,True,0.02300088519551871,0.0119441495304841,0.1171879207580028,0.1052437712275187,2.300088519551871,10.52437712275187,Southwark
241,1,fairly_active,6,True,-0.03249899778348884,0.2345832365702832,0.0356401868772092,-0.19894304969307403,-3.2498997783488837,-19.894304969307402,Southwark
241,2,active,6,True,-0.0006745684864974706,0.0931125467765841,0.1243717632901734,0.0312592165135893,-0.06745684864974706,3.1259216513589303,Southwark
255,0,inactive,6,True,-0.0009054718948700548,0.0736263243258578,0.054195303689244,-0.019431020636613804,-0.09054718948700548,-1.9431020636613803,Sutton
255,1,fairly_active,6,True,-0.001006710764226949,0.0428351899890276,0.0438581562217602,0.0010229662327326042,-0.10067107642269489,0.10229662327326042,Sutton
255,2,active,6,True,0.007194346614016664,0.1076024869342551,0.1442013723534721,0.036598885419217006,0.7194346614016663,3.6598885419217004,Sutton
272,0,inactive,6,True,-0.0033436684323637253,0.0126506577904319,0.0434696652648335,0.0308190074744016,-0.3343668432363725,3.08190074744016,Tower Hamlets
272,1,fairly_active,6,True,0.005743761619625763,0.0,0.0,0.0,0.5743761619625763,0.0,Tower Hamlets
272,2,active,6,True,0.014221388334521967,0.0827959944375235,0.1553962624844831,0.0726002680469596,1.4221388334521967,7.2600268046959595,Tower Hamlets
279,0,inactive,6,True,0.015873149666043553,0.0063866530670498,0.144834238325498,0.1384475852584482,1.5873149666043553,13.844758525844819,Waltham Forest
279,1,fairly_active,6,True,-0.001795330133133302,0.1123820497971462,0.0796307696568919,-0.03275128014025429,-0.17953301331333021,-3.275128014025429,Waltham Forest
279,2,active,6,True,0.001400740908577785,0.1346358211158969,0.1158455855906048,-0.01879023552529209,0.1400740908577785,-1.879023552529209,Waltham Forest
280,0,inactive,6,True,0.0005861798175664008,0.0484320897461938,0.0701644829558799,0.021732393209686104,0.05861798175664008,2.1732393209686105,Wandsworth
280,1,fairly_active,6,True,0.03604562941701919,0.0674445530737674,0.2731867548004618,0.20574220172669438,3.604562941701919,20.57422017266944,Wandsworth
280,2,active,6,True,0.0047477124693170916,0.1615322548416123,0.1590584242151394,-0.0024738306264728838,0.47477124693170913,-0.24738306264728838,Wandsworth
293,0,inactive,6,True,0.00033316145237079914,0.0386378963366811,0.0088161227981778,-0.029821773538503297,0.03331614523707992,-2.9821773538503296,Westminster
293,1,fairly_active,6,True,-0.004007959213744885,0.0,0.0178464745600835,0.0178464745600835,-0.4007959213744885,1.78464745600835,Westminster
293,2,active,6,True,0.002947394605153707,0.053926128192431,0.0847805288260273,0.030854400633596298,0.2947394605153707,3.0854400633596297,Westminster
