LA_2023,age_group,year,overall_inactive_rate_deterministic,overall_inactive_rate_median,overall_inactive_rate_lower_90,overall_inactive_rate_upper_90,overall_fairly_active_rate_deterministic,overall_fairly_active_rate_median,overall_fairly_active_rate_lower_90,overall_fairly_active_rate_upper_90,overall_active_rate_deterministic,overall_active_rate_median,overall_active_rate_lower_90,overall_active_rate_upper_90
109,35-44,9,0.22489573857239437,0.20577966441803253,0.0908570171640075,0.3976803880846553,0.10023155334479988,0.14920577553730524,6.55553016032184e-06,0.3079648055837228,0.6748727080828058,0.6394574876640697,0.37602947575416523,0.7976613019619393
109,45-54,9,0.18327929101778662,0.177951542388033,0.07845135892837231,0.3474174256112779,0.08936273863046393,0.13085505984998924,7.3833828016712195e-06,0.2614122867634101,0.7273579703517495,0.688347041860764,0.43005100722607215,0.8448365628404416
109,55-64,9,0.25683464336422573,0.24097802610587954,0.10365862755789113,0.41165125290044624,0.09536866377280928,0.1426214448710544,0.01601025053086146,0.32313723494021795,0.6477966928629649,0.6156036545060598,0.4124696232063536,0.7929027206441214
109,65-74,9,0.23480566720712717,0.23036333988822494,0.09699953771171639,0.4177782240493585,0.0943949260816056,0.14299692076725293,2.592843483936567e-06,0.2947374651800519,0.6707994067112673,0.6249767510042166,0.3812742086884191,0.7962612387044727
109,75-84,9,0.29190666418867955,0.27727490992077775,0.11523406094759664,0.4737996235009085,0.12297183779597033,0.17334237285604567,0.014261300831768962,0.29029502656525874,0.5851214980153502,0.5452339703750659,0.35175622404622675,0.7462327809351643
109,85+,9,0.5578880846163117,0.529364702486251,0.2665889410426744,0.7189234379623954,0.11095557307290124,0.16665074809629724,3.002147946550139e-06,0.3078587252282836,0.33115634231078717,0.31733689339935534,0.15740651867782987,0.5321031779802541
112,16-24,9,0.16314802972928927,0.1571642572188513,0.07222853209644269,0.31712524394702735,0.07190136907952913,0.10571811058524469,0.023484184680037788,0.23095894604649578,0.7649506011911817,0.7347664031576324,0.48659771859675277,0.8602227378651324
112,25-34,9,0.13387166721215812,0.1259213691836612,0.04773988743092773,0.2664207649736823,0.08111954574617344,0.11729828422342972,1.4776494320666812e-06,0.24675890898404615,0.7850087870416684,0.7529309574510306,0.5713624262742326,0.9022219951601159
112,35-44,9,0.23379881223004925,0.21735122074572638,0.08241458969259412,0.42773843827985236,0.09932145208636563,0.14940678830940507,2.2019578807013843e-06,0.29063993556214807,0.666879735683585,0.6252782906124748,0.42723349889884854,0.8167054335739179
112,45-54,9,0.17200097231276917,0.1647114498848523,0.0714084424938621,0.3354429823846419,0.0853139346039859,0.12469307168660022,1.6426138068590905e-06,0.25465498624314103,0.7426850930832449,0.7041332609850239,0.4482078361510507,0.8586948096077947
112,55-64,9,0.21872817125649718,0.21121588152224108,0.09562726678283269,0.40272357364756445,0.089660035267648,0.1390265800380572,2.492719848015781e-06,0.2622422596619008,0.6916117934758548,0.6508899993752513,0.43442836063757156,0.8210057698539429
112,65-74,9,0.22898542945800032,0.21612347103304805,0.08705108525520369,0.42021516070854986,0.0830850889995957,0.12172936243665411,2.273612583669992e-06,0.23153434186548424,0.687929481542404,0.6618227737665898,0.45795461765740064,0.8109713818234198
112,75-84,9,0.34780673493912506,0.3241408584724175,0.1487327658258783,0.5287672906884411,0.10115973664877026,0.15331790265978543,2.6193831251587902e-06,0.2784135196714696,0.5510335284121046,0.5174054738215896,0.30821917338382065,0.7272659159698046
112,85+,9,0.40265742152953504,0.38069565935806926,0.1693218051192383,0.5839866425420875,0.11028062597854119,0.15760179853119494,1.966852495077233e-06,0.2782858178748611,0.48706195249192363,0.4676065447363721,0.27472753203059114,0.6956252781520668
114,16-24,9,0.23216537616614905,0.22349331605315967,0.0957759459731135,0.43511336321018756,0.09454225810159912,0.13759089944437725,2.0968206524428097e-06,0.28277825514687716,0.6732923657322519,0.63701523777992,0.38028060889687787,0.8109993333361724
