output_position,variable_name,section,variable_label,source_position,source_format,measurement_level,value_labels,notes
457,MEMS7GR_DIVING_U05,Activity: MEMS7GR,Activity: MEMS (grouped): Diving (ONLINE ONLY),3833,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""Inactive"", ""1.0"": ""Insufficiently Active"", ""2.0"": ""Active""}",
458,MONTHS_12_WATERPOLO_U06,Activity: MONTHS_12,Done in the last 12 months: Water polo (ONLINE ONLY),3837,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
459,DAYS10P60GR_WATERPOLO_U06,Activity: DAYS10P60GR,Num sessions of moderate activity for at least 10 minutes in last 28 days with 60 min limit (grouped) Water polo (ONLINE ONLY),3840,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2+""}",
460,MEMS7_WATERPOLO_U06,Activity: MEMS7,Activity: MEMS: Water polo (ONLINE ONLY),3846,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group""}",
461,MEMS7GR_WATERPOLO_U06,Activity: MEMS7GR,Activity: MEMS (grouped): Water polo (ONLINE ONLY),3850,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""Inactive"", ""1.0"": ""Insufficiently Active"", ""2.0"": ""Active""}",
462,MONTHS_12_RUNJOG_U07,Activity: MONTHS_12,Done in the last 12 months: Running or jogging,3854,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
463,DAYS10P60GR_RUNJOG_U07,Activity: DAYS10P60GR,Num sessions of moderate activity for at least 10 minutes in last 28 days with 60 min limit (grouped) Running or jogging,3857,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2+""}",
464,MEMS7_RUNJOG_U07,Activity: MEMS7,Activity: MEMS: Running or jogging,3863,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group""}",
465,MEMS7GR_RUNJOG_U07,Activity: MEMS7GR,Activity: MEMS (grouped): Running or jogging,3867,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""Inactive"", ""1.0"": ""Insufficiently Active"", ""2.0"": ""Active""}",
466,MONTHS_12_GOLFFULL_U08,Activity: MONTHS_12,Done in the last 12 months: Full course golf (ONLINE ONLY),3871,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
467,DAYS10P60GR_GOLFFULL_U08,Activity: DAYS10P60GR,Num sessions of moderate activity for at least 10 minutes in last 28 days with 60 min limit (grouped) Full course golf (ONLINE ONLY),3874,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2+""}",
468,MEMS7_GOLFFULL_U08,Activity: MEMS7,Activity: MEMS: Full course golf (ONLINE ONLY),3880,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group""}",
469,MEMS7GR_GOLFFULL_U08,Activity: MEMS7GR,Activity: MEMS (grouped): Full course golf (ONLINE ONLY),3884,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""Inactive"", ""1.0"": ""Insufficiently Active"", ""2.0"": ""Active""}",
470,MONTHS_12_GOLFSHORT_U09,Activity: MONTHS_12,"Done in the last 12 months: Short course golf, par 3, pitch and putt, putting (ONLINE ONLY)",3888,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
471,DAYS10P60GR_GOLFSHORT_U09,Activity: DAYS10P60GR,"Num sessions of moderate activity for at least 10 minutes in last 28 days with 60 min limit (grouped) Short course golf, par 3, pitch and putt, putting (ONLINE ONLY)",3891,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2+""}",
472,MEMS7_GOLFSHORT_U09,Activity: MEMS7,"Activity: MEMS: Short course golf, par 3, pitch and putt, putting (ONLINE ONLY)",3897,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group""}",
473,MEMS7GR_GOLFSHORT_U09,Activity: MEMS7GR,"Activity: MEMS (grouped): Short course golf, par 3, pitch and putt, putting (ONLINE ONLY)",3901,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""Inactive"", ""1.0"": ""Insufficiently Active"", ""2.0"": ""Active""}",
474,MONTHS_12_DRIVINGRANGE_U10,Activity: MONTHS_12,Done in the last 12 months: Driving range (ONLINE ONLY),3905,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
475,DAYS10P60GR_DRIVINGRANGE_U10,Activity: DAYS10P60GR,Num sessions of moderate activity for at least 10 minutes in last 28 days with 60 min limit (grouped) Driving range (ONLINE ONLY),3908,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2+""}",
