task,model,candidate_id,parameters_json,folds,mean_weighted_tv,sd_weighted_tv,worst_weighted_tv,mean_mae,mean_rmse,mean_weighted_rmse,mean_r2,mean_error,mean_clip_rate,mean_common_rows,mean_all_rows,se_weighted_tv
borough_activity,Random Forest,Random Forest_05,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",3,0.037872016095291894,0.003934089382769972,0.0406627617454966,0.040230807047470944,0.05036477858723654,0.04639427608525836,0.014926896119959046,-0.006325148362737144,0.0,96.0,96.0,0.002271347564158292
borough_activity,Ridge Regression,Ridge Regression_01,"{""alpha"": 0.01}",3,0.0425011235862176,0.01923523620864864,0.0645143137742537,0.04633119613224144,0.056498625100629696,0.05036338200139171,-0.32100866215055207,0.006263884291560142,0.0,96.0,96.0,0.01110546880298933
borough_activity,Ridge Regression,Ridge Regression_02,"{""alpha"": 0.1}",3,0.04246324471259144,0.019238858432615746,0.06448085533765646,0.046294920075974105,0.05644976649417512,0.05031810125970979,-0.31890836033300757,0.006232404683742875,0.0,96.0,96.0,0.011107560094971804
borough_activity,Ridge Regression,Ridge Regression_03,"{""alpha"": 1.0}",3,0.042125788081399856,0.019210444433624886,0.06411343112717133,0.04596396906192283,0.05604675696986968,0.04995110808495318,-0.3013433130727382,0.0059323918679055855,0.0,96.0,96.0,0.011091155265005677
borough_activity,Ridge Regression,Ridge Regression_04,"{""alpha"": 10.0}",3,0.040684592373978576,0.01661633481430512,0.05959791253358173,0.044593452473294416,0.05446111668250114,0.0485829423018716,-0.22200385027386005,0.003740647134100884,0.0,96.0,96.0,0.009593445377984011
borough_activity,Ridge Regression,Ridge Regression_05,"{""alpha"": 100.0}",3,0.03893094497556979,0.002922506402153673,0.040864147651348465,0.042473090140257186,0.05210599784754081,0.04709611168459144,-0.07345426868116615,-0.0018176220858126056,0.0,96.0,96.0,0.0016873098579918279
borough_activity,Ridge Regression,Ridge Regression_06,"{""alpha"": 1000.0}",3,0.04203006242761864,0.01041930559910422,0.04938413935658597,0.04316228977459021,0.05276167800023148,0.05050605806284666,-0.07513612866009504,-0.005075211600592659,0.0,96.0,96.0,0.006015588892411797
borough_activity,Ridge Regression,Ridge Regression_07,"{""alpha"": 10000.0}",3,0.04489842877264483,0.011126770968370841,0.05208729390690554,0.04442716569632205,0.05378575419092014,0.05305064353579283,-0.11363090705394163,-0.006566150693537366,0.0,96.0,96.0,0.006424044213800218
borough_age,Gradient Boosting,Gradient Boosting_01,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 1, ""min_leaf_fraction"": 0.05, ""n_estimators"": 120}",3,0.04754589438589898,0.001927286447404937,0.048860447361245535,0.060650160866563156,0.10041985403496534,0.06417280806249114,-0.039788038483347776,-0.015584773583973347,0.0,249.66666666666666,252.66666666666666,0.0011127193492147579
borough_age,Gradient Boosting,Gradient Boosting_02,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",3,0.04804037104844435,0.002106233990037781,0.0498297539515538,0.06047055260970372,0.09950801755591805,0.06426381208320418,-0.024148254205739888,-0.015523459654124218,0.0,249.66666666666666,252.66666666666666,0.0012160347611246524
borough_age,Gradient Boosting,Gradient Boosting_03,"{""learning_rate"": 0.025, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",3,0.04784051105025025,0.0024034409839694,0.049838114840407594,0.060410501670360474,0.09941567739069608,0.06406010884391576,-0.02218082785301741,-0.01561044844354377,0.0,249.66666666666666,252.66666666666666,0.0013876272990761122
borough_age,Gradient Boosting,Gradient Boosting_04,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 400}",3,0.04714445090915546,0.0029134702173108894,0.04920251327361635,0.06024333337242013,0.09903411331160535,0.063329748984232,-0.013706470731613426,-0.015340611736362753,0.0,249.66666666666666,252.66666666666666,0.0016820928142403995
borough_age,Gradient Boosting,Gradient Boosting_05,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 3, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",3,0.04851155842531909,0.0013814174768854188,0.049386239042923316,0.0608473131278117,0.09987023201918388,0.06487803068628419,-0.03137027370839022,-0.01485690181719368,0.0026455026455026454,249.66666666666666,252.66666666666666,0.0007975617521430502
borough_age,Gradient Boosting,Gradient Boosting_06,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",3,0.04945448848367656,0.0015742497998809794,0.05099495547235107,0.06498406902685806,0.09993628359022384,0.06489321688955645,-0.0392475747230819,-0.00427405214287672,0.0,249.66666666666666,252.66666666666666,0.000908893545732998
borough_age,Naive baseline,Naive baseline_01,{},3,0.06714042416647602,0.002552874148034097,0.06999251298691611,0.082769550751636,0.13931300620341514,0.09031842785782168,-1.156611017840672,-0.004367377399429072,0.0,249.66666666666666,249.66666666666666,0.0014739025765747225
borough_age,Random Forest,Random Forest_01,"{""max_depth"": 4, ""max_features"": 0.5, ""min_leaf_fraction"": 0.05, ""n_estimators"": 250}",3,0.049562738306024444,0.00314025863151379,0.05317233211982825,0.06489104030875201,0.10041557240769679,0.0647419183904056,-0.04408424041888811,-0.0033101937106210476,0.0,249.66666666666666,252.66666666666666,0.0018130291662295326
borough_age,Random Forest,Random Forest_02,"{""max_depth"": 6, ""max_features"": 0.5, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",3,0.04990702896780197,0.00227380340842023,0.05253255943334272,0.06568769759080431,0.10083321458540544,0.06525892385985524,-0.05437847215910189,-0.0034808667591446096,0.0,249.66666666666666,252.66666666666666,0.0013127810099357083
borough_age,Random Forest,Random Forest_03,"{""max_depth"": 8, ""max_features"": 0.5, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",3,0.049273757979357825,0.0015628562286388262,0.05107838310652813,0.06439655193104342,0.10005229159817586,0.06444859734766252,-0.0375936323413835,-0.003927976619428657,0.0,249.66666666666666,252.66666666666666,0.0009023154643093097
