task,model,candidate_id,parameters_json,train_end_year,validation_year,validation_target_rows,common_rows,common_observations,common_weighted_tv,common_mae,common_rmse,common_weighted_rmse,common_r2,common_mean_error,common_clipped_predictions,common_clip_rate,all_observations,all_weighted_tv,all_mae,all_rmse,all_weighted_rmse,all_r2,all_mean_error,all_clipped_predictions,all_clip_rate
borough_age,Random Forest,Random Forest_04,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",6,7,254,252,252,0.049851413040349395,0.06123303152696376,0.08233015210186706,0.06562116271270346,-0.01912451626853895,-0.017638924352616814,0,0.0,254,0.049847013698450945,0.061090265024417494,0.0820945178521645,0.0656090023386904,-0.00715119599383196,-0.017160651832489226,0,0.0
borough_age,Random Forest,Random Forest_05,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",4,5,250,249,249,0.0503600952266895,0.0698032767857884,0.12391183112225765,0.0692361208319359,-0.07866307842426057,-0.029656027380798995,0,0.0,250,0.05036881401157428,0.06983069598558672,0.12375876198240542,0.06923871333383166,-0.07551070571899299,-0.02923077096433433,0,0.0
borough_age,Random Forest,Random Forest_05,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",5,6,254,248,248,0.05243111046808572,0.06842013619321664,0.09848116532628536,0.06403244096039007,-0.11528046893063704,0.03479983854402919,0,0.0,254,0.05246468922882281,0.0686295452474752,0.098034939325719,0.06405232365458187,-0.10852351334110177,0.03580342785771737,0,0.0
borough_age,Random Forest,Random Forest_05,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",6,7,254,252,252,0.05051619674757819,0.05896863259393786,0.0818099415463939,0.0665886160129306,-0.006286342471139461,-0.019184937458978358,0,0.0,254,0.05049392676425038,0.058633039324547005,0.08150013042906207,0.06656822032750787,0.007380123899828561,-0.01890514828700767,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_01,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 1, ""min_leaf_fraction"": 0.05, ""n_estimators"": 120}",4,5,250,249,249,0.048860447361245535,0.06815710069311401,0.12666637230463695,0.06867316476356301,-0.12715314994760174,-0.03600782686236115,0,0.0,250,0.04887106165367846,0.06820797525795191,0.12651622795451503,0.06867756967686485,-0.1239714901381872,-0.03554029258730135,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_01,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 1, ""min_leaf_fraction"": 0.05, ""n_estimators"": 120}",5,6,254,248,248,0.04533349864022444,0.057963294053395155,0.09417837380474894,0.05864399977044109,-0.019952890677908064,0.01685964331966244,0,0.0,254,0.04534030838911539,0.057783948625919034,0.09338085211043012,0.058633604171187355,-0.005770297765400834,0.01765125027172331,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_01,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 1, ""min_leaf_fraction"": 0.05, ""n_estimators"": 120}",6,7,254,252,252,0.048443737156226956,0.05583008785318029,0.08041481599551015,0.06520125965346928,0.027741925175466475,-0.027606137209221338,0,0.0,254,0.048429990182931586,0.05560585352102989,0.08013436164723901,0.06518374825972129,0.0403697644884794,-0.027173393391274097,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_02,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",4,5,250,249,249,0.04857214489276441,0.06754824090907763,0.12420126504938098,0.06765758851114803,-0.08370805773255863,-0.03613336401596751,0,0.0,250,0.048578248877129394,0.06754598094683527,0.12402498718490607,0.0676573660560833,-0.08014287914917029,-0.035720897558509684,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_02,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",5,6,254,248,248,0.045719214301014825,0.05841001196233052,0.09306232792858414,0.058231089001757934,0.004077456540788393,0.018662567161046965,0,0.0,254,0.045720419894435475,0.058141116094135865,0.09224950962003452,0.05821780181819972,0.01845260858793496,0.019332587311780277,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_02,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",6,7,254,252,252,0.0498297539515538,0.05545340495770303,0.08126045968978902,0.06690275873670658,0.007185838574550574,-0.02909958210745211,0,0.0,254,0.049809590479985094,0.055165533879155244,0.08095726615411933,0.06688269162613027,0.020559568573815468,-0.02872168163430577,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_03,"{""learning_rate"": 0.025, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",4,5,250,249,249,0.04851015540440634,0.06762436529723659,0.12415809157561139,0.06754272070593743,-0.08295477539652674,-0.03605510120492249,0,0.0,250,0.04851753252410372,0.06763691322608327,0.12399031998542555,0.06754381322007831,-0.07953912508054817,-0.03562783541006717,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_03,"{""learning_rate"": 0.025, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",5,6,254,248,248,0.04517326290593681,0.05794359328911789,0.0928773534121704,0.05781209510162949,0.008032595274989673,0.017977701213445406,0,0.0,254,0.04517535719535804,0.057683407075002045,0.09206574337881712,0.05779938931812834,0.022359309372876113,0.018661591190093495,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_03,"{""learning_rate"": 0.025, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",6,7,254,252,252,0.049838114840407594,0.055663546424726956,0.08121158718430643,0.06682551072418037,0.008379696562484829,-0.028753945339154225,0,0.0,254,0.04981866134076449,0.05538266353377354,0.08091067376331394,0.06680567901366179,0.0216866160096153,-0.028370123570549532,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_04,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 400}",4,5,250,249,249,0.04842010911709233,0.06785983398606259,0.12392028946574252,0.0673664988441882,-0.07881034465599313,-0.03549904926919813,0,0.0,250,0.048430035836537315,0.06790184071349722,0.12377146398653549,0.06737044147234911,-0.07573148754104864,-0.03504360700874244,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_04,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 400}",5,6,254,248,248,0.0438107303367577,0.05694196582514714,0.09261668295640751,0.056687987998684616,0.013592911633064197,0.016233676806331122,0,0.0,254,0.04381635412561431,0.05673386042496899,0.09182020777697386,0.05667763691749365,0.02756701183918764,0.01698718453258169,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_04,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 400}",6,7,254,252,252,0.04920251327361635,0.055928200306050675,0.08056536751266599,0.06593476010982319,0.02409802082808865,-0.02675646274622125,0,0.0,254,0.0491870609070563,0.05568856557778976,0.0802794360789581,0.0659164826488378,0.03689200969100748,-0.0263450371354879,0,0.0
