LA_2023,Age16plus,Age9,VolFrqB_Pop,MEMS7GR_ALL,volunteering_weight,weight_source,year,age_group_code,age_group,vol_binary_A,vol_binary_A_label,activity_level_3cat,activity_level_3cat_label
91,1.0,3.0,0.0,2.0,1.3260240436260318,wt_final_online,6,3,25-34,0,not_twiceplus_volunteer,2,active
91,1.0,5.0,0.0,2.0,4.37402658397045,wt_final_online,6,5,45-54,0,not_twiceplus_volunteer,2,active
91,1.0,3.0,0.0,2.0,2.3174415130391735,wt_final_online,6,3,25-34,0,not_twiceplus_volunteer,2,active
91,1.0,8.0,,0.0,,wt_final_online,6,8,75-84,,,0,inactive
91,1.0,5.0,,2.0,,wt_final_online,6,5,45-54,,,2,active
91,1.0,6.0,3.0,0.0,0.5277670863191738,wt_final_online,6,6,55-64,1,twiceplus_volunteer,0,inactive
91,1.0,4.0,0.0,2.0,1.4879742853572726,wt_final_online,6,4,35-44,0,not_twiceplus_volunteer,2,active
91,1.0,4.0,0.0,0.0,1.1214788811022496,wt_final_online,6,4,35-44,0,not_twiceplus_volunteer,0,inactive
91,1.0,7.0,2.0,0.0,5.134627081221732,wt_final_online,6,7,65-74,1,twiceplus_volunteer,0,inactive
91,1.0,4.0,,0.0,,wt_final_online,6,4,35-44,,,0,inactive
107,1.0,7.0,0.0,2.0,2.441188317541126,wt_final_online,6,7,65-74,0,not_twiceplus_volunteer,2,active
107,1.0,7.0,0.0,2.0,1.4968054948974765,wt_final_online,6,7,65-74,0,not_twiceplus_volunteer,2,active
107,1.0,8.0,,2.0,,wt_final_online,6,8,75-84,,,2,active
107,1.0,8.0,,2.0,2.5243306781507435,wt_final_online,6,8,75-84,,,2,active
107,1.0,5.0,,2.0,,wt_final_online,6,5,45-54,,,2,active
107,1.0,5.0,,2.0,,wt_final_online,6,5,45-54,,,2,active
107,1.0,5.0,,2.0,,wt_final_online,6,5,45-54,,,2,active
107,1.0,8.0,,2.0,,wt_final_online,6,8,75-84,,,2,active
107,1.0,4.0,,1.0,,wt_final_online,6,4,35-44,,,1,fairly_active
107,1.0,6.0,,2.0,,wt_final_online,6,6,55-64,,,2,active
107,1.0,4.0,0.0,2.0,2.277417498160484,wt_final_online,6,4,35-44,0,not_twiceplus_volunteer,2,active
107,1.0,7.0,,2.0,,wt_final_online,6,7,65-74,,,2,active
107,1.0,6.0,3.0,1.0,0.3691450829213694,wt_final_online,6,6,55-64,1,twiceplus_volunteer,1,fairly_active
107,1.0,4.0,0.0,2.0,2.490666247886274,wt_final_online,6,4,35-44,0,not_twiceplus_volunteer,2,active
107,1.0,7.0,0.0,2.0,2.5249841849428076,wt_final_online,6,7,65-74,0,not_twiceplus_volunteer,2,active
107,1.0,3.0,0.0,2.0,2.1396688403935933,wt_final_online,6,3,25-34,0,not_twiceplus_volunteer,2,active
107,1.0,2.0,1.0,2.0,3.170106858582842,wt_final_online,6,2,16-24,0,not_twiceplus_volunteer,2,active
107,1.0,4.0,0.0,0.0,2.4009912977397248,wt_final_online,6,4,35-44,0,not_twiceplus_volunteer,0,inactive
107,1.0,5.0,,2.0,,wt_final_online,6,5,45-54,,,2,active
107,1.0,4.0,0.0,2.0,0.7789711043224239,wt_final_online,6,4,35-44,0,not_twiceplus_volunteer,2,active
107,1.0,3.0,2.0,2.0,0.694188361754915,wt_final_online,6,3,25-34,1,twiceplus_volunteer,2,active
107,1.0,8.0,0.0,0.0,6.12474239824634,wt_final_online,6,8,75-84,0,not_twiceplus_volunteer,0,inactive
107,1.0,4.0,0.0,2.0,0.9048075830583684,wt_final_online,6,4,35-44,0,not_twiceplus_volunteer,2,active
107,1.0,4.0,0.0,2.0,1.2004956488698624,wt_final_online,6,4,35-44,0,not_twiceplus_volunteer,2,active
107,1.0,7.0,,2.0,,wt_final_online,6,7,65-74,,,2,active
107,1.0,3.0,0.0,2.0,2.1396688403935933,wt_final_online,6,3,25-34,0,not_twiceplus_volunteer,2,active
