series_id,year,LA_2023,activity_level_3cat,activity_level_3cat_label,frequent_volunteer_rate,not_frequent_volunteer_rate,n_parent_cell,weighted_n_parent_cell,sum_weight_squared,effective_n_parent_cell,n_frequent_volunteer,weighted_n_frequent_volunteer,n_not_frequent_volunteer,weighted_n_not_frequent_volunteer,small_cell,few_frequent_cases,zero_frequent_cases,cell_observed,rate_available,observed_years_in_series,series_coverage_rate,series_has_history,series_complete_history
borough_9__activity_2,6,9,2,active,0.10622660452299079,0.8937733954770092,281,529.3638557345099,1568.7416517005536,178.6311286210417,31,56.232524951875334,250,473.13133078263456,False,False,False,True,True,6,1.0,True,True
borough_9__activity_2,7,9,2,active,0.15759764179196234,0.8424023582080375,258,555.638366642578,2022.904882157218,152.6191355848621,34,87.56729627200805,224,468.07107037056994,False,False,False,True,True,6,1.0,True,True
borough_9__activity_2,8,9,2,active,0.13109471791685556,0.8689052820831444,279,658.830585026315,2512.9769043252227,172.7265137292093,40,86.3692096990217,239,572.4613753272934,False,False,False,True,True,6,1.0,True,True
borough_17__activity_0,3,17,0,inactive,0.05093155109497806,0.949068448905022,78,107.59620603004474,253.2528582902032,45.71298278811046,1,5.48004166504501,77,102.11616436499973,False,True,False,True,True,6,1.0,True,True
borough_17__activity_0,4,17,0,inactive,0.0,1.0,72,114.54278348814715,392.66476694297995,33.41285074124758,0,0.0,72,114.54278348814715,False,True,True,True,True,6,1.0,True,True
borough_17__activity_0,5,17,0,inactive,0.10260130356205294,0.897398696437947,90,158.09448299717394,398.9267423406571,62.65277029936642,8,16.22070004147886,82,141.87378295569508,False,False,False,True,True,6,1.0,True,True
borough_17__activity_0,6,17,0,inactive,0.05997009497663845,0.9400299050233615,90,151.4249211550167,360.26267585748394,63.64663420163373,7,9.080966903496341,83,142.34395425152036,False,False,False,True,True,6,1.0,True,True
borough_17__activity_0,7,17,0,inactive,0.15306927230391312,0.8469307276960869,88,145.62991363215332,332.2277878091123,63.83593583295907,13,22.291464905355426,75,123.33844872679789,False,False,False,True,True,6,1.0,True,True
borough_17__activity_0,8,17,0,inactive,0.10571399513439084,0.8942860048656092,89,135.6472850401044,332.4460844475299,55.34787985044065,11,14.339816430722925,78,121.30746860938149,False,False,False,True,True,6,1.0,True,True
borough_17__activity_1,3,17,1,fairly_active,0.02261186137917124,0.9773881386208289,30,44.024467812638996,125.69749541000854,15.419191606516,1,0.995475163471179,29,43.02899264916782,False,True,False,True,True,6,1.0,True,True
