year,survey_wave,calendar_year,geography_code,geography_name,inner_outer,age_band,respondent_n,effective_n,inactive_rate,fairly_active_rate,active_rate,population,population_share
6,2020/21,2021,E09000031,Waltham Forest,Outer London,16–34,153.0,105.15410350175625,0.22473888079217574,0.11312613730793487,0.6621349818998895,77751,0.35038440392605746
6,2020/21,2021,E09000031,Waltham Forest,Outer London,35–54,217.0,136.33649090840314,0.23743719096935406,0.14655191012980254,0.6160108989008436,87789,0.39562058926913685
6,2020/21,2021,E09000031,Waltham Forest,Outer London,55–64,65.0,32.37440598364438,0.30400563429558447,0.114760935427703,0.5812334302767125,27765,0.12512280195762093
6,2020/21,2021,E09000031,Waltham Forest,Outer London,65+,66.0,48.69357505163304,0.34029728724885466,0.19863337186482186,0.4610693408863235,28597,0.12887220484718478
6,2020/21,2021,E09000032,Wandsworth,Inner London,16–34,191.0,129.3482355869251,0.1479105619741406,0.07301705151804504,0.7790723865078143,120682,0.4397439120818257
6,2020/21,2021,E09000032,Wandsworth,Inner London,35–54,190.0,119.88775779898667,0.14648921165021822,0.07937159955866584,0.774139188791116,93493,0.34067199393667763
6,2020/21,2021,E09000032,Wandsworth,Inner London,55–64,68.0,45.8533388301833,0.18310997811952667,0.026975654512116986,0.7899143673683565,28617,0.10427529815586091
6,2020/21,2021,E09000032,Wandsworth,Inner London,65+,73.0,51.70138458664927,0.3064981415027665,0.0715108413808855,0.6219910171163479,31645,0.11530879582563576
6,2020/21,2021,E09000033,Westminster,Inner London,16–34,158.0,97.74298081621653,0.22301525498887345,0.18134790816119026,0.5956368368499364,73175,0.4088971093614667
6,2020/21,2021,E09000033,Westminster,Inner London,35–54,131.0,86.79819630163747,0.1519868477543184,0.11831585480573688,0.7296972974399447,58465,0.32669859239929144
6,2020/21,2021,E09000033,Westminster,Inner London,55–64,69.0,40.82658850714536,0.33718934533688616,0.10210679960978841,0.5607038550533252,22308,0.12465564353448035
6,2020/21,2021,E09000033,Westminster,Inner London,65+,127.0,84.12962183618184,0.2286086531989001,0.1029778484134565,0.6684134983876434,25009,0.13974865470476147
7,2021/22,2022,E09000002,Barking and Dagenham,Outer London,16–34,156.0,100.4406691523198,0.33980738655158155,0.08595817787470861,0.5742344355737098,58985,0.36114444553291536
7,2021/22,2022,E09000002,Barking and Dagenham,Outer London,35–54,203.0,141.72276332774214,0.30844594407654874,0.0786837632059884,0.612870292717463,64441,0.39454961794670845
7,2021/22,2022,E09000002,Barking and Dagenham,Outer London,55–64,68.0,41.72975554986732,0.5859869621484071,0.03647275446630068,0.37754028338529233,20449,0.1252020474137931
7,2021/22,2022,E09000002,Barking and Dagenham,Outer London,65+,82.0,68.4937249811228,0.3672858159420661,0.05126149496532015,0.5814526890926138,19453,0.11910388910658307
7,2021/22,2022,E09000003,Barnet,Outer London,16–34,118.0,73.86211381810251,0.19166832655889465,0.15205024806203427,0.6562814253790711,95017,0.30723588907858657
7,2021/22,2022,E09000003,Barnet,Outer London,35–54,170.0,120.77002372629327,0.21160554512620905,0.10745177211961258,0.6809426827541785,113913,0.36833579078069223
7,2021/22,2022,E09000003,Barnet,Outer London,55–64,86.0,55.55982081487142,0.11665582080228934,0.13762584149793503,0.7457183376997758,42725,0.13815057685343266
7,2021/22,2022,E09000003,Barnet,Outer London,65+,126.0,95.29267568947039,0.3548287882334689,0.088144403498451,0.5570268082680799,57609,0.18627774328728852
7,2021/22,2022,E09000004,Bexley,Outer London,16–34,98.0,65.88727935284848,0.2155096909818569,0.08565672508749657,0.6988335839306464,56514,0.2869823536879523
7,2021/22,2022,E09000004,Bexley,Outer London,35–54,191.0,132.36382707665476,0.19456173123258053,0.16302240884512018,0.6424158599222991,68215,0.3464009140535737
7,2021/22,2022,E09000004,Bexley,Outer London,55–64,87.0,58.548467504283856,0.33212113463443227,0.06599422891856344,0.6018846364470043,30712,0.1559578519741018
7,2021/22,2022,E09000004,Bexley,Outer London,65+,106.0,79.66904409097532,0.321905802887878,0.10717751087405827,0.5709166862380638,41484,0.2106588802843722
7,2021/22,2022,E09000005,Brent,Outer London,16–34,166.0,102.96428375052733,0.20932173340432939,0.09078317742697165,0.699895089168699,101651,0.36785290371142376
7,2021/22,2022,E09000005,Brent,Outer London,35–54,186.0,118.89079801107955,0.3112665191219572,0.10818714385889784,0.5805463370191452,96850,0.35047912686005445
7,2021/22,2022,E09000005,Brent,Outer London,55–64,66.0,43.96497671886107,0.3707071890062953,0.13506221054006257,0.4942306004536422,37150,0.13443778588385155
7,2021/22,2022,E09000005,Brent,Outer London,65+,85.0,62.82580289672073,0.35139213685702714,0.20140985977145895,0.4471980033715137,40685,0.14723018354467027
7,2021/22,2022,E09000006,Bromley,Outer London,16–34,84.0,50.061889223968286,0.14983516209182465,0.10987885771554784,0.7402859801926274,67690,0.25520957045314874
7,2021/22,2022,E09000006,Bromley,Outer London,35–54,163.0,121.57929210651633,0.09650643140808152,0.08215085268610084,0.8213427159058176,97220,0.36654564100243936
