case,month_index,period_start,geography_code,geography_name,effective_n,total_variation_error,actual_active_rate,predicted_active_rate,output,output_scale,predictor_group,signed_group_shap,base_value
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,inactive_vs_active,log(Inactive / Active),Lagged recent participation (any),0.029246228635311126,-1.0707532001000013
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,inactive_vs_active,log(Inactive / Active),Lagged recent participation (2+),0.0023691251501441,-1.0707532001000013
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,inactive_vs_active,log(Inactive / Active),Borough identity,-0.0013140199705958366,-1.0707532001000013
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,inactive_vs_active,log(Inactive / Active),Lagged external context,0.10533826036844403,-1.0707532001000013
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,fairly_vs_active,log(Fairly active / Active),Calendar and trend,-0.0671727434452623,-1.823399845728352
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,fairly_vs_active,log(Fairly active / Active),COVID calendar flags,0.0,-1.823399845728352
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,fairly_vs_active,log(Fairly active / Active),Lagged activity-state outcomes,0.002098225485533476,-1.823399845728352
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,fairly_vs_active,log(Fairly active / Active),Lagged survey composition,0.0,-1.823399845728352
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,fairly_vs_active,log(Fairly active / Active),Lagged 12-month participation,0.0028287168499082326,-1.823399845728352
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,fairly_vs_active,log(Fairly active / Active),Lagged recent participation (any),0.0,-1.823399845728352
