predictor_group,repeat,permuted_weighted_tv,increase_in_weighted_tv
Lagged recent participation (2+),3,0.10316897633967197,6.679895104204359e-05
Lagged recent participation (2+),4,0.10315744362185374,5.526623322381352e-05
Lagged recent participation (2+),5,0.10315310958333349,5.093219470356236e-05
Lagged recent participation (2+),6,0.10315254802440857,5.037063577864598e-05
Lagged recent participation (2+),7,0.10316282232141517,6.0644932785250405e-05
Lagged recent participation (2+),8,0.10313465793960098,3.248055097106184e-05
Lagged recent participation (2+),9,0.1031765407055505,7.436331692058096e-05
Lagged recent participation (2+),10,0.10316803793927214,6.58605506422133e-05
Lagged recent participation (2+),11,0.10312668095119243,2.4503562562505632e-05
Lagged recent participation (2+),12,0.10314401504051375,4.18376518838276e-05
Lagged recent participation (2+),13,0.10317349938017309,7.132199154316621e-05
Lagged recent participation (2+),14,0.10312940741460731,2.7230025977389993e-05
Lagged recent participation (2+),15,0.10315660300096932,5.4425612339398244e-05
Lagged recent participation (2+),16,0.103150265312773,4.8087924143083716e-05
Lagged recent participation (2+),17,0.10315209114316085,4.9913754530922505e-05
Lagged recent participation (2+),18,0.10317097434443477,6.87969558048479e-05
Lagged recent participation (2+),19,0.10317652332930001,7.434594067008693e-05
Lagged recent participation (2+),20,0.10322347017719073,0.00012129278856080894
Lagged recent participation (2+),21,0.10309613640231904,-6.040986310879015e-06
Lagged recent participation (2+),22,0.10322199113667882,0.000119813748048897
Lagged recent participation (2+),23,0.10318565709406792,8.34797054379971e-05
Lagged recent participation (2+),24,0.1032125010783348,0.00011032368970487205
Lagged recent participation (2+),25,0.10318544097727698,8.326358864706174e-05
Lagged recent participation (2+),26,0.10314489443235,4.271704372008078e-05
Lagged recent participation (2+),27,0.10315317326620421,5.099587757428914e-05
Lagged recent participation (2+),28,0.10321473681585086,0.00011255942722093737
Lagged recent participation (2+),29,0.10313960520608322,3.7427817453292156e-05
Lagged recent participation (2+),30,0.10318807752030448,8.590013167456001e-05
Borough identity,1,0.10337450711164328,0.0002723297230133592
Borough identity,2,0.10318034560446807,7.816821583814249e-05
Borough identity,3,0.10329167173725622,0.00018949434862629289
Borough identity,4,0.10324179915032988,0.00013962176169995955
Borough identity,5,0.10328270614791357,0.0001805287592836491
Borough identity,6,0.10320925811681354,0.00010708072818362002
Borough identity,7,0.10310217738862992,0.0
Borough identity,8,0.10332389966292929,0.00022172227429936853
Borough identity,9,0.10328270614791357,0.0001805287592836491
Borough identity,10,0.10326378300942626,0.0001616056207963401
Borough identity,11,0.10337450711164328,0.0002723297230133592
Borough identity,12,0.10329969001306653,0.00019751262443661044
Borough identity,13,0.10329167173725622,0.00018949434862629289
Borough identity,14,0.1032267442901072,0.00012456690147727434
Borough identity,15,0.10331755048398075,0.00021537309535082927
Borough identity,16,0.10332389966292929,0.00022172227429936853
Borough identity,17,0.10325373807443271,0.0001515606858027846
Borough identity,18,0.10331278866784745,0.00021061127921752354
Borough identity,19,0.10336292284729108,0.0002607454586611574
Borough identity,20,0.10314453925099633,4.2361862366405156e-05
Borough identity,21,0.1032618175396139,0.00015964015098397788
Borough identity,22,0.10322828264967211,0.00012610526104218922
Borough identity,23,0.10337450711164328,0.0002723297230133592
Borough identity,24,0.10327869321240787,0.00017651582377795072
Borough identity,25,0.1032769657783955,0.0001747883897655761
Borough identity,26,0.10323378608393617,0.0001316086953062484
Borough identity,27,0.10319935734369075,9.717995506082489e-05
Borough identity,28,0.10337450711164328,0.0002723297230133592
Borough identity,29,0.10327869321240787,0.00017651582377795072
Borough identity,30,0.1031797372665781,7.755987794817731e-05
Lagged external context,1,0.11158119650243953,0.008479019113809605
Lagged external context,2,0.11178347741260296,0.008681300023973035
Lagged external context,3,0.11241359614590703,0.009311418757277104
Lagged external context,4,0.1125816054900019,0.009479428101371978
Lagged external context,5,0.11135695447036204,0.008254777081732112
Lagged external context,6,0.11287814049055177,0.009775963101921845
Lagged external context,7,0.11149687848482462,0.008394701096194696
Lagged external context,8,0.11078807817429566,0.007685900785665736
Lagged external context,9,0.11266261286734441,0.00956043547871449
Lagged external context,10,0.11105571346262103,0.007953536073991102
Lagged external context,11,0.11253352023555567,0.009431342846925747
Lagged external context,12,0.11207179511179781,0.008969617723167886
Lagged external context,13,0.11077150042597314,0.0076693230373432175
Lagged external context,14,0.11237488988169515,0.00927271249306523
Lagged external context,15,0.11279528618572933,0.009693108797099406
Lagged external context,16,0.11320163272956661,0.010099455340936689
Lagged external context,17,0.11278595774789249,0.009683780359262567
Lagged external context,18,0.11162204430993222,0.0085198669213023
Lagged external context,19,0.11190508197896322,0.008802904590333296
Lagged external context,20,0.11113780268590552,0.008035625297275598
Lagged external context,21,0.11033948621953699,0.007237308830907063
Lagged external context,22,0.11285466152539943,0.009752484136769504
Lagged external context,23,0.1129332709253655,0.009831093536735572
Lagged external context,24,0.1120717904963026,0.008969613107672678
Lagged external context,25,0.11116785396076563,0.008065676572135708
Lagged external context,26,0.1116629560122819,0.008560778623651982
Lagged external context,27,0.11067542261397097,0.007573245225341044
Lagged external context,28,0.11146058709674259,0.008358409708112663
Lagged external context,29,0.10959634434694895,0.006494166958319031
Lagged external context,30,0.11118496369404025,0.00808278630541033
