year,survey_wave,geography_code,geography_name,inner_outer,inactive_rate,fairly_active_rate,active_rate,effective_n,population_age_16_34_rate,population_age_65_plus_rate,earnings_relative_to_london,economic_inactivity_rate,net_migration_per_1000,personal_safety_crime_rate_per_1000,property_public_space_crime_rate_per_1000,selected_recorded_crime_rate_per_1000
2,2016/17,E09000014,Haringey,Inner London,0.2023270199836798,0.1426162812983704,0.6550566987179498,558.6529770777893,0.3912106345369936,0.1163377944518596,0.9389015855773812,0.264,-17.834826552212867,34.89190981070342,50.66551334878505,85.55742315948847
2,2016/17,E09000015,Harrow,Outer London,0.2784060805589459,0.1930863786309414,0.5285075408101126,256.27599723997,0.3290465567268856,0.1836266518913822,0.9712528490438778,0.183,-9.612961016903146,17.677384817698332,22.21601554771963,39.89340036541796
2,2016/17,E09000016,Havering,Outer London,0.2769997409611862,0.1468112220214169,0.5761890370173968,318.0027050160228,0.3006243777968935,0.2233020500082154,0.9548091129172608,0.204,7.081564237129461,23.28182082364663,32.17888575224178,55.46070657588841
2,2016/17,E09000017,Hillingdon,Outer London,0.2320036798043915,0.1519750157972073,0.6160213043984011,262.3385853037621,0.343743622015103,0.1666397373971018,0.8943962562781679,0.215,-3.138889167159205,24.801704483406468,43.79996389561822,68.60166837902469
2,2016/17,E09000018,Hounslow,Outer London,0.3170336649027951,0.1482035827861632,0.5347627523110418,248.26232231122103,0.3550546189303529,0.1412154177829495,0.9240664758109768,0.186,-9.999395269585262,26.676388474907164,40.477714456716775,67.15410293162394
2,2016/17,E09000019,Islington,Inner London,0.1733166005282922,0.1530963702796328,0.6735870291920749,251.1007271185024,0.4724533249479019,0.1046331284942998,1.1548149903703524,0.203,5.832035570000226,37.46908630989351,78.2943547931747,115.76344110306822
2,2016/17,E09000020,Kensington and Chelsea,Inner London,0.2264601141420729,0.1015364526279749,0.672003433229952,278.7566516067441,0.3428929350866273,0.1634613111886734,1.4020072410563449,0.261,-18.70351684920248,31.446352402928866,73.22165283147032,104.66800523439919
2,2016/17,E09000021,Kingston upon Thames,Outer London,0.1935911588218118,0.1518616371200641,0.654547204058124,302.59887690416195,0.3321248295936038,0.1706348329096201,1.0364915847636085,0.215,-4.822817734223639,19.395134130418896,30.997844985096624,50.392979115515516
2,2016/17,E09000022,Lambeth,Inner London,0.1974158446512836,0.1124029740099174,0.6901811813387988,599.0404576986093,0.4603627530601344,0.0928905375447222,1.0627658153137465,0.15,-3.3065731128543794,32.553338482576464,46.91177879177561,79.46511727435208
2,2016/17,E09000023,Lewisham,Inner London,0.2419945923965876,0.1438237833657482,0.614181624237664,274.051969323112,0.3825129090651251,0.1146091410362288,0.9565964755397192,0.134,-5.071047839321556,30.3821220574805,32.857406640350135,63.239528697830636
