LA_2023,disability_group,year,inactive_rate,fairly_active_rate,active_rate,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
109,disty12,9,0.4045656912782404,0.0412914540768405,0.5541428546449192,8,8,11.5,2,1.0,True,False,True
109,disty13,9,0.2200083521982157,0.0,0.7799916478017844,8,8,7.0,2,1.0,True,False,True
109,disty2,9,0.56041901893867,0.1343239080215168,0.3052570730398133,8,4,29.5,16,0.5,True,False,True
109,disty3,9,0.5064500833740722,0.1044883217026681,0.3890615949232595,8,2,35.5,24,0.25,False,False,False
109,disty4,9,0.4360065996896082,0.2019118822647191,0.3620815180456728,8,8,12.0,5,1.0,True,False,True
109,disty5,9,0.3510061803950521,0.0689193700526159,0.580074449552332,8,3,31.5,16,0.375,False,False,False
109,disty6,9,0.3740834138119325,0.0833749431470586,0.5425416430410088,8,8,7.0,3,1.0,True,False,True
109,disty7,9,0.5308953747400907,0.0869941773492194,0.3821104479106899,8,8,17.0,14,1.0,True,False,True
109,disty8,9,0.5645578945125355,0.0594443683930713,0.3759977370943934,8,8,14.0,10,1.0,True,False,True
109,disty9,9,0.4130283986459824,0.049377178491662,0.5375944228623557,8,8,8.5,1,1.0,True,False,True
109,limiting_disability,9,0.4185694405049706,0.0603821854814287,0.5210483740136004,8,0,65.5,49,0.0,False,False,False
109,no_disability,9,0.216203879308528,0.0697837990692705,0.7140123216222015,8,0,328.0,302,0.0,False,False,False
109,non_limiting_disability,9,0.1332225919488313,0.1084412231547078,0.7583361848964608,8,0,73.0,59,0.0,False,False,False
112,disty1,9,0.62497192376123,0.0259550390631026,0.3490730371756672,8,2,35.0,26,0.25,False,False,False
112,disty10,9,0.1201414164943064,0.0,0.8798585835056936,6,6,3.5,1,1.0,True,True,True
112,disty11,9,0.0,0.6912294161260248,0.3087705838739752,6,6,2.5,1,1.0,True,True,True
112,disty12,9,0.2748087511511488,0.086246433004852,0.6389448158439991,7,7,10.0,3,1.0,True,True,True
112,disty13,9,0.261870176152764,0.0,0.738129823847236,7,7,5.0,3,1.0,True,True,True
112,disty2,9,0.3509421874420438,0.1301473786626419,0.5189104338953143,8,7,24.5,22,0.875,True,False,True
112,disty3,9,0.6041627939712174,0.0327577434801667,0.3630794625486157,8,0,32.5,31,0.0,False,False,False
112,disty4,9,0.3847856796206894,0.0,0.6152143203793109,8,8,9.0,7,1.0,True,False,True
112,disty5,9,0.3045873200493381,0.2338907024165638,0.4615219775340982,8,7,21.0,8,0.875,True,False,True
112,disty6,9,0.5713848617590799,0.0,0.4286151382409201,8,8,6.0,3,1.0,True,False,True
112,disty7,9,0.4390821890643902,0.0990373742326693,0.4618804367029406,8,8,18.0,12,1.0,True,False,True
112,disty8,9,0.0596351037989378,0.1958226106591329,0.7445422855419291,8,8,6.0,4,1.0,True,False,True
112,disty9,9,0.577285722956103,0.3359227554383215,0.0867915216055754,8,8,6.0,3,1.0,True,False,True
112,limiting_disability,9,0.4240519042060204,0.1114637350546493,0.4644843607393303,8,0,62.5,60,0.0,False,False,False
112,no_disability,9,0.1340591025987746,0.0946733542969784,0.7712675431042468,8,0,337.0,320,0.0,False,False,False
112,non_limiting_disability,9,0.1165777237847468,0.1296895777914884,0.7537326984237648,8,0,66.0,55,0.0,False,False,False
114,disty1,9,0.4095014884993986,0.1156320305320719,0.4748664809685297,8,2,37.0,20,0.25,False,False,False
