LA_2023,age_group,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
129,35-44,8,0,125.0,89,0.0,False,False,False
129,45-54,8,0,86.0,75,0.0,False,False,False
129,55-64,8,0,76.0,60,0.0,False,False,False
129,65-74,8,0,68.0,53,0.0,False,False,False
129,75-84,8,6,27.0,23,0.75,True,False,True
129,85+,8,8,6.5,4,1.0,True,False,True
135,16-24,8,0,47.0,32,0.0,False,False,False
135,25-34,8,0,129.5,119,0.0,False,False,False
135,35-44,8,0,95.0,90,0.0,False,False,False
135,45-54,8,0,82.5,66,0.0,False,False,False
135,55-64,8,0,69.0,56,0.0,False,False,False
135,65-74,8,0,49.5,40,0.0,False,False,False
135,75-84,8,8,19.0,9,1.0,True,False,True
135,85+,8,8,4.5,1,1.0,True,False,True
136,16-24,8,1,37.5,27,0.125,False,False,False
136,25-34,8,0,62.0,55,0.0,False,False,False
136,35-44,8,0,76.5,52,0.0,False,False,False
136,45-54,8,0,90.5,75,0.0,False,False,False
136,55-64,8,0,91.0,65,0.0,False,False,False
136,65-74,8,0,78.5,64,0.0,False,False,False
136,75-84,8,0,46.5,44,0.0,False,False,False
136,85+,8,8,13.0,6,1.0,True,False,True
139,16-24,8,5,29.0,20,0.625,True,False,True
139,25-34,8,0,67.5,49,0.0,False,False,False
139,35-44,8,0,103.5,86,0.0,False,False,False
139,45-54,8,0,97.0,73,0.0,False,False,False
139,55-64,8,0,87.5,76,0.0,False,False,False
139,65-74,8,0,72.0,60,0.0,False,False,False
139,75-84,8,3,34.0,22,0.375,False,False,False
139,85+,8,8,8.0,2,1.0,True,False,True
142,16-24,8,0,50.0,38,0.0,False,False,False
142,25-34,8,0,147.0,118,0.0,False,False,False
142,35-44,8,0,115.0,94,0.0,False,False,False
142,45-54,8,0,85.0,75,0.0,False,False,False
142,55-64,8,0,67.5,57,0.0,False,False,False
142,65-74,8,0,44.5,34,0.0,False,False,False
142,75-84,8,8,22.5,8,1.0,True,False,True
142,85+,8,8,3.5,2,1.0,True,False,True
147,16-24,8,1,35.0,28,0.125,False,False,False
147,25-34,8,0,115.0,97,0.0,False,False,False
147,35-44,8,0,120.5,98,0.0,False,False,False
147,45-54,8,0,87.5,83,0.0,False,False,False
147,55-64,8,0,69.0,51,0.0,False,False,False
147,65-74,8,1,46.0,27,0.125,False,False,False
147,75-84,8,8,20.5,14,1.0,True,False,True
147,85+,8,8,5.5,1,1.0,True,False,True
160,16-24,8,1,33.5,29,0.125,False,False,False
160,25-34,8,0,89.5,74,0.0,False,False,False
160,35-44,8,0,119.5,100,0.0,False,False,False
160,45-54,8,0,91.0,72,0.0,False,False,False
160,55-64,8,0,79.5,62,0.0,False,False,False
160,65-74,8,0,58.0,41,0.0,False,False,False
160,75-84,8,5,26.5,22,0.625,True,False,True
160,85+,8,8,6.0,2,1.0,True,False,True
17,16-24,8,3,31.0,25,0.375,False,False,False
17,25-34,8,0,68.0,56,0.0,False,False,False
17,35-44,8,0,98.0,88,0.0,False,False,False
17,45-54,8,0,91.0,80,0.0,False,False,False
17,55-64,8,0,82.5,75,0.0,False,False,False
17,65-74,8,0,73.0,66,0.0,False,False,False
17,75-84,8,2,34.0,22,0.25,False,False,False
17,85+,8,8,9.5,1,1.0,True,False,True
171,16-24,8,0,62.5,44,0.0,False,False,False
