year,LA_2023,disability_group,activity,participation_MONTHS_12,second_activity,second_participation_MONTHS_12,ranking_margin,top_two_tied,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
9,129,limiting_disability,ACTTRAV_C03,0.6540877727518891,WALKTRAV_B02,0.6346365510150047,0.019451221736884405,False,8,0,84.0,56,0.0,False,False,False
9,129,no_disability,ACTTRAV_C03,0.6984487998422134,WALKTRAV_B02,0.6787725053783024,0.01967629446391106,False,8,0,322.5,298,0.0,False,False,False
9,129,non_limiting_disability,ACTTRAV_C03,0.7050429860068325,WALKTRAV_B02,0.6891406216502635,0.015902364356569,False,8,0,70.0,56,0.0,False,False,False
9,135,disty1,ACTTRAV_C03,0.6731445720161917,WALKTRAV_B02,0.6589966400724118,0.014147931943779946,False,8,0,35.0,32,0.0,False,False,False
9,135,disty10,ACTTRAV_C03,0.7097124863981352,WALKTRAV_B02,0.6955645544543553,0.014147931943779946,False,8,8,6.5,3,1.0,True,False,True
9,135,disty11,ACTTRAV_C03,0.7162743954599979,WALKTRAV_B02,0.702126463516218,0.014147931943779946,False,8,8,4.0,1,1.0,True,False,True
9,135,disty12,ACTTRAV_C03,0.7312679295475965,WALKTRAV_B02,0.7140997822812881,0.01716814726630833,False,8,8,10.0,3,1.0,True,False,True
9,135,disty13,ACTTRAV_C03,0.7186345245214965,WALKTRAV_B02,0.7044865925777165,0.014147931943779946,False,8,8,8.0,5,1.0,True,False,True
9,135,disty2,ACTTRAV_C03,0.6969405069034349,WALKTRAV_B02,0.6804542434946291,0.016486263408805768,False,8,4,29.5,25,0.5,True,False,True
9,135,disty3,ACTTRAV_C03,0.6345529442139328,WALKTRAV_B02,0.6204050122701529,0.014147931943779946,False,8,1,36.5,22,0.125,False,False,False
9,135,disty4,ACTTRAV_C03,0.6828307367392161,WALKTRAV_B02,0.6686828047954362,0.014147931943779946,False,8,8,9.0,5,1.0,True,False,True
9,135,disty5,ACTTRAV_C03,0.7339395205855056,WALKTRAV_B02,0.7112659196733526,0.02267360091215298,False,8,1,33.5,18,0.125,False,False,False
9,135,disty6,ACTTRAV_C03,0.554249783312377,WALKTRAV_B02,0.540101851368597,0.014147931943779946,False,8,8,5.0,1,1.0,True,False,True
