LA_2023,disability_group,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
139,non_limiting_disability,8,0,75.0,70,0.0,False,False,False
142,disty1,8,3,35.0,24,0.375,False,False,False
142,disty10,8,8,7.5,2,1.0,True,False,True
142,disty11,8,8,5.0,2,1.0,True,False,True
142,disty12,8,8,10.5,8,1.0,True,False,True
142,disty13,8,8,7.0,3,1.0,True,False,True
142,disty2,8,4,30.5,14,0.5,True,False,True
142,disty3,8,3,40.5,24,0.375,False,False,False
142,disty4,8,8,10.0,5,1.0,True,False,True
142,disty5,8,4,32.5,20,0.5,True,False,True
142,disty6,8,8,8.0,1,1.0,True,False,True
142,disty7,8,7,23.5,11,0.875,True,False,True
142,disty8,8,8,11.5,8,1.0,True,False,True
142,disty9,8,8,7.0,3,1.0,True,False,True
142,limiting_disability,8,0,71.5,46,0.0,False,False,False
142,no_disability,8,0,326.0,306,0.0,False,False,False
142,non_limiting_disability,8,0,84.5,74,0.0,False,False,False
147,disty1,8,2,33.5,25,0.25,False,False,False
147,disty10,8,8,4.0,2,1.0,True,False,True
147,disty11,7,7,4.0,1,1.0,True,True,True
147,disty12,8,8,8.5,4,1.0,True,False,True
147,disty13,8,8,4.0,1,1.0,True,False,True
147,disty2,8,7,27.5,23,0.875,True,False,True
147,disty3,8,2,33.5,24,0.25,False,False,False
147,disty4,8,8,10.5,8,1.0,True,False,True
147,disty5,8,4,29.5,17,0.5,True,False,True
147,disty6,8,8,4.5,4,1.0,True,False,True
147,disty7,8,8,17.0,15,1.0,True,False,True
147,disty8,8,8,9.5,6,1.0,True,False,True
147,disty9,8,8,8.5,4,1.0,True,False,True
147,limiting_disability,8,0,69.5,63,0.0,False,False,False
147,no_disability,8,0,324.0,301,0.0,False,False,False
147,non_limiting_disability,8,0,80.0,66,0.0,False,False,False
160,disty1,8,7,27.0,21,0.875,True,False,True
160,disty10,8,8,2.0,1,1.0,True,False,True
160,disty11,7,7,2.0,1,1.0,True,True,True
160,disty12,8,8,4.5,2,1.0,True,False,True
160,disty13,7,7,4.0,2,1.0,True,True,True
160,disty2,8,8,21.0,14,1.0,True,False,True
160,disty3,8,4,29.5,24,0.5,True,False,True
160,disty4,8,8,9.0,4,1.0,True,False,True
160,disty5,8,7,25.0,8,0.875,True,False,True
160,disty6,8,8,5.0,2,1.0,True,False,True
160,disty7,8,8,14.0,9,1.0,True,False,True
160,disty8,8,8,10.5,3,1.0,True,False,True
160,disty9,8,8,8.0,5,1.0,True,False,True
160,limiting_disability,8,0,59.0,46,0.0,False,False,False
160,no_disability,8,0,339.0,308,0.0,False,False,False
160,non_limiting_disability,8,0,77.0,62,0.0,False,False,False
17,disty1,8,1,43.5,28,0.125,False,False,False
17,disty10,7,7,2.0,1,1.0,True,True,True
17,disty11,8,8,2.0,1,1.0,True,False,True
17,disty12,7,7,8.0,5,1.0,True,True,True
17,disty13,8,8,6.0,3,1.0,True,False,True
17,disty2,8,4,29.0,18,0.5,True,False,True
