calendar_year,forecast_horizon,age_group_code,age_group,activity_level_3cat,activity_level,boroughs,borough_median_rate_pct,borough_q25_rate_pct,borough_q75_rate_pct,equal_borough_mean_rate_pct
2027/28,5,6,55-64,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2028/29,6,6,55-64,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2023/24,1,6,55-64,1,Fairly active,32,5.143587044872381,5.143587044872381,6.981178171093714,5.718104093658674
2024/25,2,6,55-64,1,Fairly active,32,6.927527828808526,6.927527828808526,7.457355719999261,6.976572747441177
2025/26,3,6,55-64,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2026/27,4,6,55-64,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2027/28,5,6,55-64,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2028/29,6,6,55-64,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2023/24,1,6,55-64,2,Active,32,12.183980317313324,11.887926426019215,12.366985063461321,12.06890133025062
2024/25,2,6,55-64,2,Active,32,12.183340226137254,12.170208211155964,12.276366271460562,12.171367690219371
2025/26,3,6,55-64,2,Active,32,12.170208211155964,12.170208211155964,12.170208211155964,12.118720643961971
2026/27,4,6,55-64,2,Active,32,12.170208211155964,12.170208211155964,12.170208211155964,12.115850825901068
2027/28,5,6,55-64,2,Active,32,12.170208211155964,12.170208211155964,12.170208211155964,12.127897233290163
2028/29,6,6,55-64,2,Active,32,12.170208211155964,12.170208211155964,12.170208211155964,12.115850825901068
2023/24,1,7,65-74,0,Inactive,32,4.450986321114694,4.4200020271996765,6.348927617935619,5.242687284298362
2024/25,2,7,65-74,0,Inactive,32,6.230716643381875,6.230716643381875,6.760544534572609,6.075156095109475
2025/26,3,7,65-74,0,Inactive,32,6.230716643381875,6.230716643381875,6.760544534572609,6.173820158565304
2026/27,4,7,65-74,0,Inactive,32,6.230716643381875,6.230716643381875,6.760544534572609,6.173820158565304
2027/28,5,7,65-74,0,Inactive,32,6.230716643381875,6.230716643381875,6.760544534572609,6.173820158565304
2028/29,6,7,65-74,0,Inactive,32,6.230716643381875,6.230716643381875,6.760544534572609,6.173820158565304
2023/24,1,7,65-74,1,Fairly active,32,5.143587044872381,5.143587044872381,7.045738803362273,5.725239522280401
2024/25,2,7,65-74,1,Fairly active,32,6.927527828808526,6.927527828808526,7.457355719999261,6.935519276513118
2025/26,3,7,65-74,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2026/27,4,7,65-74,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2027/28,5,7,65-74,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2028/29,6,7,65-74,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2023/24,1,7,65-74,2,Active,32,12.618940218378796,12.233131493496042,12.762099897277611,12.4728241125336
2024/25,2,7,65-74,2,Active,32,12.465353515556885,12.465353515556885,12.465353515556885,12.401292077334972
2025/26,3,7,65-74,2,Active,32,12.465353515556885,12.465353515556885,12.465353515556885,12.396651038710443
2026/27,4,7,65-74,2,Active,32,12.465353515556885,12.465353515556885,12.465353515556885,12.393742608034136
2027/28,5,7,65-74,2,Active,32,12.465353515556885,12.465353515556885,12.465353515556885,12.396651038710443
2028/29,6,7,65-74,2,Active,32,12.465353515556885,12.465353515556885,12.465353515556885,12.393742608034136
2023/24,1,8,75-84,0,Inactive,32,4.1720286942557046,4.1720286942557046,6.486263525451548,4.8608371369605985
2024/25,2,8,75-84,0,Inactive,32,6.435385931681309,6.435385931681309,6.965213822872044,6.106877258364926
2025/26,3,8,75-84,0,Inactive,32,6.965213822872044,6.965213822872044,6.965213822872044,6.538607826648756
2026/27,4,8,75-84,0,Inactive,32,6.965213822872044,6.965213822872044,6.965213822872044,6.555164948248467
2027/28,5,8,75-84,0,Inactive,32,6.965213822872044,6.965213822872044,6.965213822872044,6.555164948248467
2028/29,6,8,75-84,0,Inactive,32,6.965213822872044,6.965213822872044,6.965213822872044,6.555164948248467
2023/24,1,8,75-84,1,Fairly active,32,3.5701701845202614,3.250295698376241,3.6827973344533778,3.8388694995951704
2024/25,2,8,75-84,1,Fairly active,32,4.202816915745386,3.451067594149184,4.315444065678502,4.274973922951667
2025/26,3,8,75-84,1,Fairly active,32,5.753141370336025,4.202816915745386,5.753141370336025,5.157448848295148
2026/27,4,8,75-84,1,Fairly active,32,5.753141370336025,5.753141370336025,5.753141370336025,5.299069809963925
2027/28,5,8,75-84,1,Fairly active,32,5.753141370336025,5.753141370336025,5.753141370336025,5.302791765913021
2028/29,6,8,75-84,1,Fairly active,32,5.753141370336025,5.753141370336025,5.753141370336025,5.299069809963925
2023/24,1,8,75-84,2,Active,32,9.622288427044332,8.821975660914957,10.101238724464826,9.35122748397732
2024/25,2,8,75-84,2,Active,32,10.101238724464826,10.101238724464826,10.101238724464826,9.94471292111429
2025/26,3,8,75-84,2,Active,32,10.101238724464826,10.101238724464826,10.101238724464826,9.984007608110128
2026/27,4,8,75-84,2,Active,32,10.101238724464826,10.101238724464826,10.101238724464826,9.984007608110128
2027/28,5,8,75-84,2,Active,32,10.101238724464826,10.101238724464826,10.101238724464826,9.984007608110128
2028/29,6,8,75-84,2,Active,32,10.101238724464826,10.101238724464826,10.101238724464826,9.984007608110128
2023/24,1,9,85+,0,Inactive,32,3.3560190689054643,2.846607522773373,3.3560190689054643,3.3376214200129524
2024/25,2,9,85+,0,Inactive,32,3.236916478534387,3.236916478534387,3.236916478534387,3.4687000098670224
2025/26,3,9,85+,0,Inactive,32,3.236916478534387,3.236916478534387,3.236916478534387,3.569761841131802
2026/27,4,9,85+,0,Inactive,32,3.236916478534387,3.236916478534387,3.236916478534387,3.6358499162778304
2027/28,5,9,85+,0,Inactive,32,3.236916478534387,3.236916478534387,3.236916478534387,3.6358499162778304
2028/29,6,9,85+,0,Inactive,32,3.236916478534387,3.236916478534387,3.236916478534387,3.6358499162778304
2023/24,1,9,85+,1,Fairly active,32,4.634175498740289,4.634175498740289,5.143587044872381,4.687149532451244
2024/25,2,9,85+,1,Fairly active,32,6.927527828808526,6.927527828808526,6.927527828808526,6.669424484140854
2025/26,3,9,85+,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.258043814636255
2026/27,4,9,85+,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2027/28,5,9,85+,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2028/29,6,9,85+,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2023/24,1,9,85+,2,Active,32,3.9291075242614806,3.419695978129388,3.9291075242614806,3.986298429706384
2024/25,2,9,85+,2,Active,32,4.543646291956352,3.6174663615298144,4.609797001016943,4.476962013680114
2025/26,3,9,85+,2,Active,32,5.857357361654252,4.543646291956352,5.857357361654252,5.258759239951231
2026/27,4,9,85+,2,Active,32,5.857357361654252,5.857357361654252,5.857357361654252,5.5871870073757055
2027/28,5,9,85+,2,Active,32,5.857357361654252,5.857357361654252,5.857357361654252,5.5871870073757055
2028/29,6,9,85+,2,Active,32,5.857357361654252,5.857357361654252,5.857357361654252,5.5871870073757055
