year,forecast_horizon,LA_2023,age_group_code,age_group,inactive_rate,fairly_active_rate,active_rate,active_inactive_gap_pp,fairly_active_inactive_gap_pp
11,3,272,9,85+,0.02086327124301635,0.05776938474575771,0.026594155796576487,0.5730884553560137,3.6906113502741364
11,3,279,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
11,3,279,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
11,3,279,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
11,3,279,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
11,3,279,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
11,3,279,7,65-74,0.06230716643381875,0.0745735571999926,0.12465353515556885,6.23463687217501,1.2266390766173856
11,3,279,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
11,3,279,9,85+,0.03236916478534387,0.0745735571999926,0.058573573616542515,2.6204408831198642,4.220439241464873
11,3,280,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
11,3,280,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
11,3,280,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
11,3,280,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
11,3,280,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
11,3,280,7,65-74,0.06230716643381875,0.0745735571999926,0.12465353515556885,6.23463687217501,1.2266390766173856
11,3,280,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
11,3,280,9,85+,0.03236916478534387,0.0745735571999926,0.045436462919563526,1.3067298134219654,4.220439241464873
11,3,293,2,16-24,0.08519734553250025,0.06212173966459658,0.15646299432750976,7.126564879500952,-2.3075605867903666
11,3,293,3,25-34,0.06212173966459658,0.06212173966459658,0.09828579852921494,3.6164058864618362,0.0
11,3,293,4,35-44,0.06212173966459658,0.06212173966459658,0.11441921585246016,5.229747618786358,0.0
11,3,293,5,45-54,0.06212173966459658,0.06212173966459658,0.13542202470741752,7.330028504282094,0.0
11,3,293,6,55-64,0.06212173966459658,0.06212173966459658,0.11454854348807096,5.242680382347438,0.0
11,3,293,7,65-74,0.05515362781033005,0.06212173966459658,0.11903634251744427,6.388271470711422,0.6968111854266532
11,3,293,8,75-84,0.05720032069332439,0.027357137318003145,0.09385884862115959,3.6658527927835203,-2.9843183375321245
11,3,293,9,85+,0.025215626161855183,0.06212173966459658,0.05142003499305381,2.6204408831198625,3.6906113502741396
12,4,8,2,16-24,0.08278514996903243,0.06298893084903882,0.15845471349289025,7.566956352385783,-1.9796219119993603
12,4,8,3,25-34,0.06298893084903882,0.06298893084903882,0.09774292853582218,3.475399768678336,0.0
12,4,8,4,35-44,0.06298893084903882,0.06298893084903882,0.11781277555959009,5.482384471055127,0.0
