series_id,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,year8_observed_rate,initial_year8_lag_observed,task,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_activity_group,selected_model,raw_predicted_rate,predicted_rate,was_clipped,lag_source,predicted_rate_pp,change_from_year8_pp
borough_109__age_6__activity_0,109,6,55-64,0,inactive,0.1112459226847002,True,borough_age_activity,9,1,0.1112459226847002,0,6,109,55-64__inactive,Gradient Boosting,0.06036693092478449,0.06036693092478449,False,observed_year8,6.036693092478449,-5.087899175991571
borough_109__age_6__activity_1,109,6,55-64,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,109,55-64__fairly_active,Gradient Boosting,0.03722924417351569,0.03722924417351569,False,observed_year8,3.7229244173515688,3.7229244173515688
borough_109__age_6__activity_2,109,6,55-64,2,active,0.0889913826284288,True,borough_age_activity,9,1,0.0889913826284288,0,6,109,55-64__active,Gradient Boosting,0.11584771478093157,0.11584771478093157,False,observed_year8,11.584771478093158,2.6856332152502773
borough_109__age_7__activity_0,109,7,65-74,0,inactive,0.0,True,borough_age_activity,9,1,0.0,0,6,109,65-74__inactive,Gradient Boosting,0.02999339399678865,0.02999339399678865,False,observed_year8,2.9993393996788646,2.9993393996788646
borough_109__age_7__activity_1,109,7,65-74,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,109,65-74__fairly_active,Gradient Boosting,0.03722924417351569,0.03722924417351569,False,observed_year8,3.7229244173515688,3.7229244173515688
borough_109__age_7__activity_2,109,7,65-74,2,active,0.1629557311414399,True,borough_age_activity,9,1,0.1629557311414399,0,6,109,65-74__active,Gradient Boosting,0.10812468865975233,0.10812468865975233,False,observed_year8,10.812468865975234,-5.4831042481687575
borough_109__age_8__activity_0,109,8,75-84,0,inactive,0.0,True,borough_age_activity,9,1,0.0,0,6,109,75-84__inactive,Gradient Boosting,0.027513660667348932,0.027513660667348932,False,observed_year8,2.751366066734893,2.751366066734893
borough_109__age_8__activity_1,109,8,75-84,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,109,75-84__fairly_active,Gradient Boosting,0.021495075569994512,0.021495075569994512,False,observed_year8,2.1495075569994513,2.1495075569994513
borough_109__age_8__activity_2,109,8,75-84,2,active,0.0,True,borough_age_activity,9,1,0.0,0,6,109,75-84__active,Gradient Boosting,0.06879906713103943,0.06879906713103943,False,observed_year8,6.879906713103943,6.879906713103943
borough_109__age_9__activity_0,109,9,85+,0,inactive,1.0,True,borough_age_activity,9,1,1.0,0,6,109,85+__inactive,Gradient Boosting,0.04944698339065874,0.04944698339065874,False,observed_year8,4.944698339065874,-95.05530166093412
