series_id,LA_2023,activity_level_3cat,activity_level_3cat_label,year,forecast_horizon,task,model,candidate_id,is_primary_model,predicted_rate,age_group_code,age_group,primary_predicted_rate,difference_from_primary_pp,abs_difference_from_primary_pp
borough_280__activity_0,280,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07548684507582451,,,0.06998978667068802,0.5497058405136492,0.5497058405136492
borough_280__activity_1,280,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.09109279783864717,,,0.08287900134463323,0.8213796494013936,0.8213796494013936
borough_280__activity_2,280,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13802590315894891,-0.02780370389968423,0.02780370389968423
borough_293__activity_0,293,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.06757460143875216,,,0.0690660251978931,-0.14914237591409363,0.14914237591409363
borough_293__activity_1,293,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07380164717374042,,,0.08325071435033891,-0.9449067176598491,0.9449067176598491
borough_293__activity_2,293,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.12955960545230152,,,0.13328253055738548,-0.37229251050839574,0.37229251050839574
borough_30__activity_0,30,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07548684507582451,,,0.06989285780347307,0.5593987272351442,0.5593987272351442
borough_30__activity_1,30,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07983295895712203,,,0.07714023819129973,0.2692720765822304,0.2692720765822304
borough_30__activity_2,30,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13596824381973102,0.1779622300221051,0.1779622300221051
borough_35__activity_0,35,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07495830265110927,,,0.06885154888858311,0.610675376252616,0.610675376252616
borough_35__activity_1,35,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.10518872614294814,,,0.08287900134463323,2.2309724798314905,2.2309724798314905
borough_35__activity_2,35,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.1391002555489275,,,0.13677087922216408,0.2329376326763416,0.2329376326763416
borough_44__activity_0,44,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07388193025271213,,,0.07148861306031597,0.23933171923961605,0.23933171923961605
borough_44__activity_1,44,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08171389081081278,,,0.0810823965131403,0.06314942976724802,0.06314942976724802
borough_44__activity_2,44,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13738865119977817,0.03592149201739059,0.03592149201739059
