model,candidate_id,year,forecast_horizon,LA_2023,age_group_code,age_group,inactive_rate,fairly_active_rate,active_rate,active_inactive_gap_pp,fairly_active_inactive_gap_pp,primary_active_inactive_gap_pp,primary_fairly_active_inactive_gap_pp,active_gap_difference_pp,fairly_active_gap_difference_pp,active_gap_sign_reversal,fairly_active_gap_sign_reversal
Random Forest,Random Forest_05,9,1,8,4.0,35-44,0.08195765234375611,0.08605274723209962,0.12268429104983614,4.072663870608002,0.40950948883435034,5.548986368460854,-1.783940783936145,-1.476322497852852,2.1934502727704954,False,True
Random Forest,Random Forest_05,9,1,8,5.0,45-54,0.07664989768872983,0.08938321266883899,0.163653482048317,8.700358435958718,1.2733314980109156,11.801221259038739,2.2471667777211524,-3.1008628230800213,-0.9738352797102368,False,False
Random Forest,Random Forest_05,9,1,8,6.0,55-64,0.07219663542759987,0.08028546283533847,0.12747893349002756,5.52822980624277,0.8088827407738599,7.682800122502948,0.0,-2.1545703162601777,0.8088827407738599,False,False
Random Forest,Random Forest_05,9,1,8,7.0,65-74,0.0638063943775732,0.07902694572726873,0.1312588024833012,6.745240810572802,1.5220551349695535,7.813129466296366,0.7235850176727044,-1.0678886557235643,0.798470117296849,False,False
Random Forest,Random Forest_05,9,1,8,8.0,75-84,0.07230561496006567,0.07276217649584486,0.11840686086688727,4.61012459068216,0.0456561535779193,4.649946966659253,-0.601858509735443,-0.03982237597709304,0.6475146633133623,False,True
Random Forest,Random Forest_05,9,1,8,9.0,85+,0.060286807355141456,0.0621737706917413,0.08084500560798706,2.0558198252845603,0.18869633365998437,0.9809155645420505,1.6859835390208588,1.0749042607425099,-1.4972872053608746,False,False
Random Forest,Random Forest_05,9,1,9,2.0,16-24,0.10013029940889882,0.1018517046717451,0.17297057437518404,7.2840274966285214,0.17214052628462817,7.566956352385783,-3.763562695935505,-0.28292885575726157,3.935703222220133,False,True
Random Forest,Random Forest_05,9,1,9,3.0,25-34,0.08430677841400844,0.08291503979559448,0.10715929844836958,2.285252003436114,-0.13917386184139624,2.959885678623793,-2.299454873990688,-0.6746336751876791,2.1602810121492917,False,False
Random Forest,Random Forest_05,9,1,9,4.0,35-44,0.07948521401051721,0.08640666525259916,0.11860145937797578,3.9116245367458573,0.6921451242081946,6.767867116382748,0.0,-2.8562425796368904,0.6921451242081946,False,False
Random Forest,Random Forest_05,9,1,9,5.0,45-54,0.0768971848615619,0.08973580209825825,0.148063730938514,7.116654607695209,1.2838617236696352,10.04549031651639,2.104151900840413,-2.92883570882118,-0.8202901771707776,False,False
Random Forest,Random Forest_05,9,1,9,6.0,55-64,0.0814122791985389,0.08094918609553063,0.12265543685518272,4.124315765664383,-0.046309310300826634,4.808421307179538,-1.783940783936145,-0.6841055415151551,1.7376314736353184,False,False
Random Forest,Random Forest_05,9,1,9,7.0,65-74,0.06399535721210646,0.07632187845070798,0.13244163347493165,6.844627626282519,1.232652123860152,8.19893819117912,2.558403395379089,-1.3543105648966014,-1.3257512715189368,False,False
Random Forest,Random Forest_05,9,1,9,8.0,75-84,0.07254817977836382,0.07334885773636485,0.12988563520538127,5.733745542701745,0.08006779580010254,5.450859066389769,-0.6018585097354436,0.28288647631197605,0.6819263055355462,False,True
Random Forest,Random Forest_05,9,1,9,9.0,85+,0.0783281625254085,0.06310210241283125,0.08175796777102663,0.3429805245618131,-1.5226060112577253,0.5730884553560162,1.2781564298348245,-0.23010793079420305,-2.80076244109255,False,True
Random Forest,Random Forest_05,9,1,17,2.0,16-24,0.11262640518705393,0.10444124926138575,0.17215807888478118,5.953167369772726,-0.818515592566818,10.345361523796958,-1.4497940208086306,-4.392194154024232,0.6312784282418126,False,False
Random Forest,Random Forest_05,9,1,17,3.0,25-34,0.07908065966028069,0.08960089770672912,0.09998542384806053,2.090476418777984,1.052023804644843,1.7879993070036653,-2.104151900840413,0.3024771117743188,3.1561757054852557,False,True
Random Forest,Random Forest_05,9,1,17,4.0,35-44,0.08944621580721612,0.08210203684245064,0.11856914697797652,2.9122931170760396,-0.7344178964765482,4.432073907236749,-0.24672827535965336,-1.5197807901607092,-0.48768962111689484,False,False
Random Forest,Random Forest_05,9,1,17,5.0,45-54,0.07848445235027439,0.09725934236329943,0.1531333576252899,7.464890527501551,1.877489001302504,9.958442462626591,0.502370786518836,-2.4935519351250397,1.375118214783668,False,False
Random Forest,Random Forest_05,9,1,17,6.0,55-64,0.08458622353765698,0.08824226310248105,0.12761176761376747,4.30255440761105,0.3656039564824076,5.273057803463842,-1.783940783936145,-0.9705033958527922,2.149544740418553,False,True
Random Forest,Random Forest_05,9,1,17,7.0,65-74,0.07208887207455078,0.08748323733958642,0.1347558415822117,6.266696950766093,1.5394365265035639,6.416173752628235,-1.1380071922797323,-0.14947680186214196,2.6774437187832962,False,True
Random Forest,Random Forest_05,9,1,17,8.0,75-84,0.07671874245956128,0.0836636625551942,0.12853900781566585,5.182026535610457,0.6944920095632912,3.614975199013279,-0.4129110382112562,1.5670513365971779,1.1074030477745473,False,True
Random Forest,Random Forest_05,9,1,17,9.0,85+,0.07206234666318323,0.08883363715992258,0.08937156319286454,1.7309216529681315,1.6771290496739353,1.0825000014881074,2.296979522099008,0.6484216514800241,-0.6198504724250726,False,False
Random Forest,Random Forest_05,9,1,30,2.0,16-24,0.10080487232208821,0.1046068260835103,0.17386211717388458,7.3057244851796375,0.3801953761422089,7.566956352385783,-1.9796219119993603,-0.26123186720614555,2.3598172881415693,False,True
Random Forest,Random Forest_05,9,1,30,3.0,25-34,0.09255582357180397,0.07558958983594544,0.10547686280791259,1.2921039236108613,-1.6966233735858538,2.959885678623793,-0.46403716268316186,-1.6677817550129317,-1.232586210902692,False,False
Random Forest,Random Forest_05,9,1,30,4.0,35-44,0.0804204895895417,0.07795740897399503,0.11522334115044047,3.480285156089877,-0.24630806155466756,6.767867116382748,1.834818377706384,-3.287581960292871,-2.081126439261052,False,True
Random Forest,Random Forest_05,9,1,30,5.0,45-54,0.07783246044058638,0.09033890567143232,0.16064569813904084,8.281323769845446,1.2506445230845944,11.271393367848,2.3137686751268793,-2.9900695980025542,-1.063124152042285,False,False
Random Forest,Random Forest_05,9,1,30,6.0,55-64,0.07536455389465158,0.08188446167455513,0.11837226809755788,4.300771420290631,0.651990777990355,4.794655214482482,-2.067040399767226,-0.49388379419185124,2.719031177757581,False,True
Random Forest,Random Forest_05,9,1,30,7.0,65-74,0.06468363233375644,0.08068880204044172,0.13492533096467565,7.024169863091921,1.600516970668528,8.401709160951773,0.7235850176727044,-1.377539297859852,0.8769319529958236,False,False
Random Forest,Random Forest_05,9,1,30,8.0,75-84,0.06061886627849274,0.07428413331538934,0.11914638031885391,5.852751404036117,1.3665267036896598,5.129788018237448,-0.1220174581572489,0.7229633857986695,1.4885441618469086,False,True
Random Forest,Random Forest_05,9,1,30,9.0,85+,0.07950292765848298,0.08357241590661924,0.0826932433500511,0.31903156915681213,0.40694882481362576,0.5730884553560162,1.7875679759669167,-0.254056886199204,-1.380619151153291,False,False
Random Forest,Random Forest_05,9,1,35,2.0,16-24,0.1130492242699381,0.10371415382633405,0.1761947199529973,6.314549568305919,-0.9335070443604057,12.136316770088925,0.982898625786599,-5.821767201783006,-1.9164056701470047,False,True
Random Forest,Random Forest_05,9,1,35,3.0,25-34,0.09133243539256519,0.09300609464107507,0.09697518552995177,0.5642750137386576,0.16736592485098734,2.4672209136682484,0.0,-1.9029458999295907,0.16736592485098734,False,False
Random Forest,Random Forest_05,9,1,35,4.0,35-44,0.09454607869761474,0.08712763377187469,0.11900069354628494,2.44546148486702,-0.7418444925740051,4.235584632653794,-0.3192461715213757,-1.7901231477867734,-0.4225983210526294,False,False
Random Forest,Random Forest_05,9,1,35,5.0,45-54,0.08837222712062656,0.09886445957108946,0.1482015454668301,5.982931834620353,1.0492232450462893,8.261549532580245,-1.4006725877883854,-2.278617697959892,2.4498958328346747,False,True
Random Forest,Random Forest_05,9,1,35,6.0,55-64,0.07910325328858284,0.08948071495933353,0.1313704165660017,5.226716327741887,1.0377461670750696,7.861847060741595,0.0,-2.6351307329997082,1.0377461670750696,False,False
Random Forest,Random Forest_05,9,1,35,7.0,65-74,0.08552121883409063,0.08943237660570827,0.13528700589545575,4.976578706136513,0.3911157771617643,5.9372234552077465,-1.616957489700227,-0.9606447490712338,2.008073266861991,False,True
Random Forest,Random Forest_05,9,1,35,8.0,75-84,0.08213975124210618,0.08249624176665044,0.13795227390632997,5.581252266422379,0.03564905245442562,6.03883942744403,1.9013237929845856,-0.4575871610216504,-1.8656747405301601,False,False
Random Forest,Random Forest_05,9,1,35,9.0,85+,0.07199987996620223,0.07332316768566025,0.09096808569307767,1.8968205726875436,0.13232877194580134,1.0825000014881063,1.7875679759669145,0.8143205711994372,-1.6552392040211132,False,False
Random Forest,Random Forest_05,9,1,44,2.0,16-24,0.09353101634024437,0.10340571515618915,0.17239822313480918,7.886720679456481,0.9874698815944785,8.008795148733096,-3.5539459216490386,-0.12207446927661536,4.541415803243517,False,True
Random Forest,Random Forest_05,9,1,44,3.0,25-34,0.0962643491403148,0.0849442419111156,0.10501048943106839,0.8746140290753588,-1.1320107229199197,2.959885678623793,-2.299454873990688,-2.0852716495484342,1.1674441510707685,False,False
Random Forest,Random Forest_05,9,1,44,4.0,35-44,0.07477118950305188,0.0767416699635524,0.1241903459545238,4.941915645147192,0.19704804605005233,5.143438678880706,0.26933352313402853,-0.20152303373351366,-0.0722854770839762,False,False
Random Forest,Random Forest_05,9,1,44,5.0,45-54,0.07991929473949816,0.0792455619130386,0.15121013277731918,7.129083803782102,-0.06737328264595638,9.580853820232088,2.067040399767226,-2.451770016449986,-2.1344136824131823,False,True
Random Forest,Random Forest_05,9,1,44,6.0,55-64,0.0743114332681641,0.08314923352889128,0.13071230789470736,5.640087462654327,0.8837800260727182,7.861847060741595,0.0,-2.221759598087268,0.8837800260727182,False,False
Random Forest,Random Forest_05,9,1,44,7.0,65-74,0.06783127752614565,0.08259197382567707,0.12556365019003002,5.773237266388437,1.4760696299531417,6.220870779477957,-1.1380071922797323,-0.4476335130895208,2.614076822232874,False,True
Random Forest,Random Forest_05,9,1,44,8.0,75-84,0.07414025324077625,0.07573126483069702,0.1197393216636784,4.559906842290215,0.15910115899207683,4.649946966659253,-0.6018585097354436,-0.09004012436903785,0.7609596687275204,False,True
Random Forest,Random Forest_05,9,1,44,9.0,85+,0.08042471464008137,0.0846663424431159,0.08346447385038205,0.30397592103006826,0.42416278030345256,2.8215494096530547,1.7875679759669167,-2.5175734886229866,-1.3634051956634643,False,False
Random Forest,Random Forest_05,9,1,68,2.0,16-24,0.10101105325188652,0.10372355210501705,0.17167047313690822,7.065941988502171,0.2712498853130532,8.420138883283549,-3.498959859693143,-1.3541968947813778,3.770209745006196,False,True
Random Forest,Random Forest_05,9,1,68,3.0,25-34,0.07752673409555544,0.08644491344764525,0.10893257923627228,3.1405845140716844,0.8918179352089814,5.184114459627883,0.0,-2.043529945556199,0.8918179352089814,False,False
Random Forest,Random Forest_05,9,1,68,4.0,35-44,0.08909404920502738,0.09989833374586918,0.12363578046956984,3.454173126454246,1.08042845408418,4.6644883814602105,0.10962939723490883,-1.2103152550059644,0.9707990568492711,False,False
Random Forest,Random Forest_05,9,1,68,5.0,45-54,0.08115390084153551,0.0963363307354243,0.15117800498129708,7.002410413976157,1.5182429893888794,9.58085382023209,0.383268196147759,-2.578443406255933,1.1349747932411205,False,False
Random Forest,Random Forest_05,9,1,68,6.0,55-64,0.08593180455385811,0.08544365350604613,0.12301756041095704,3.708575585709893,-0.04881510478119827,4.278593415988803,-2.3137686751268776,-0.5700178302789101,2.2649535703456793,False,False
Random Forest,Random Forest_05,9,1,68,7.0,65-74,0.09093700669351273,0.10059830170919341,0.1311865377167871,4.024953102327436,0.966129501568068,5.265089940823491,0.6968111854266518,-1.2401368384960545,0.2693183161414162,False,False
Random Forest,Random Forest_05,9,1,68,8.0,75-84,0.0861857871916356,0.07849510766604786,0.13719029233534977,5.100450514371417,-0.7690679525587731,3.2456542988276924,-3.39504363835178,1.8547962155437245,2.6259756857930068,False,False
Random Forest,Random Forest_05,9,1,68,9.0,85+,0.08400471748934811,0.06714774402282656,0.06849440601979251,-1.5510311469555602,-1.6856973466521554,0.06367690922392394,1.2781564298348245,-1.6147080561794842,-2.96385377648698,True,True
Random Forest,Random Forest_05,9,1,78,2.0,16-24,0.09347052384919817,0.1018517046717451,0.17167047313690822,7.819994928771005,0.8381180822546935,8.083018150879463,-3.5168344205758517,-0.2630232221084574,4.354952502830545,False,True
Random Forest,Random Forest_05,9,1,78,3.0,25-34,0.0830068762148653,0.08316204025296894,0.09786263038023753,1.4855754165372228,0.015516403810364454,3.2286714933186826,-1.783940783936145,-1.7430960767814598,1.7994571877465093,False,True
Random Forest,Random Forest_05,9,1,78,4.0,35-44,0.07401729762384836,0.08826208985416921,0.11195543218202245,3.793813455817409,1.424479223032085,4.948135705730429,0.4789502974204954,-1.1543222499130206,0.9455289256115897,False,False
Random Forest,Random Forest_05,9,1,78,5.0,45-54,0.07714418531893638,0.087087493822812,0.15694970600391384,7.980552068497746,0.994330850387562,11.801221259038739,1.783940783936145,-3.8206691905409933,-0.789609933548583,False,False
Random Forest,Random Forest_05,9,1,78,6.0,55-64,0.07208076963216468,0.08119618655290511,0.12698012989226823,5.489936026010354,0.9115416920740429,6.710712071532843,-0.470229714238244,-1.2207760455224888,1.381771406312287,False,True
Random Forest,Random Forest_05,9,1,78,7.0,65-74,0.06399535721210646,0.08018690834768279,0.13234506532729334,6.834970811518688,1.6191551135576328,8.045351488357207,0.7235850176727044,-1.2103806768385192,0.8955700958849283,False,False
Random Forest,Random Forest_05,9,1,78,8.0,75-84,0.07924902147678604,0.07359585819373933,0.1298961030757296,5.064708159894356,-0.5653163283046714,3.382753176952437,-3.148315362992129,1.6819549829419191,2.5829990346874574,False,False
Random Forest,Random Forest_05,9,1,78,9.0,85+,0.07857516298278298,0.06320317696992209,0.06508390632946054,-1.3491256653322445,-1.5371986012860896,0.06367690922392394,1.2781564298348245,-1.4128025745561685,-2.815355031120914,True,True
Random Forest,Random Forest_05,9,1,91,2.0,16-24,0.09953040069488243,0.09497580122978576,0.17167047313690822,7.214007244202579,-0.4554599465096676,8.68536393823192,-1.1295829039043581,-1.4713566940293408,0.6741229573946905,False,False
Random Forest,Random Forest_05,9,1,91,3.0,25-34,0.08699954865595992,0.08348297653531256,0.10861640505359783,2.161685639763791,-0.35165721206473627,2.8703457845010063,-2.3137686751268793,-0.7086601447372152,1.962111463062143,False,False
Random Forest,Random Forest_05,9,1,91,4.0,35-44,0.07441622752857908,0.0868706817341427,0.11793215783812429,4.35159303095452,1.2454454205563612,4.678802182596402,-1.834818377706384,-0.327209151641882,3.080263798262745,False,True
Random Forest,Random Forest_05,9,1,91,5.0,45-54,0.07961361472503656,0.09338843463921721,0.14641563350365805,6.6802018778621495,1.3774819914180656,8.06624655942997,-1.400672587788386,-1.386044681567821,2.7781545792064515,False,True
Random Forest,Random Forest_05,9,1,91,6.0,55-64,0.07819040205329014,0.08151712283524873,0.12264042245439888,4.445002040110873,0.33267207819585864,5.0110576938877385,-1.783940783936145,-0.5660556537768651,2.1166128621320035,False,True
Random Forest,Random Forest_05,9,1,91,7.0,65-74,0.08728867034274579,0.07771788300372877,0.13294728916052673,4.565861881778094,-0.957078733901702,6.52582662474066,0.5015082122763761,-1.9599647429625664,-1.458586946178078,False,True
Random Forest,Random Forest_05,9,1,91,8.0,75-84,0.0731161165180819,0.07391679447608296,0.1190197113012447,4.590359478316279,0.08006779580010531,4.649946966659253,-0.6018585097354436,-0.05958748834297367,0.6819263055355489,False,True
Random Forest,Random Forest_05,9,1,91,9.0,85+,0.0788960992651266,0.08320507706731285,0.08232590451074472,0.3429805245618117,0.43089778021862535,0.5730884553560162,1.7875679759669167,-0.23010793079420444,-1.3566701957482914,False,False
Random Forest,Random Forest_05,9,1,107,2.0,16-24,0.10217630847246129,0.09528634824384778,0.17167047313690822,6.949416466444694,-0.6889960228613503,7.83628987551981,-1.928744318229121,-0.8868734090751165,1.2397482953677708,False,False
Random Forest,Random Forest_05,9,1,107,3.0,25-34,0.08667861237361632,0.07622835772180786,0.10568084723049553,1.9002234856879214,-1.0450254651808462,3.892151207844072,-2.4328712654979565,-1.9919277221561504,1.3878458003171104,False,False
Random Forest,Random Forest_05,9,1,107,4.0,35-44,0.08171608529812945,0.08635056930062943,0.1241903459545238,4.247426065639435,0.46344840024999806,5.194316272650945,0.0,-0.9468902070115099,0.46344840024999806,False,False
Random Forest,Random Forest_05,9,1,107,5.0,45-54,0.08507204563175191,0.08973580209825825,0.15618159925430017,7.110955362254826,0.46637564665063386,9.487452583911859,-0.20961677428646686,-2.376497221657033,0.6759924209371007,False,True
Random Forest,Random Forest_05,9,1,107,6.0,55-64,0.07224623694954209,0.0772121983200872,0.12361101235157068,5.1364775402028595,0.49659613705451133,6.794998477823882,2.104151900840413,-1.6585209376210228,-1.6075557637859015,False,False
