series_id,LA_2023,age_group_code,age_group,year8_observed_rate,initial_year8_lag_observed,task,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_group_category,selected_model,raw_predicted_rate,predicted_rate,was_clipped,lag_source,predicted_rate_pp,change_from_year8_pp
borough_126__age_9,126,9,85+,0.0,True,borough_age,9,1,0.0,0,6,126,85+,Gradient Boosting,0.030881796315896357,0.030881796315896357,False,observed_year8,3.088179631589636,3.088179631589636
borough_129__age_2,129,2,16-24,0.2038231836162495,True,borough_age,9,1,0.2038231836162495,0,6,129,16-24,Gradient Boosting,0.14690816616961425,0.14690816616961425,False,observed_year8,14.690816616961424,-5.691501744663524
borough_129__age_3,129,3,25-34,0.3626871920377716,True,borough_age,9,1,0.3626871920377716,0,6,129,25-34,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-26.05654087616511
borough_129__age_4,129,4,35-44,0.1693291010444767,True,borough_age,9,1,0.1693291010444767,0,6,129,35-44,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-6.720731776835617
borough_129__age_5,129,5,45-54,0.2107794356419741,True,borough_age,9,1,0.2107794356419741,0,6,129,45-54,Gradient Boosting,0.12215764565241072,0.12215764565241072,False,observed_year8,12.215764565241072,-8.862178998956338
borough_129__age_6,129,6,55-64,0.1583262841767176,True,borough_age,9,1,0.1583262841767176,0,6,129,55-64,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-5.620450090059706
borough_129__age_7,129,7,65-74,0.0453793739367163,True,borough_age,9,1,0.0453793739367163,0,6,129,65-74,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,5.674240933940424
borough_129__age_8,129,8,75-84,0.0446931913421307,True,borough_age,9,1,0.0446931913421307,0,6,129,75-84,Gradient Boosting,0.09488684547263461,0.09488684547263461,False,observed_year8,9.48868454726346,5.019365413050391
borough_129__age_9,129,9,85+,0.0,True,borough_age,9,1,0.0,0,6,129,85+,Gradient Boosting,0.030881796315896357,0.030881796315896357,False,observed_year8,3.088179631589636,3.088179631589636
borough_135__age_2,135,2,16-24,0.2465278382607494,True,borough_age,9,1,0.2465278382607494,0,6,135,16-24,Gradient Boosting,0.1466690549749913,0.1466690549749913,False,observed_year8,14.66690549749913,-9.98587832857581
borough_135__age_3,135,3,25-34,0.101955094353257,True,borough_age,9,1,0.101955094353257,0,6,135,25-34,Gradient Boosting,0.10188267208149762,0.10188267208149762,False,observed_year8,10.188267208149762,-0.007242227175938143
borough_135__age_4,135,4,35-44,0.0281520798809513,True,borough_age,9,1,0.0281520798809513,0,6,135,35-44,Gradient Boosting,0.10188267208149762,0.10188267208149762,False,observed_year8,10.188267208149762,7.373059220054631
borough_135__age_5,135,5,45-54,0.1799828139945925,True,borough_age,9,1,0.1799828139945925,0,6,135,45-54,Gradient Boosting,0.12215764565241072,0.12215764565241072,False,observed_year8,12.215764565241072,-5.782516834218179
borough_135__age_6,135,6,55-64,0.0243647187736236,True,borough_age,9,1,0.0243647187736236,0,6,135,55-64,Gradient Boosting,0.10188267208149762,0.10188267208149762,False,observed_year8,10.188267208149762,7.7517953307874015
borough_135__age_7,135,7,65-74,0.0514010004029078,True,borough_age,9,1,0.0514010004029078,0,6,135,65-74,Gradient Boosting,0.10188267208149762,0.10188267208149762,False,observed_year8,10.188267208149762,5.048167167858982
borough_135__age_8,135,8,75-84,0.0,True,borough_age,9,1,0.0,0,6,135,75-84,Gradient Boosting,0.0946477342780117,0.0946477342780117,False,observed_year8,9.46477342780117,9.46477342780117
borough_135__age_9,135,9,85+,0.0,True,borough_age,9,1,0.0,0,6,135,85+,Gradient Boosting,0.030642685121273435,0.030642685121273435,False,observed_year8,3.0642685121273434,3.0642685121273434
borough_136__age_2,136,2,16-24,0.2175922027539195,True,borough_age,9,1,0.2175922027539195,0,6,136,16-24,Gradient Boosting,0.14690816616961425,0.14690816616961425,False,observed_year8,14.690816616961424,-7.068403658430525
borough_136__age_3,136,3,25-34,0.0824747054000288,True,borough_age,9,1,0.0824747054000288,0,6,136,25-34,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,1.964707787609174
borough_136__age_4,136,4,35-44,0.0630906365390111,True,borough_age,9,1,0.0630906365390111,0,6,136,35-44,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,3.903114673710943
borough_136__age_5,136,5,45-54,0.1685184718437112,True,borough_age,9,1,0.1685184718437112,0,6,136,45-54,Gradient Boosting,0.12215764565241072,0.12215764565241072,False,observed_year8,12.215764565241072,-4.636082619130047
borough_136__age_6,136,6,55-64,0.159178130394973,True,borough_age,9,1,0.159178130394973,0,6,136,55-64,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-5.705634711885247
borough_136__age_7,136,7,65-74,0.1216733013386517,True,borough_age,9,1,0.1216733013386517,0,6,136,65-74,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-1.9551518062531166
borough_136__age_8,136,8,75-84,0.1458657405865573,True,borough_age,9,1,0.1458657405865573,0,6,136,75-84,Gradient Boosting,0.09488684547263461,0.09488684547263461,False,observed_year8,9.48868454726346,-5.097889511392268
borough_136__age_9,136,9,85+,0.0,True,borough_age,9,1,0.0,0,6,136,85+,Gradient Boosting,0.030881796315896357,0.030881796315896357,False,observed_year8,3.088179631589636,3.088179631589636
borough_139__age_2,139,2,16-24,0.1534383211287253,True,borough_age,9,1,0.1534383211287253,0,6,139,16-24,Gradient Boosting,0.16009097588069765,0.16009097588069765,False,observed_year8,16.009097588069764,0.6652654751972353
borough_139__age_3,139,3,25-34,0.04508984807017,True,borough_age,9,1,0.04508984807017,0,6,139,25-34,Gradient Boosting,0.11530459298720373,0.11530459298720373,False,observed_year8,11.530459298720373,7.021474491703374
borough_139__age_4,139,4,35-44,0.1097617771672394,True,borough_age,9,1,0.1097617771672394,0,6,139,35-44,Gradient Boosting,0.11530459298720373,0.11530459298720373,False,observed_year8,11.530459298720373,0.554281581996434
borough_139__age_5,139,5,45-54,0.2060378424376823,True,borough_age,9,1,0.2060378424376823,0,6,139,45-54,Gradient Boosting,0.13534045536349398,0.13534045536349398,False,observed_year8,13.534045536349398,-7.069738707418832
borough_139__age_6,139,6,55-64,0.1327867803940149,True,borough_age,9,1,0.1327867803940149,0,6,139,55-64,Gradient Boosting,0.11530459298720373,0.11530459298720373,False,observed_year8,11.530459298720373,-1.7482187406811165
borough_139__age_7,139,7,65-74,0.2070629046159895,True,borough_age,9,1,0.2070629046159895,0,6,139,65-74,Gradient Boosting,0.11530459298720373,0.11530459298720373,False,observed_year8,11.530459298720373,-9.175831162878577
borough_139__age_8,139,8,75-84,0.0289270261100099,True,borough_age,9,1,0.0289270261100099,0,6,139,75-84,Gradient Boosting,0.1080696551837178,0.1080696551837178,False,observed_year8,10.806965518371781,7.914262907370791
borough_139__age_9,139,9,85+,0.0,True,borough_age,9,1,0.0,0,6,139,85+,Gradient Boosting,0.04406460602697961,0.04406460602697961,False,observed_year8,4.406460602697961,4.406460602697961
borough_142__age_2,142,2,16-24,0.1179773923898176,True,borough_age,9,1,0.1179773923898176,0,6,142,16-24,Gradient Boosting,0.14690816616961425,0.14690816616961425,False,observed_year8,14.690816616961424,2.8930773779796652
borough_142__age_3,142,3,25-34,0.0944592262749701,True,borough_age,9,1,0.0944592262749701,0,6,142,25-34,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,0.7662557001150441
borough_142__age_4,142,4,35-44,0.1163002998769874,True,borough_age,9,1,0.1163002998769874,0,6,142,35-44,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-1.417851660086686
borough_142__age_5,142,5,45-54,0.099083836734993,True,borough_age,9,1,0.099083836734993,0,6,142,45-54,Gradient Boosting,0.12215764565241072,0.12215764565241072,False,observed_year8,12.215764565241072,2.3073808917417713
borough_142__age_6,142,6,55-64,0.0173559166149571,True,borough_age,9,1,0.0173559166149571,0,6,142,55-64,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,8.476586666116344
borough_142__age_7,142,7,65-74,0.1411451587789903,True,borough_age,9,1,0.1411451587789903,0,6,142,65-74,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-3.902337550286977
borough_142__age_8,142,8,75-84,0.1104523680973588,True,borough_age,9,1,0.1104523680973588,0,6,142,75-84,Gradient Boosting,0.09488684547263461,0.09488684547263461,False,observed_year8,9.48868454726346,-1.5565522624724188
