model,candidate_id,year,forecast_horizon,age_group_code,age_group,boroughs,mean_active_inactive_gap_pp,median_abs_active_gap_difference_pp,p90_abs_active_gap_difference_pp,active_gap_sign_reversal_rate,mean_fairly_active_inactive_gap_pp,median_abs_fairly_active_gap_difference_pp,p90_abs_fairly_active_gap_difference_pp,fairly_active_gap_sign_reversal_rate
Random Forest,Random Forest_05,10,2,3.0,25-34,32,2.02077919583632,1.0652315300596753,1.6094122694178643,0.0,0.07618478888491656,0.30919825062706785,0.6411113167024454,0.21875
Random Forest,Random Forest_05,10,2,4.0,35-44,32,3.5166661725641255,1.1822531685324797,1.817995219366119,0.0,0.2613755370207187,0.35288458944964657,0.8311128440803899,0.25
Random Forest,Random Forest_05,10,2,5.0,45-54,32,6.392977622817203,1.0354708733594515,1.6472349238277615,0.0,0.16461352337297888,0.5642740036642828,0.926100124834275,0.46875
Random Forest,Random Forest_05,10,2,6.0,55-64,32,4.0891114091582015,1.1160241138662679,1.3629179113640486,0.0,0.2699605664571231,0.3511855055581964,0.7287989284716198,0.21875
Random Forest,Random Forest_05,10,2,7.0,65-74,32,5.43347134050533,0.707896102023799,1.5316725778668836,0.0,1.0346159689517704,0.3695571396516555,0.7823034774961277,0.0
Random Forest,Random Forest_05,10,2,8.0,75-84,32,4.5249762134033755,0.9507028942674483,1.3388271739106232,0.0,-0.06629010263528999,2.2027160693710375,2.679596718339728,0.25
Random Forest,Random Forest_05,10,2,9.0,85+,32,0.011842082478164592,1.0803351012414673,2.633078804219463,0.625,-0.28861103561793144,3.9909122694314885,4.082647126625705,0.84375
Random Forest,Random Forest_05,11,3,2.0,16-24,32,6.9118061416135355,0.6370669709124659,0.9561525875387205,0.0,0.23937301339758543,1.6963324955386203,2.225737184631885,1.0
Random Forest,Random Forest_05,11,3,3.0,25-34,32,2.159706322045045,0.7558549706709545,1.2254677376029657,0.0,0.08295166038511559,0.07816807554548652,0.0883866395004497,0.0
Random Forest,Random Forest_05,11,3,4.0,35-44,32,3.6289691620029556,0.9149497011265117,1.544220800260572,0.0,0.30300273405859024,0.30904929872897013,0.3160675737929902,0.0
Random Forest,Random Forest_05,11,3,5.0,45-54,32,6.58381517045418,0.6189391305019534,1.1034233010413426,0.0,0.22724263511235077,0.22543856173736776,0.3079580355890204,0.03125
Random Forest,Random Forest_05,11,3,6.0,55-64,32,4.104118670597297,0.5424374547053605,1.1510679933909853,0.0,0.20042428368323797,0.2167782953420641,0.2212073580740509,0.0
Random Forest,Random Forest_05,11,3,7.0,65-74,32,5.203591436545002,0.9641069392659043,1.1987385409817486,0.0,0.6322574433830163,0.6165330493508765,0.6930345370511342,0.0
Random Forest,Random Forest_05,11,3,8.0,75-84,32,4.581203170788995,1.5197324699353594,1.554736673009204,0.0,-0.039075262375991814,1.1673897935079558,2.924640201592952,0.125
Random Forest,Random Forest_05,11,3,9.0,85+,32,0.030540529756953795,2.328335944018577,2.5838318101978914,0.09375,-0.12921887390120154,4.3681676910072955,4.371504597098056,0.875
Random Forest,Random Forest_05,12,4,2.0,16-24,32,6.910405416565762,0.6370669709124606,0.9557525985104727,0.0,0.24713781682155317,1.6921004745639179,2.221928365754654,1.0
Random Forest,Random Forest_05,12,4,3.0,25-34,32,2.153551849862955,0.7446928992928323,1.241185862838656,0.0,0.07739334485843824,0.0784110241210792,0.0820170934288085,0.0
Random Forest,Random Forest_05,12,4,4.0,35-44,32,3.6302418297553207,0.8813758157866665,1.6338975096380461,0.0,0.273820474048384,0.27934291610203843,0.31108694445719454,0.0
Random Forest,Random Forest_05,12,4,5.0,45-54,32,6.574940505304823,0.6230670081703367,1.1199312144674836,0.0,0.21612498505632366,0.2154629463579985,0.2788656603067524,0.03125
Random Forest,Random Forest_05,12,4,6.0,55-64,32,4.102414288460892,0.5462687865733349,1.2331753456519785,0.0,0.1918068706344212,0.19086158598279473,0.21548963838440963,0.0
Random Forest,Random Forest_05,12,4,7.0,65-74,32,5.220113060327366,0.954263580860971,1.1941088783716318,0.0,0.6409323773511963,0.5940605948412465,0.6260504799333785,0.0
Random Forest,Random Forest_05,12,4,8.0,75-84,32,4.601073082426247,1.5095090173464616,1.5346602725949232,0.0,0.03106153059274923,1.1965176598809308,1.34630557789768,0.46875
Random Forest,Random Forest_05,12,4,9.0,85+,32,0.03254953282884002,2.5769767205531764,2.587866773070612,0.09375,-0.16634887385586286,4.369082128145361,4.3765842261522145,1.0
Random Forest,Random Forest_05,13,5,2.0,16-24,32,6.910405416565764,0.6370669709124579,0.9557525985104711,0.0,0.23917522698500884,1.6921004745639179,2.221928365754654,1.0
Random Forest,Random Forest_05,13,5,3.0,25-34,32,2.1628060762512957,0.7422973870327321,1.2397784172035746,0.0,0.07875342337421162,0.07841102412108197,0.08165648649803738,0.0
Random Forest,Random Forest_05,13,5,4.0,35-44,32,3.645577461613438,0.8405934931612868,1.4440361663873484,0.0,0.29545527942158084,0.3010860993629669,0.3136109663548671,0.0
Random Forest,Random Forest_05,13,5,5.0,45-54,32,6.581751783693783,0.6198535676400256,1.1044168162316241,0.0,0.22325395018384245,0.21546294635800128,0.2788656603067525,0.03125
Random Forest,Random Forest_05,13,5,6.0,55-64,32,4.102006588884259,0.5439069863821522,1.2412817962749219,0.0,0.1899276073959902,0.20122240137357694,0.22093819485708696,0.0
Random Forest,Random Forest_05,13,5,7.0,65-74,32,5.217030650053184,0.954263580860971,1.194602673290456,0.0,0.637517886311626,0.6045483134899374,0.6301240094150806,0.0
Random Forest,Random Forest_05,13,5,8.0,75-84,32,4.579161161595168,1.5095090173464611,1.5346602725949232,0.0,-0.04886118624475616,1.1424990444663647,1.3497030300643904,0.09375
Random Forest,Random Forest_05,13,5,9.0,85+,32,0.0321554862315515,2.5769767205531764,2.5878667730706106,0.09375,-0.1644699273774383,4.369082128145362,4.369082128145363,1.0
Random Forest,Random Forest_05,14,6,2.0,16-24,32,6.910405416565762,0.6370669709124606,0.9557525985104728,0.0,0.24713781682155359,1.6921004745639179,2.221928365754654,1.0
Random Forest,Random Forest_05,14,6,3.0,25-34,32,2.1561104479323387,0.7424576775077119,1.2411858628386538,0.0,0.07868692688131457,0.07841102412108197,0.0820170934288085,0.0
Random Forest,Random Forest_05,14,6,4.0,35-44,32,3.6434373323797633,0.7955569412649837,1.5979753633646354,0.0,0.27641415280045295,0.2807642030197427,0.3135195226410602,0.0
Random Forest,Random Forest_05,14,6,5.0,45-54,32,6.575471583878617,0.6230670081703349,1.1199312144674836,0.0,0.21731406450984161,0.2154629463579985,0.27886566030675225,0.03125
Random Forest,Random Forest_05,14,6,6.0,55-64,32,4.107779769250994,0.5422438299875743,1.2319726969277023,0.0,0.19570078776272554,0.20122240137357694,0.20927231454509476,0.0
Random Forest,Random Forest_05,14,6,7.0,65-74,32,5.217284038224517,0.9542635808609656,1.1934675939592423,0.0,0.638020110338664,0.6045483134899401,0.6272245771275977,0.0
Random Forest,Random Forest_05,14,6,8.0,75-84,32,4.6033784363258645,1.5095090173464603,1.5346602725949214,0.0,0.03190319413396998,1.1920453592860043,1.3463055778976787,0.46875
Random Forest,Random Forest_05,14,6,9.0,85+,32,0.032495800372720755,2.5769767205531777,2.587866773070612,0.09375,-0.167958232877928,4.369082128145361,4.3765842261522145,1.0
Ridge Regression,Ridge Regression_07,9,1,2.0,16-24,32,0.30808674624289956,8.804289233587511,10.535779323673664,0.125,-0.004779280236670217,1.8670517086851586,3.3480117690906,0.46875
Ridge Regression,Ridge Regression_07,9,1,3.0,25-34,32,0.1441332426355448,3.4425433135408854,5.007362838384587,0.3125,0.007352273431982923,0.47332096964339126,2.1166050873742885,0.0625
Ridge Regression,Ridge Regression_07,9,1,4.0,35-44,32,0.23865551075267166,4.975519403587406,6.674354409209925,0.0625,0.06561324865556008,0.9107894952347748,2.070267738763655,0.21875
Ridge Regression,Ridge Regression_07,9,1,5.0,45-54,32,0.3689383130425799,9.09566116603343,10.898658232211957,0.09375,0.0702514190355709,1.2606382467785,1.9131034542374155,0.09375
Ridge Regression,Ridge Regression_07,9,1,6.0,55-64,32,0.2986951642767816,6.164447088492725,7.549915730520763,0.03125,0.04238725621843598,0.2716009250559336,2.06634378269362,0.0625
Ridge Regression,Ridge Regression_07,9,1,7.0,65-74,32,0.36448366898908957,7.322477296182227,8.051909823360504,0.09375,0.08968772376072884,0.9487088800611694,2.5518621937543307,0.03125
Ridge Regression,Ridge Regression_07,9,1,8.0,75-84,32,0.17207094192678973,4.502790544907155,5.29216727687564,0.125,-0.03442494208414434,0.6203978892001422,2.9025343007218267,0.59375
Ridge Regression,Ridge Regression_07,9,1,9.0,85+,32,0.03789656448757941,0.5521248279548885,0.7772651721873908,0.25,-0.2641279503377331,1.601015955990011,1.7881761180995341,0.84375
Ridge Regression,Ridge Regression_07,10,2,2.0,16-24,32,0.15484453093378794,7.415692496962879,7.929698091738437,0.0,0.01631030362298394,1.8429330317567167,1.9963386210057792,0.96875
Ridge Regression,Ridge Regression_07,10,2,3.0,25-34,32,0.1043720584062614,2.8478345136403282,3.3690131562794425,0.0,0.03231785182515601,0.039098638865087826,0.5602500875884207,0.375
Ridge Regression,Ridge Regression_07,10,2,4.0,35-44,32,0.11753905698677668,4.422722971887991,5.0849032699676515,0.0,0.031325859006319345,0.036432946682801726,0.5560922392825174,0.25
Ridge Regression,Ridge Regression_07,10,2,5.0,45-54,32,0.2020521426340007,7.180644940931327,7.594952329293149,0.0,0.05410565088632018,0.4711000421514434,0.5813925419816035,0.34375
Ridge Regression,Ridge Regression_07,10,2,6.0,55-64,32,0.13264471034856165,5.105560201281373,5.348299084615243,0.0,0.028153747387220505,0.027865044501299008,0.5553318648356446,0.21875
Ridge Regression,Ridge Regression_07,10,2,7.0,65-74,32,0.1765946824526295,6.055982309238596,7.19069220569295,0.0,0.07171439405118601,0.6272987512358452,1.2325551067723206,0.0
Ridge Regression,Ridge Regression_07,10,2,8.0,75-84,32,0.15045794763524886,3.5114597642120016,4.943135104105982,0.0,0.01787886795680373,2.251464110552028,2.7783992886072504,0.9375
Ridge Regression,Ridge Regression_07,10,2,9.0,85+,32,0.021690748942610697,1.279486039794539,2.5741848229861093,0.03125,-0.00567596622155931,3.6912311608324,3.6971090778519864,0.875
Ridge Regression,Ridge Regression_07,11,3,2.0,16-24,32,0.15190427190708003,7.415035996608765,7.440759512689391,0.0,0.01671494955679388,1.4665167680672122,1.9963289324330542,1.0
Ridge Regression,Ridge Regression_07,11,3,3.0,25-34,32,0.10360916039798776,2.8420032288325343,3.3717240788406606,0.0,0.032796866482308125,0.03279344941998982,0.03293047265039137,0.0
Ridge Regression,Ridge Regression_07,11,3,4.0,35-44,32,0.11521519508129802,4.343119758170516,5.02121974961342,0.0,0.030667986717570084,0.03065490065836257,0.030792351376720956,0.0
