LA_2023,disability_group,activity,predicted_participation
147,disty10,WALKTRAV_B02,0.6782401357389635
147,disty11,WALKTRAV_B02,0.5441713947575626
147,disty12,WALKTRAV_B02,0.6016558735082481
147,disty13,GARD_B08,0.5216763514288633
147,disty2,ACTTRAV_C03,0.6632034023383417
147,disty3,ACTTRAV_C03,0.5535062801819228
147,disty4,ACTTRAV_C03,0.5639448636777892
147,disty5,ACTTRAV_C03,0.6754294966494773
147,disty6,WALKTRAV_B02,0.5553791100687218
147,disty7,ACTTRAV_C03,0.6041896976132434
147,disty8,ACTTRAV_C03,0.5791759828286267
147,disty9,GARD_B08,0.47209817728864234
147,limiting_disability,ACTTRAV_C03,0.6390000232780726
147,no_disability,ACTTRAV_C03,0.7268602365273783
147,non_limiting_disability,ACTTRAV_C03,0.7474201365618603
160,disty1,ACTTRAV_C03,0.5908515608772202
160,disty10,ACTTRAV_C03,0.6739837375563351
160,disty11,WALKTRAV_B02,0.54220180607745
160,disty12,ACTTRAV_C03,0.6300973123094928
160,disty13,WALKTRAV_B02,0.4928231203333896
160,disty2,WALKTRAV_B02,0.6026654358789401
160,disty3,GARD_B08,0.5108870067545386
160,disty4,WALKTRAV_B02,0.5187282135235265
160,disty5,ACTTRAV_C03,0.6216429246898836
160,disty6,WALKTRAV_B02,0.5504156176088906
160,disty7,WALKTRAV_B02,0.5699599021101782
160,disty8,WALKTRAV_B02,0.6911075951764555
160,disty9,ACTTRAV_C03,0.6175352225303116
160,limiting_disability,ACTTRAV_C03,0.5883207045521451
160,no_disability,ACTTRAV_C03,0.692502779246619
160,non_limiting_disability,ACTTRAV_C03,0.7227621417069552
17,disty1,GARD_B08,0.5078115234025465
17,disty10,WALKTRAV_B02,0.6475281737786174
17,disty11,ACTTRAV_C03,0.5662925319833587
17,disty12,ACTTRAV_C03,0.5709100200092063
17,disty13,WALKTRAV_B02,0.7010364298900205
17,disty2,ACTTRAV_C03,0.5246797733419191
17,disty3,GARD_B08,0.49464602083823317
17,disty4,GARD_B08,0.5451515624461509
17,disty5,WALKTRAV_B02,0.5568695249971182
17,disty6,ACTTRAV_C03,0.4482778731941563
17,disty7,GARD_B08,0.5473798115933636
17,disty8,GARD_B08,0.554157878535997
17,disty9,GARD_B08,0.534814089747931
17,limiting_disability,ACTTRAV_C03,0.4979523251862129
17,no_disability,ACTTRAV_C03,0.6148093436333958
17,non_limiting_disability,WALKTRAV_B02,0.610333497215423
171,disty1,ACTTRAV_C03,0.5219666595640259
171,disty10,ACTTRAV_C03,0.3790008724450483
171,disty11,ACTTRAV_C03,0.36962863805308777
171,disty12,ACTTRAV_C03,0.6016234271924763
171,disty13,WALKTRAV_B02,0.5552738660461681
171,disty2,ACTTRAV_C03,0.5421413200658474
171,disty3,ACTTRAV_C03,0.48236618178943413
171,disty4,WALKTRAV_B02,0.47751080360072384
171,disty5,ACTTRAV_C03,0.5972014630372452
171,disty6,WALKTRAV_B02,0.47832635510183924
171,disty7,ACTTRAV_C03,0.5374853384705535
171,disty8,ACTTRAV_C03,0.5958002975824754
171,disty9,WALKTRAV_B02,0.5440446396635537
171,limiting_disability,ACTTRAV_C03,0.6005644225077509
171,no_disability,ACTTRAV_C03,0.7285744807108196
171,non_limiting_disability,ACTTRAV_C03,0.7262681258787695
196,disty1,WALKTRAV_B02,0.5531570953573136
196,disty10,WALKTRAV_B02,0.5746731325797351
196,disty11,ACTTRAV_C03,0.499212484838717
196,disty12,ACTTRAV_C03,0.6115346411801228
196,disty13,ACTTRAV_C03,0.5764706551735791
196,disty2,WALKTRAV_B02,0.5881808178210065
196,disty3,GARD_B08,0.46372546204174847
196,disty4,ACTTRAV_C03,0.7369722501306587
196,disty5,ACTTRAV_C03,0.6466043843275726
