task,model,split,observations,total_variation,n_origins,origin_scores_json,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2
disability_activity_level,Naive baseline,test,62392,0.011371788264842062,,,0.007581192176561376,0.044176158964007325,,,,,,,,,,0.010288468808860704,0.052887811504588725,0.12650863881500474,0.005581194116499302,0.03510663885285382,-0.6334939364906016,0.00687391360432412,0.04272004640856703,-0.06941046855899713,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,Random Forest,test,62392,0.008300270379464986,,,0.005533513586309991,0.03628104954883002,,,,,,,,,,0.008089501253752521,0.046012835043777144,0.33884177180140884,0.003679663182227445,0.025687496079730702,0.12545417806111292,0.004831376322950006,0.034233247369800476,0.3132839527629949,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,Ridge Regression,test,62392,0.009148094140618837,,,0.006098729427079224,0.03804665321544724,,,,,,,,,,0.008907135700306358,0.04859765756596039,0.262472710150907,0.004044108608992677,0.026781012521063505,0.04941050949620018,0.005344943971938636,0.03554839673090476,0.25950686555525493,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,Gradient Boosting,validation,247417,0.008098414274809418,4.0,"[0.007992107530787267, 0.007923088285748161, 0.00784989214870307, 0.008628569133999174]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,Naive baseline,validation,247417,0.010741756625283906,4.0,"[0.009850459632329752, 0.011077345053998357, 0.010689764764505068, 0.011349457050302447]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,Random Forest,validation,247417,0.00828876836327808,4.0,"[0.008197309640255446, 0.007996720684128555, 0.007895437140651782, 0.009065605988076533]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,Ridge Regression,validation,247417,0.009149498551915925,4.0,"[0.008778658080177769, 0.008936294220314856, 0.009074586581375062, 0.00980845532579602]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disability_days10p60gr,Gradient Boosting,test,62392,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009181620042661643,0.04190243604166706,0.5475361683179891,,,,,,,,,,,,,,,
disability_days10p60gr,Naive baseline,test,62392,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01086273032232619,0.05474563982991952,0.22766734607771755,,,,,,,,,,,,,,,
disability_days10p60gr,Random Forest,test,62392,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010262406269429335,0.038682657918164644,0.6143991881206006,,,,,,,,,,,,,,,
disability_days10p60gr,Ridge Regression,test,62392,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010272383627321873,0.0401099466483837,0.585418905353148,,,,,,,,,,,,,,,
disability_days10p60gr,Gradient Boosting,validation,246637,,4.0,"[0.008807527809873202, 0.009354689542888886, 0.008964943691503162, 0.009269084586335248]",,,,,,,,,,,,,,,,,,,,,,,,0.009099061407650124,,,,,,,,,,,,,,,,,
disability_days10p60gr,Naive baseline,validation,246637,,4.0,"[0.010031636614640179, 0.010613614174803283, 0.01015624835550401, 0.010831342197496343]",,,,,,,,,,,,,,,,,,,,,,,,0.010408210335610953,,,,,,,,,,,,,,,,,
disability_days10p60gr,Random Forest,validation,246637,,4.0,"[0.010589429846973234, 0.010725287059960356, 0.01054291468840715, 0.010335471034773362]",,,,,,,,,,,,,,,,,,,,,,,,0.010548275657528526,,,,,,,,,,,,,,,,,
disability_days10p60gr,Ridge Regression,validation,246637,,4.0,"[0.009354762717387671, 0.009931768149693892, 0.01013167761685216, 0.009488725978926322]",,,,,,,,,,,,,,,,,,,,,,,,0.009726733615715012,,,,,,,,,,,,,,,,,
disability_months12,Gradient Boosting,test,62392,,,,,,,,,,,,,,,,,,,,,,,,0.021240626138439984,0.06448566847767817,0.581276346725517,,,,,,,,,,,,,,,,,,
disability_months12,Naive baseline,test,62392,,,,,,,,,,,,,,,,,,,,,,,,0.0224407592101307,0.07880836271133312,0.3746175468090993,,,,,,,,,,,,,,,,,,
disability_months12,Random Forest,test,62392,,,,,,,,,,,,,,,,,,,,,,,,0.022771451253231968,0.05861068245287039,0.6540967531943016,,,,,,,,,,,,,,,,,,
disability_months12,Ridge Regression,test,62392,,,,,,,,,,,,,,,,,,,,,,,,0.021213311248115877,0.06094143482614357,0.6260388967396485,,,,,,,,,,,,,,,,,,
disability_months12,Gradient Boosting,validation,246637,,4.0,"[0.021666128769454483, 0.02198281384869112, 0.020330653781092774, 0.019775491248293826]",,,,,,,,,,,,,,,,,,,,,0.02093877191188305,,,,,,,,,,,,,,,,,,,,
disability_months12,Naive baseline,validation,246637,,4.0,"[0.021920004174101056, 0.023066567623140057, 0.02157404039848848, 0.02066155037225279]",,,,,,,,,,,,,,,,,,,,,0.021805540641995594,,,,,,,,,,,,,,,,,,,,
disability_months12,Random Forest,validation,246637,,4.0,"[0.025250070882755007, 0.02451129369314097, 0.022976562836547386, 0.0225859961237107]",,,,,,,,,,,,,,,,,,,,,0.023830980884038518,,,,,,,,,,,,,,,,,,,,
disability_months12,Ridge Regression,validation,246637,,4.0,"[0.020321665145373008, 0.021024480761324665, 0.02142461113079428, 0.020282129708636333]",,,,,,,,,,,,,,,,,,,,,0.020763221686532073,,,,,,,,,,,,,,,,,,,,
disability_overall_level,Gradient Boosting,test,504,0.18411335610785493,,,0.12274223740523663,0.1760301897219443,,,,,,,,,,0.1412541791450084,0.19280811404365697,0.11109314560029959,0.07657243639355718,0.11641129783144871,-0.10657987198871122,0.1504000966771443,0.20550747912608203,0.06110939869556753,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,Naive baseline,test,504,0.249353465421155,,,0.16623564361410334,0.24543052668198334,,,,,,,,,,0.19337459461792092,0.2673929574912683,-0.7096435472072433,0.09979201747845588,0.16079751703686262,-1.1113059947961328,0.20554031874593318,0.28871022683832986,-0.8530368826662513,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,Random Forest,test,504,0.19892286897976957,,,0.13261524598651306,0.19609711933657853,,,,,,,,,,0.14892942537389256,0.20394817265591442,0.005407273683979863,0.07794100169107149,0.1321567795090881,-0.4261703330177591,0.1709753108945751,0.23728035977807468,-0.2516511768337739,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,Ridge Regression,test,504,0.20785768117001668,,,0.13857178744667778,0.20294354476845108,,,,,,,,,,0.15637917782551827,0.21318564152371125,-0.08672971756666503,0.0796670670288513,0.13591355395955496,-0.5084052731314119,0.1796691174856638,0.24420818001811434,-0.32580649329486344,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,Gradient Boosting,validation,1976,0.20050224246564818,4.0,"[0.19703922092291212, 0.2164232256735321, 0.20527651787640858, 0.18327000538973995]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,Naive baseline,validation,1976,0.26696401011573784,4.0,"[0.2659882223456809, 0.28156775070616297, 0.26321049290576737, 0.25708957450534015]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,Random Forest,validation,1976,0.20767487711678767,4.0,"[0.20912364243507545, 0.22297611700100933, 0.20931625047625746, 0.1892834985548084]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,Ridge Regression,validation,1976,0.21789831321583758,4.0,"[0.24228118373097315, 0.2292043383847706, 0.2066849034304411, 0.1934228273171654]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
