year,LA_2023,age_group_code,age_group,active_minus_inactive_pp,active_minus_inactive_lower_90_pp,active_minus_inactive_upper_90_pp,fairly_active_minus_inactive_pp,fairly_active_minus_inactive_lower_90_pp,fairly_active_minus_inactive_upper_90_pp
9,114,3,25-34,2.4101280804071963,-24.31319013237953,19.618566706776598,-2.4095623790180416,-34.79106470942497,44.12440329790109
9,114,4,35-44,4.091079458209967,-21.630896478891373,22.684645801782597,-2.4095623790180416,-30.893881618976586,29.0718212723732
9,114,5,45-54,9.19637063008176,-19.087897613644596,31.249904036521905,0.0,-30.9157994389534,41.5656875073909
9,114,6,55-64,7.024703080354862,-28.620087504386905,28.529114425182335,2.4095623790180416,-36.179065853357315,42.99530312418935
9,114,7,65-74,8.502921522232212,-19.773916602134705,28.13205569982528,3.161897175351216,-30.527135729789734,42.852718830108614
9,114,8,75-84,5.4105776126571605,-39.847896993160234,45.867396593093865,-0.5578543732231122,-45.18837213516235,40.0386868417263
9,114,9,85+,1.1020377285485758,-44.448334127664566,42.14961454272269,0.3396974331429138,-45.831471383571625,5.437527224421501
9,117,2,16-24,7.432520956979991,-32.266025990247726,29.3016594648361,-2.489034608996686,-43.75133737921715,42.774734348058644
9,117,3,25-34,2.0136588429365068,-22.055409625172615,21.639372259378423,0.0,-28.693455159664154,36.69336974620818
9,117,4,35-44,4.091079458209967,-11.635984778404236,21.177894473075863,0.0,-17.689999490976334,28.700080513954145
9,117,5,45-54,6.786808251063717,-12.246536761522291,25.83183303475378,-2.4095623790180416,-24.382470548152924,33.06779101490974
9,117,6,55-64,5.676657290545715,-22.937739863991737,26.595795154571526,2.4095623790180416,-29.379898011684418,39.29925218224523
9,117,7,65-74,8.502921522232212,-19.101884588599205,28.396388590335842,3.161897175351216,-29.483104646205906,35.70407345890993
9,117,8,75-84,5.4105776126571605,-36.42724230885506,34.62901398539542,1.8517080057949324,-40.093371123075485,43.23135569691658
9,117,9,85+,1.1770527629918468,-39.04490649700165,49.70947504043579,0.3396974331429138,-39.19372737407684,51.514317393302534
9,122,2,16-24,9.349202184682682,-27.493368983268734,28.880946189165112,-0.5723533812939954,-41.480788290500634,37.765046507120104
9,122,3,25-34,4.423221221954549,-14.893077164888382,23.62992718815803,0.0,-20.005226954817772,40.692874044179845
9,122,4,35-44,4.365843446527242,-23.41149769723415,24.71642568707466,-2.4095623790180416,-33.31745356321335,39.65592205524442
9,122,5,45-54,9.19637063008176,-29.92857128381729,29.974036812782273,0.0,-41.33624866604805,39.674230515956864
9,122,6,55-64,7.024703080354862,-23.77974383533001,26.541942954063398,0.0,-34.63790699839592,39.293521344661706
9,122,7,65-74,3.983308871337417,-22.51165471971035,22.60675728321075,-1.3577154755435736,-32.675515711307526,39.87694680690764
9,122,8,75-84,3.1602203110983766,-35.334966480731964,30.038554668426503,-0.5578543732231122,-45.489686876535416,42.82921135425566
9,122,9,85+,3.511600107566617,-35.35937175154686,39.692526906728716,0.3396974331429138,-39.68352913856506,48.19807723164558
9,126,2,16-24,7.432520956979991,-27.481440007686615,28.94978925585746,-0.07947222997864434,-36.83017432689667,42.722446322441
9,126,3,25-34,2.0136588429365068,-18.029448240995407,19.63984698057173,-2.4095623790180416,-23.330036625266075,35.28657674789428
