year,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,cells_with_observed_baseline,median_change_from_year8_pp,q25_change_from_year8_pp,q75_change_from_year8_pp
10,5,45-54,0,inactive,32,3.9511840539508363,-2.677025057612512,7.571843941906126
10,5,45-54,1,fairly_active,32,6.953808768953914,-5.965309827217954,7.571843941906126
10,5,45-54,2,active,32,-1.5919232452452121,-9.713850509468532,3.1816106084376323
10,6,55-64,0,inactive,32,6.953808768953914,-1.3562219296574196,7.571843941906126
10,6,55-64,1,fairly_active,32,7.528782911531637,0.948273061650608,7.571843941906126
10,6,55-64,2,active,32,-2.1707432686229042,-7.302599859564171,3.869047381923906
10,7,65-74,0,inactive,32,6.413049232142862,-3.716515041978302,6.819509145572949
10,7,65-74,1,fairly_active,31,7.571843941906126,-5.696898653761949,7.571843941906126
10,7,65-74,2,active,32,-2.8679385861472033,-7.646134438794722,3.243544924256062
10,8,75-84,0,inactive,31,6.823115773952127,-4.0836622347582985,6.909237834701104
10,8,75-84,1,fairly_active,28,6.3513834614779965,5.966189225839686,6.3513834614779965
10,8,75-84,2,active,32,0.3705328820763999,-3.808952628820127,9.743056646852732
10,9,85+,0,inactive,23,5.976532086929545,5.933471056555057,5.976532086929545
10,9,85+,1,fairly_active,8,6.316229520072457,6.316229520072457,6.316229520072457
10,9,85+,2,active,22,7.078569815478118,6.686094223222063,7.078569815478118
11,2,16-24,0,inactive,31,0.8065861209478831,-9.236083341901619,7.49679086051862
11,2,16-24,1,fairly_active,30,7.528782911531637,-6.234438877682144,7.571843941906126
11,2,16-24,2,active,32,-3.1118274006761206,-10.427229433820832,3.1459468899622927
11,3,25-34,0,inactive,32,-0.37677414762877504,-10.541390139643845,6.917975878788842
11,3,25-34,1,fairly_active,32,7.417318630539976,-3.54623487932779,7.571843941906126
11,3,25-34,2,active,32,0.06867087972270217,-6.342303769305703,2.712313826641217
11,4,35-44,0,inactive,32,0.07105264559242042,-4.889810341825108,7.571843941906126
11,4,35-44,1,fairly_active,32,6.953808768953914,-6.338511581744138,7.571843941906126
11,4,35-44,2,active,32,-1.024074387338085,-7.360881937997559,2.0600246375953595
11,5,45-54,0,inactive,32,3.9511840539508363,-2.677025057612512,7.571843941906126
11,5,45-54,1,fairly_active,32,6.953808768953914,-5.965309827217954,7.571843941906126
11,5,45-54,2,active,32,-1.5919232452452121,-9.713850509468532,3.1816106084376323
11,6,55-64,0,inactive,32,6.953808768953914,-1.3562219296574196,7.571843941906126
11,6,55-64,1,fairly_active,32,7.528782911531637,0.948273061650608,7.571843941906126
11,6,55-64,2,active,32,-2.1707432686229042,-7.302599859564171,3.869047381923906
11,7,65-74,0,inactive,32,6.2851041146996085,-3.716515041978302,6.519997038431658
11,7,65-74,1,fairly_active,31,7.571843941906126,-5.696898653761949,7.571843941906126
11,7,65-74,2,active,32,-2.8679385861472033,-7.646134438794722,3.243544924256062
11,8,75-84,0,inactive,31,6.823115773952127,-4.0836622347582985,6.909237834701104
11,8,75-84,1,fairly_active,28,6.3513834614779965,5.966189225839686,6.3513834614779965
11,8,75-84,2,active,32,0.3705328820763999,-3.808952628820127,9.743056646852732
11,9,85+,0,inactive,23,5.976532086929545,5.933471056555057,5.976532086929545
11,9,85+,1,fairly_active,8,6.316229520072457,6.316229520072457,6.316229520072457
11,9,85+,2,active,22,7.078569815478118,6.686094223222063,7.078569815478118
12,2,16-24,0,inactive,31,0.8065861209478831,-9.236083341901619,7.49679086051862
12,2,16-24,1,fairly_active,30,7.528782911531637,-6.234438877682144,7.571843941906126
12,2,16-24,2,active,32,-3.1118274006761206,-10.427229433820832,3.1459468899622927
12,3,25-34,0,inactive,32,-0.37677414762877504,-10.541390139643845,6.917975878788842
12,3,25-34,1,fairly_active,32,7.417318630539976,-3.54623487932779,7.571843941906126
12,3,25-34,2,active,32,0.06867087972270217,-6.342303769305703,2.712313826641217
12,4,35-44,0,inactive,32,0.07105264559242042,-4.889810341825108,7.571843941906126
12,4,35-44,1,fairly_active,32,6.953808768953914,-6.338511581744138,7.571843941906126
12,4,35-44,2,active,32,-1.024074387338085,-7.360881937997559,2.0600246375953595
12,5,45-54,0,inactive,32,3.9511840539508363,-2.677025057612512,7.571843941906126
