series_id,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,year8_observed_rate,historical_observed_years,historical_effective_n_median,historical_small_cell_share,initial_year8_lag_observed,historical_reliability_band,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_activity_group,raw_predicted_rate,predicted_rate,was_clipped,lag_source,model
borough_109__age_4__activity_2,109,4,35-44,2,active,0.1143318507595034,6,38.94870959324453,0.0,True,30_or_above,9,1,0.1143318507595034,0,6,109,35-44__active,0.0992607244349227,0.0992607244349227,False,observed_year8,Ridge Regression
borough_109__age_5__activity_0,109,5,45-54,0,inactive,0.0,6,4.786052682016666,1.0,True,below_5,9,1,0.0,0,6,109,45-54__inactive,0.03917712958784566,0.03917712958784566,False,observed_year8,Ridge Regression
borough_109__age_5__activity_1,109,5,45-54,1,fairly_active,0.0,6,2.9484441687753904,1.0,True,below_5,9,1,0.0,0,6,109,45-54__fairly_active,0.07099457053810312,0.07099457053810312,False,observed_year8,Ridge Regression
borough_109__age_5__activity_2,109,5,45-54,2,active,0.1413463635111115,6,26.8686211889772,0.3333333333333333,True,10_to_below_30,9,1,0.1413463635111115,0,6,109,45-54__active,0.1392017052683614,0.1392017052683614,False,observed_year8,Ridge Regression
borough_109__age_6__activity_0,109,6,55-64,0,inactive,0.1112459226847002,6,6.642980258969193,1.0,True,5_to_below_10,9,1,0.1112459226847002,0,6,109,55-64__inactive,0.03781359923756499,0.03781359923756499,False,observed_year8,Ridge Regression
borough_109__age_6__activity_1,109,6,55-64,1,fairly_active,0.0,6,3.6692304984546933,1.0,True,below_5,9,1,0.0,0,6,109,55-64__fairly_active,0.05944910277977891,0.05944910277977891,False,observed_year8,Ridge Regression
borough_109__age_6__activity_2,109,6,55-64,2,active,0.0889913826284288,6,15.082236576669718,0.6666666666666666,True,10_to_below_30,9,1,0.0889913826284288,0,6,109,55-64__active,0.10214730292223388,0.10214730292223388,False,observed_year8,Ridge Regression
borough_109__age_7__activity_0,109,7,65-74,0,inactive,0.0,5,5.93359558198971,1.0,True,5_to_below_10,9,1,0.0,0,6,109,65-74__inactive,0.020427242370006662,0.020427242370006662,False,observed_year8,Ridge Regression
borough_109__age_7__activity_1,109,7,65-74,1,fairly_active,0.0,5,1.8274389262266184,1.0,True,below_5,9,1,0.0,0,6,109,65-74__fairly_active,0.06627009470722853,0.06627009470722853,False,observed_year8,Ridge Regression
borough_109__age_7__activity_2,109,7,65-74,2,active,0.1629557311414399,6,11.857047991920563,1.0,True,10_to_below_30,9,1,0.1629557311414399,0,6,109,65-74__active,0.11227113496789501,0.11227113496789501,False,observed_year8,Ridge Regression
